Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	blank1	blank4	std_mix_1_msms	std_mix_2_msms	std_mix_3_msms	std_mix_4_neg_DDA	std_mix_highres
435	6.938	74.02329	Glycine	[M-H]-	found in higher mz's MsMs_2561; similar chromatogram in higher mz_2561; similar chromatogram in higher mz_1901; similar chromatogram in higher mz_3638; similar chromatogram in higher mz_4870; similar chromatogram in higher mz_7832; similar chromatogram in higher mz_9324; similar chromatogram in higher mz_12251; similar chromatogram in higher mz_12626; similar chromatogram in higher mz_13951; similar chromatogram in higher mz_18066; similar chromatogram in higher mz_14889; similar chromatogram in higher mz_10271; similar chromatogram in higher mz_7115	0.714	TRUE	7.024	74.02319	C2H5NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	1095.99	std_mix_4_neg_DDA	74.02319:42690768 75.02654:560690 76.0299:89799	57.99173:150755 74.02331:9240482 74.03177:65449	-2	-2	12539	12604	12215	6719	4102
1562	5.665	88.03899	L-Alanine	[M-H]-	similar chromatogram in higher mz_7214; similar chromatogram in higher mz_9008; similar chromatogram in higher mz_11752; similar chromatogram in higher mz_17063; found in higher mz's MsMs_8844; similar chromatogram in higher mz_2324; similar chromatogram in higher mz_5035; similar chromatogram in higher mz_11097	0.714	TRUE	5.767	88.03899	C3H7NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	69.8	100	75	75	100	4964.84	std_mix_3_msms	88.03905:135071520 89.0424:4877670 90.04576:308152	53.60797:60402 66.43122:60828 71.01207:116614 88.0386:15344391	-2	-2	10232	10289	10012	5355	3723
2457	6.78	102.05471	Gamma-aminobutyric acid	[M-H]-	similar chromatogram in higher mz_4327; similar chromatogram in higher mz_6298; similar chromatogram in higher mz_7072; similar chromatogram in higher mz_7861; similar chromatogram in higher mz_7927; similar chromatogram in higher mz_8698; similar chromatogram in higher mz_9120; similar chromatogram in higher mz_9294; similar chromatogram in higher mz_9919; similar chromatogram in higher mz_9964; similar chromatogram in higher mz_11292; similar chromatogram in higher mz_13749; similar chromatogram in higher mz_15059; similar chromatogram in higher mz_16696; similar chromatogram in higher mz_17164; similar chromatogram in higher mz_18360; similar chromatogram in higher mz_20672; similar chromatogram in higher mz_20868; found in higher mz's MsMs_6259; found in higher mz's MsMs_6222; similar chromatogram in higher mz_8560; similar chromatogram in higher mz_4112	0.714	TRUE	6.861	102.0547	C4H9NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	134.62	std_mix_4_neg_DDA	102.05471:6423083 103.05806:223432 104.06142:34612	52.47403:3417 59.01192:9309 59.50214:3541 61.8208:2954 66.43179:4340 73.02776:30513 74.09707:3243 84.04379:21302 85.02783:3490 102.01871:4316 102.05487:314325	-2	-2	12282	12344	12007	6559	4060
2561	6.943	104.03394	L-Serine	[M-H]-		0.857	TRUE	7.041	104.0339	C3H7NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	1008.8	std_mix_4_neg_DDA	104.03389:45411440 105.03724:1467966 106.0406:268298	64.35695:23640 72.00733:2100874 74.02335:4155644 104.03423:1766399	-2	1093	12544	12610	12255	6754	4086
2830	2.214	110.03464	Cytosine	[M-H]-		0.714	TRUE	2.232	110.0347	C4H5N3O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	95	100	88	88	100	510.32	std_mix_4_neg_DDA	110.03471:8055344 111.03806:414261 112.04142:4164678	55.39695:3141 57.4645:3271 65.99686:4189 66.03319:19337 67.02854:224634 100.01758:3875 109.94108:13258 110.02393:20001 110.0341:260884 110.07131:9222	-2	-2	4106	4107	4025	2223	2135
2876	1.568	111.01868	Uracil	[M-H]-	similar chromatogram in higher mz_3700; similar chromatogram in higher mz_6210; similar chromatogram in higher mz_6224; similar chromatogram in higher mz_6228; found in higher mz's MsMs_11741; found in higher mz's MsMs_11379; found in higher mz's MsMs_10532; found in higher mz's MsMs_7236; found in higher mz's MsMs_4884; similar chromatogram in higher mz_3703; similar chromatogram in higher mz_3664; similar chromatogram in higher mz_4474; similar chromatogram in higher mz_12828; similar chromatogram in higher mz_13582; similar chromatogram in higher mz_13622; similar chromatogram in higher mz_16789; similar chromatogram in higher mz_20206; found in higher mz's MsMs_10493; similar chromatogram in higher mz_14066; similar chromatogram in higher mz_11413	0.857	TRUE	1.619	111.0187	C4H4N2O2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.3	100	74.1	75	100	1126.13	std_mix_4_neg_DDA	111.01868:98932400 112.02203:3633678 113.02539:508540	65.99686:43951 66.43076:44153 67.02898:65107 68.01257:68728 84.88966:32007 95.93285:167755 110.95626:389310 110.99835:118465 111.01833:8869050 111.04385:51733	-2	653	2625	2666	2634	1388	1217
2918	1.788	112.05036	Creatinine	[M-H]-		0.714	TRUE	1.808	112.0503	C4H7N3O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	1877.5	std_mix_4_neg_DDA	112.05035:62274316 113.0537:4122288 114.05706:6135990	55.99981:5807 58.02807:16876 67.99979:16756 68.99401:32156 69.0077:24847 83.02325:14952 97.0265:6610 110.03393:41962 112.00231:9518 112.02311:92545 112.05066:5905365 112.06643:45046	-2	-2	3020	2991	3013	1690	1570
3023	3.038	114.05472	L-Proline	[M-H]-	similar chromatogram in higher mz_3025	0.857	TRUE	3.089	114.0547	C5H9NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.6	100	75	75	100	3316.2	std_mix_4_neg_DDA	114.05472:192261808 115.05807:14205014 116.06143:18049176	50.29348:96167 66.03302:1015197 74.07771:92481 84.8815:92050 86.02327:486609 91.12228:100308 99.05117:94645 107.52997:116478 112.03831:197554 114.05504:54721668 114.07124:405704	-2	828	6220	6102	6000	3522	2392
3066	1.517	115.00245	Fumarate?	[M-H]-		0.857	TRUE	1.535	115.0023	C4H4O4				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	85.1	100	66.2	68.6	85.7	77.74	blank4	115.00251:821224 116.00586:53529 117.00922:433959	59.01191:11336 71.0122:134444 71.04855:51481 97.02742:8835 97.92935:9719 98.02318:3499 108.59549:3365 114.93363:100204 115.00256:12083 115.03887:30541 115.07514:129771	-2	644	2499	2551	2501	1319	1116
3118	1.421	116.03402	N-Acetyl-Glycine	[M-H]-	found in higher mz's MsMs_11227; similar chromatogram in higher mz_3565	0.857	TRUE	1.452	116.034	C4H7NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.5	100	94	94	100	9278.34	std_mix_4_neg_DDA	116.034:285775552 117.03735:20258036 118.04071:2642760	54.705:185613 56.01254:151056 56.34083:147097 57.02655:152089 72.04382:5033723 74.02331:40209628 74.94893:162700 76.69414:132787 100.98664:140721 116.03407:4623604	-2	625	2263	2251	2215	1180	1007
