"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
914	"N-Acetyl-L-Phenylalanine"	292	0.7772048	1.040513	1.850391	206.0819	1590871040	16773441536	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_936; found in higher mz's MsMs_931; found in higher mz's MsMs_995; found in higher mz's MsMs_929; found in higher mz's MsMs_987; found in higher mz's MsMs_1046; found in higher mz's MsMs_1042"	"1.035"	"206.0815"	"C11H13NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"96.9"	"96.9"	"100"	"98.7"	90161.73	"205.69656:127321 205.98474:395500 205.98754:228495 206.03803:192194 206.04259:182062 206.04704:283829 206.05346:205137 206.05942:378951 206.06398:310769 206.06643:408866 206.0738:1368529 206.08189:1004794688 206.08678:7753658 206.09379:586327 206.09835:122665 206.10116:358481 206.10537:185454 206.10853:277606 206.11519:236648 206.12457:257701 206.17769:636800 207.07957:1726940 207.08489:125285408 207.08981:830509 207.09441:160078 208.08205:437133 208.0856:4553037 208.08809:4925532 209.08894:753202"	"51.52019:52853 58.02848:4643614 59.04887:54838 70.02853:3243072 72.00761:158315 91.0538:3670926 103.05357:111794 135.04362:73697 147.04354:8575019 148.04813:72510 162.092:672530 164.04135:278375 164.07129:39480792 164.09318:301203 165.07466:364508 206.08092:21725996 206.11156:136762 207.08393:237838"
974	"N-Acetyl-L-Leucine"	298	0.7918277	1.055826	1.850391	172.0971	312690304	3267697920	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_929; found in higher mz's MsMs_1034"	"1.052"	"172.0968"	"C8H15NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"95"	5653.992	"172.02299:72108 172.0246:95404 172.07436:93758 172.08106:87443 172.09203:846138 172.0971:207808096 172.10086:1563889 172.10327:302334 172.10622:83800 172.12041:74500 172.13005:127771 172.17049:137755 173.04453:3792410 173.08078:124508 173.09401:499144 173.10021:18416190 173.11751:104328 174.04785:168371 174.10123:897552 174.10368:375286 174.95581:162738 175.06012:688227 176.0638:120541 176.98516:362205 177.05462:74076"	"58.02837:52121 66.43226:6023 82.06503:16203 83.01241:54713 101.05977:6942 128.10633:330096 130.04107:11478 130.06639:49787 130.08612:10692917 130.10721:66513 130.1241:7754 130.13536:9446 131.08976:142254 154.08524:18295 172.09678:3042546 172.13958:26946 173.10162:50788"
1151	"N-Acetyl-L-Methionine"	316	0.7918277	1.105234	1.850391	190.0536	457294176	4624040960	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1175; found in higher mz's MsMs_1094; found in higher mz's MsMs_1171; found in higher mz's MsMs_1163; found in higher mz's MsMs_1243"	"1.103"	"190.0536"	"C7H13NO3S"	""	""	""	330	"True"	"True"	"True"	"100"	"96.8"	"96.8"	"100"	"98.7"	11457.49	"189.71355:46266 189.76933:42515 189.89492:43663 189.9393:57468 189.96786:182062 189.97003:45430 189.97531:42136 189.98152:48216 190.01474:72389 190.01878:53019 190.02251:82480 190.03369:95619 190.03649:117937 190.03928:123835 190.04518:139398 190.04767:639240 190.04922:1924209 190.05358:361169024 190.05823:2122272 190.06196:276987 190.06693:51983 190.06942:185507 190.07625:79113 190.08215:56627 190.08588:57723 190.09148:82277 190.12691:49845 190.13866:212117 190.22393:45735 191.05065:607161 191.05315:1470006 191.0566:25824602 191.06129:122432 192.04928:16520977 192.0537:116012 192.05749:1386709 192.06001:361256 192.06569:14232541 192.07011:122042 193.04622:70515 193.05248:817985 193.06908:1251932 194.05351:50186 194.90522:157342"	"50.6294:649372 52.17353:597001 54.28146:535181 59.13637:625454 62.49104:600272 77.06883:771542 84.04365:8884673 96.04407:766135 97.93301:742858 98.06005:17994256 100.03843:1369821 104.52709:619161 112.03957:7225076 114.01808:789743 142.04969:86680816 146.06241:910057 148.04302:103216712 162.74973:588960 190.0529:63248552 199.53694:707985 201.23743:801623"
1274	"Hippurate"	328	0.9206976	1.138604	1.801914	178.0502	68747248	681772288	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1243"	"1.137"	"178.0502"	"C9H9NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	1944.544	"177.97216:21048 177.97385:24830 178.03411:142404 178.03721:20140 178.03918:27310 178.04256:69715 178.04594:315667 178.05017:57576396 178.05439:286632 178.06002:25496 178.07101:27866 178.0789:17615 178.12737:36153 179.00102:37637 179.04709:135148 179.05356:5343858 179.05669:56870 180.05429:192913 180.05687:124213 180.98835:44550 181.04957:24300 181.05766:25116 181.06112:51452 181.07095:38301 182.96347:2200219 182.98781:1459880"	"56.0125:21248 57.99202:6428 60.99146:9865 77.03866:14258 78.98482:11854 93.03296:6421 102.03323:42728 105.00003:8342 116.5218:5548 121.02821:19062 132.04447:82263 134.00913:5808 134.06055:5199758 134.08126:36097 134.09304:9277 135.06315:77969 146.02387:9973 148.03948:32397 160.03902:39906 178.01657:26522 178.05027:4373651 178.08418:32527 179.0532:68477"
1507	"Nicotinate"	352	1.023414	1.204187	2.402318	122.0235	243527296	2478822656	"null"	"[M-H]-"	"M + 0"	""	"1.205"	"122.0235"	"C6H5NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"81.2"	"85.9"	"83.3"	"91.6"	10139.91	"121.98005:114903 122.00418:61216 122.01201:72085 122.01392:64364 122.01664:94363 122.01856:109109 122.02127:1285486 122.02351:191638032 122.02543:1247279 122.02911:86824 122.03118:137919 122.03374:100648 122.04349:110058 122.06763:113747 123.02061:521047 123.02451:96236 123.02693:12030953 123.0551:177011 123.9009:97928 124.02765:377532 124.03018:163754 124.99006:92569"	"57.03268:493616 59.0489:395352 71.77714:342772 78.03334:5255751 83.93117:305097 94.02825:533929 98.52402:316101 114.25519:371931 122.02317:10116620 134.02536:325998"
1585	"Pantothenate"	358	0.9031832	1.219491	1.850391	218.1029	930716608	10069908480	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1621; found in higher mz's MsMs_1618; found in higher mz's MsMs_1610; found in higher mz's MsMs_1715"	"1.222"	"218.10291"	"C9H17NO5"	""	""	""	330	"True"	"True"	"True"	"100"	"93.8"	"93.8"	"100"	"97.4"	84583.16	"217.90748:59829 217.96088:50855 217.99637:78888 217.99942:160267 218.01316:110332 218.0311:51647 218.05668:164346 218.06012:71771 218.06476:139164 218.0689:64214 218.07119:57159 218.07424:59402 218.07692:107224 218.0815:155298 218.08799:139790 218.09105:409274 218.09716:2018830 218.10289:496243680 218.10861:2812989 218.11625:224310 218.12236:145639 218.12656:90062 218.13344:51367 218.13611:76118 218.13955:50737 218.14261:128262 218.14719:81130 218.15063:146883 218.19151:72247 218.19457:49556 218.20785:272317 218.24349:47351 219.1004:1062136 219.10615:47810004 219.11155:220600 219.11463:87761 219.17464:135139 220.10246:83999 220.10671:3723359 221.10996:357593 222.07628:56511 223.07197:56481"	"54.52542:768233 59.01231:2672674 71.01212:35176596 71.04885:8469481 72.04436:589683 78.94422:563808 88.03863:502099008 88.05038:3771424 89.04223:858775 99.04358:2612838 116.03454:2615742 116.0694:2526942 129.05507:1957722 146.05736:1539301 146.08077:229382656 218.05886:1696145 218.10166:239059664 218.14746:1829814 219.10721:1737529"
1707	"Biotin"	370	1.040513	1.252366	1.768496	243.0805	53215932	603389440	"null"	"[M-H]-"	"M + 0"	""	"1.256"	"243.08051"	"C10H16N2O3S"	""	""	""	330	"True"	"True"	"True"	"100"	"87.9"	"87.9"	"100"	"95"	1141.653	"243.0742:135962 243.08046:23511946 243.08678:106451 243.10296:52325 244.04362:117794 244.07708:63776 244.08372:1904227 244.0998:129941 245.07595:687824 245.08435:65963 245.08754:61241 247.00029:46898 247.0827:38083 248.07947:61821"	"60.76978:53953 68.04874:30668 74.00518:214907 74.02329:34686 97.03918:59474 111.04381:39266 120.0803:87195 122.09621:243607 139.05785:38324 156.08463:331088 165.10275:322840 166.08712:2116970 191.08097:66938 197.09233:134141 199.091:879390 200.07535:4059891 209.09363:663802 243.0791:19071662 243.13298:114832 244.08512:65699"
1748	"(RS)-Mevalonate"	376	0.9206976	1.269474	1.867028	147.0653	54152048	648781440	"null"	"[M-H]-"	"M + 0"	""	"1.273"	"147.065"	"C6H12O4"	""	""	""	330	"True"	"True"	"True"	"100"	"82.1"	"76.3"	"66.7"	"88.8"	432.7487	"147.02869:100224 147.06209:104120 147.06526:22215104 147.06822:137040 148.00632:126489 148.06871:1025659 149.06946:102871 149.99325:77881 151.00625:419725 151.03894:49669 152.00935:50716 152.03424:50283"	"52.90975:7223 57.03308:246162 59.00631:13379 59.01232:2485558 60.01568:11641 71.04904:49056 71.27622:9919 73.6244:7043 75.28548:7666 83.33699:7243 85.02855:19449 87.00724:30467 87.0442:7704 91.9396:8734 99.04368:35228 107.4232:7857 129.01895:16224 129.05371:13936 145.44318:7912 147.02833:40956 147.06541:552063 147.08412:16584 156.98548:10097 166.53881:9590"
1948	"Acetyl-L-Threonine"	400	0.9031832	1.33489	1.850391	160.0605	2370423296	29487949824	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2013; found in higher mz's MsMs_1964; found in higher mz's MsMs_1960; found in higher mz's MsMs_1957; found in higher mz's MsMs_1841"	"1.323"	"160.06059"	"C6H11NO4"	""	""	""	330	"True"	"True"	"True"	"100"	"99.7"	"99.7"	"100"	"99.9"	55827.09	"159.8399:87918 159.8955:85603 159.92907:103875 159.93578:76904 159.93866:134425 159.94058:71921 159.96264:84101 159.99359:171344 159.99551:439108 160.02119:77025 160.02407:86984 160.03055:267412 160.03271:119658 160.03463:117039 160.03852:223107 160.04423:121191 160.04616:175509 160.04808:248343 160.0512:403016 160.05504:1325380 160.05696:3273123 160.06054:855554752 160.06416:5176471 160.06896:571048 160.07113:250837 160.07785:139316 160.08073:211201 160.08361:191740 160.08963:339244 160.09514:75240 160.09802:122941 160.10379:88345 160.12667:571146 160.28096:124048 160.31441:85343 160.32404:121636 161.05734:1945725 161.06382:57616316 161.06723:268318 162.06067:128967 162.06455:6484686 162.06678:614057 163.06812:289165 164.07034:132155 165.01831:213790 165.03943:106254"	"59.01233:168286 66.43279:144973 70.02854:14747583 71.04844:200205 72.04379:5848818 74.01181:190052 74.0233:91525664 74.03175:574511 75.02652:224807 98.01026:155175 98.02317:23903672 98.06:3496396 99.02683:184003 116.0164:345603 116.03419:33429924 116.05078:193383 117.03773:186260 118.04957:1436643 160.02333:163946 160.05988:11338035"
2005	"Thymidine"	406	1.006378	1.351763	1.634111	241.0824	8522515	94410200	"null"	"[M-H]-"	"M + 0"	""	"1.357"	"241.0825"	"C10H14N2O5"	""	""	""	330	"True"	"True"	"True"	"100"	"73.6"	"73.4"	"100"	"89"	228.5787	"241.08245:4603373 242.0859:369997 243.0804:2020538 244.04349:213526 244.08354:272797 245.07617:70297"	"54.6084:5419 59.0119:10656 106.70027:5505 123.66856:5574 125.03388:5267614 125.05373:39883 126.03711:8105 127.0498:18922 151.05058:62531 197.15492:15366 198.02167:7688 241.08204:211945 241.18138:13282 241.219:52093"
2080	"Nicotinamide"	418	1.088701	1.384746	1.801914	121.0396	38106628	414375904	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_2087"	"1.391"	"121.0394"	"C6H6N2O"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	321.0402	"121.02822:319091 121.03957:23258074 121.04179:109457 122.02354:915339 122.03663:87491 122.0429:1004349 123.02679:54158 125.03448:12930074 126.03776:463244"	"66.43126:5264 75.399:4394 78.03403:4914 79.95585:6432 87.45391:5148 92.83243:5273 93.03294:26459 121.02825:116110 121.03962:161130 122.02323:17340"
2213	"Thymine"	436	1.023414	1.435581	1.850391	125.0345	95653232	1170166272	"null"	"[M-H]-"	"M + 0"	""	"1.452"	"125.0345"	"C5H6N2O2"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	1295.689	"124.98857:39463 125.03199:252371 125.03449:51059140 125.0368:339859 125.04012:48317 126.03156:223192 126.03778:2368129 126.90388:73354 127.0384:78528 127.05029:68920 127.89635:40900 128.01304:45827 128.02747:39310 128.03091:116093 128.03418:63301992 128.03657:506490 128.04001:44537 128.05135:32566 129.01804:165468 129.03073:119177 129.03751:2902008 129.0543:154273 129.09061:170139"	"100.00807:10539 100.23519:10911 125.03387:860270 125.899:25896"
2251	"N-Acetyl-Glycine"	442	0.8856353	1.452398	1.817633	116.0341	494741408	7493430784	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2225"	"1.452"	"116.034"	"C4H7NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"93.9"	"93.9"	"100"	"97.4"	19761.11	"115.87175:38237 115.99282:56109 115.99385:52714 116.01548:53856 116.02526:36863 116.02645:47317 116.02823:157164 116.02941:127958 116.03415:161433808 116.03623:1196061 116.03919:203915 116.04082:92987 116.0423:54402 116.04334:38265 116.05224:73678 116.07478:125395 116.92729:87539 117.01789:92262 117.03105:286820 117.03739:7172002 117.0401:76662 118.03836:616929 118.04961:68780 119.03358:89474 119.04174:52905 120.01136:751739 121.02814:307583"	"59.18731:248921 59.36653:217030 72.04386:3866453 74.02331:38598800 75.79302:204461 80.61431:217636 88.31904:249401 97.93669:267381 116.03396:3749958"
2302	"Pyridoxine"	448	1.236158	1.469204	2.453026	168.0657	74839544	839473344	"null"	"[M-H]-"	"M + 0"	""	"1.469"	"168.0657"	"C8H11NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"99.8"	"99.7"	"100"	"99.9"	2411.911	"168.0618:175570 168.06566:40247812 168.06955:213571 168.07161:43550 168.99799:222980 169.06066:1043322 169.06904:2235946 170.06425:110597 170.0697:149938 170.07266:84420 170.08134:61186 170.99604:44175 171.06526:76139 171.10161:117214 171.13817:146775 172.09665:229394 173.04484:46311 173.05574:138270"	"81.95165:7119 85.0278:6277 92.04923:6096 97.93484:6207 107.03665:12999 108.04373:73642 110.05923:9231 120.04411:8867 121.05233:46388 122.06028:584276 123.06289:11405 125.09619:8773 135.03175:30369 136.03904:7756 138.05535:293135 148.03964:12520 150.02942:18194 150.05555:2321891 150.07999:17555 150.98746:11814 151.05817:39104 153.00485:7319 153.04256:6602 166.05058:619645 167.0537:9238 168.02873:6795 168.04939:52267 168.06591:847821 169.0686:12723 169.0978:9344"
2354	"Deoxyadenosine"	454	1.236158	1.485383	1.867028	250.0944	14395249	164742400	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2360"	"1.486"	"250.09399"	"C10H13N5O3"	""	""	""	330	"True"	"True"	"True"	"100"	"91.7"	"91.5"	"100"	"96.5"	401.5929	"250.06745:993362 250.09442:7313964 251.09115:92460 251.09759:659509 253.02845:52714 255.08856:2270986"	"59.01247:32425 61.98675:582725 71.0121:9508 89.02312:13058 107.03455:13216 125.07097:19991 127.04979:23662 130.85939:6396 134.02533:35198 134.04594:6161656 134.06802:37218 145.06124:26908 158.00724:6487 160.06144:49749 169.06027:45373 187.07124:490246 250.09352:206959 250.14596:21926"
2438	"Deoxyuridine"	466	1.040513	1.518812	1.883655	227.0668	24473274	270505888	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_2442"	"1.518"	"227.06689"	"C9H12N2O5"	""	""	""	330	"True"	"True"	"True"	"100"	"85"	"84.3"	"100"	"93.6"	641.3651	"227.06685:13230790 227.96039:56674 228.07016:817544 228.9898:128175 229.07118:51450 230.98554:168919"	"59.01232:6758 61.98663:5152 66.03347:8947 94.02818:110034 111.00164:15998 111.01831:5207424 111.03493:39156 111.05712:7660 112.02273:19395 112.03828:8605 113.03476:17756 115.91926:6322 126.01831:8559 136.03915:53229 137.03479:16595 184.05992:491712 209.94792:10578 227.06725:189549 227.16458:7769 227.20022:110994 227.95908:6289"
2551	"Fumarate?"	484	1.252366	1.567643	1.867028	115.0025	38896088	457783776	"null"	"[M-H]-"	"M + 0"	""	"1.535"	"115.0023"	"C4H4O4"	""	""	""	330	"True"	"True"	"True"	"100"	"58.9"	"58.9"	"71.4"	"80.5"	80.92281	"115.00031:107445 115.0025:15781301 115.00455:75597 115.03857:211142 115.07536:292436 115.99386:53435 116.00601:404942 116.02527:43136 116.03194:387370 116.03416:57415416 116.03623:373283 117.01834:66164 117.0314:90433 117.03739:1629091 118.03832:181121 118.0408:53997 119.03358:57428"	"62.39884:23455 66.43178:28092 71.01212:3211014 72.04381:163030 74.02329:1418306 97.93577:28032 114.93457:140226 115.00236:302650 115.07511:83214 116.03392:132862"
