PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
896	N-Acetyl-L-Phenylalanine	305	0.8002636	1.038012	1.863764	206.0817	1620622592	17099636736	null	[M-H]-	M + 0	found in higher mz's MsMs_1051; found in higher mz's MsMs_924; found in higher mz's MsMs_922; found in higher mz's MsMs_916; found in higher mz's MsMs_984; found in higher mz's MsMs_1043; found in higher mz's MsMs_980; found in higher mz's MsMs_975	1.035	206.0815	C11H13NO3				330	TRUE	TRUE	TRUE	100	97	97	100	98.7	61277.54	205.69783:149313 205.88825:110738 205.98577:632335 206.02142:133007 206.03544:164496 206.0379:327644 206.04403:318404 206.04666:136225 206.04947:125110 206.05508:225001 206.0621:420422 206.06665:635256 206.07507:3526077 206.08173:1074987008 206.08665:6452071 206.08981:1326381 206.09822:571821 206.10279:285272 206.10524:207638 206.11787:252393 206.12419:395658 206.12945:129519 206.16174:117424 206.17578:217407 206.17858:534079 206.26005:118359 206.47939:135030 207.07944:1898957 207.08473:129937928 207.09004:782516 207.09711:143921 208.0819:328347 208.08547:4288320 208.08796:4202196 209.08883:560886 209.09168:176810 210.09185:124735	51.52015:37318 57.03302:59550 58.02844:2742004 59.04894:52680 70.02847:2086313 72.00767:93118 91.05373:2103601 103.05488:44018 135.04365:64477 147.04341:4920173 148.04863:44485 160.075:39442 162.09194:450756 164.04122:148355 164.07117:23978384 164.09903:175925 165.07451:239853 166.05446:29495 206.04124:82376 206.08077:13853367 206.12262:98413 206.16192:36316 207.08626:178767
964	N-Acetyl-L-Leucine	311	0.6959268	1.053945	1.896056	172.097	321137216	3338062848	null	[M-H]-	M + 0	found in higher mz's MsMs_990; found in higher mz's MsMs_980; found in higher mz's MsMs_1033	1.052	172.0968	C8H15NO3				330	TRUE	TRUE	TRUE	100	88	88	100	95	6199.001	172.02422:154057 172.06489:158351 172.07987:113426 172.08764:136154 172.08978:244784 172.09299:1404005 172.097:233540896 172.10102:969251 172.10316:352509 172.1053:198343 172.10852:124150 172.11066:116660 172.1302:116254 172.17064:102037 173.04441:3846966 173.09411:391378 173.10037:19131414 173.10335:312982 174.04801:202876 174.10111:1031456 174.10357:592324 174.95569:278974 175.06018:659176 175.23151:72443 176.98505:555631	58.02846:258223 72.98614:24626 75.68978:25024 82.065:56138 83.01241:43500 88.79403:23775 117.90597:28699 128.10622:1387280 130.06633:270555 130.08603:47086712 130.10715:237195 130.12967:39491 131.08971:609697 154.08576:42898 172.06669:90406 172.09666:13969342 172.13736:44250 173.10136:257459
1209	N-Acetyl-L-Methionine	335	0.7841429	1.119361	1.847585	190.0534	480370272	4874482176	null	[M-H]-	M + 0	found in higher mz's MsMs_1174; found in higher mz's MsMs_1102; found in higher mz's MsMs_1224; found in higher mz's MsMs_1275	1.103	190.0536	C7H13NO3S				330	TRUE	TRUE	TRUE	100	96.9	96.9	100	98.7	10162.7	189.96556:44634 189.96832:192714 189.98015:45685 189.98791:41532 190.01462:110507 190.02145:51398 190.02642:103479 190.02857:118792 190.03139:67126 190.03512:82897 190.03884:108492 190.04381:171643 190.04754:560111 190.05344:326472352 190.0581:1995178 190.06432:132128 190.06929:128848 190.07457:73971 190.07705:82303 190.07938:133703 190.08203:51784 190.08451:49502 190.09135:112418 190.09446:55250 190.11808:52071 190.13766:96705 190.14046:71487 191.05083:577120 191.05302:1367355 191.05676:25438682 191.10658:48329 192.04913:15614456 192.05736:1496709 192.05988:335275 192.06553:7895499 192.98886:41212 193.00794:57663 193.04609:63418 193.05235:922726 193.06072:118870 193.06888:679008 194.00371:50028 194.05358:109668 194.90506:244915 194.99559:48185 195.04984:44084	58.42334:353686 66.43378:393515 70.0285:778106 71.75979:388208 84.0443:7311675 87.91804:318965 96.04401:372652 97.93386:505530 98.05992:15518529 100.03932:1013370 105.4094:344472 112.03931:7493506 142.04961:85468080 143.05378:1027030 146.06399:1385678 148.04292:105306888 149.04587:976274 149.19268:341762 153.80859:314014 190.05278:66381944 191.05581:1131913 202.25931:317504
1258	Hippurate	341	0.8866442	1.136026	1.912672	178.05	74624360	736717440	null	[M-H]-	M + 0	found in higher mz's MsMs_1275	1.137	178.0502	C9H9NO3				330	TRUE	TRUE	TRUE	100	88	88	100	95	3101.751	177.97317:28493 178.03398:147286 178.04131:50060 178.04469:105252 178.05004:61895020 178.05427:419500 178.05765:65954 178.08442:26466 178.1281:26564 179.03725:69977 179.04728:169350 179.05343:6241678 180.05417:258508 180.05675:187790 180.98835:99139 181.06072:26643 181.07112:43526 181.99215:21057 182.04485:46239 182.08097:25859 182.96334:6303656 182.98759:589799 183.04026:32841	56.01249:53953 66.43224:41442 77.03798:45079 97.93662:45318 102.03328:69204 121.02816:33200 132.04452:158886 134.03261:39288 134.06049:11141956 134.0812:72651 135.06314:152137 142.18622:20761 148.03956:69980 160.04052:58561 178.05018:9882400 178.08184:59526 179.05348:142384
1492	Nicotinate	365	1.038012	1.202175	2.097467	122.0236	264377184	2661859072	null	[M-H]-	M + 0		1.205	122.0235	C6H5NO2				330	TRUE	TRUE	TRUE	100	81	86.8	83.3	91.7	6662.517	121.97932:148257 122.00329:59961 122.00425:78469 122.00936:83695 122.01271:116718 122.01463:78402 122.01559:188971 122.01863:290175 122.02182:1794952 122.02356:234649712 122.02582:894179 122.02726:343786 122.02918:257009 122.03093:115299 122.03221:94827 122.03477:66155 122.03733:77278 122.03957:61280 122.0434:100173 122.06706:167457 123.02048:552543 123.02682:14846216 123.90081:164147 124.02779:711895 124.03045:201338 124.99006:227425 125.02311:134893	53.37603:279860 57.03305:577180 59.04887:548564 59.53127:261379 63.39953:317325 65.00277:337139 66.43431:302074 71.37503:366710 78.03344:5173388 88.08719:281851 94.02819:393067 102.43137:349079 116.47286:279468 122.02317:14220707
1573	Pantothenate	371	0.8866442	1.217765	1.879898	218.1028	958669696	10749266944	null	[M-H]-	M + 0	found in higher mz's MsMs_1601; found in higher mz's MsMs_1598; found in higher mz's MsMs_1592; found in higher mz's MsMs_1684	1.222	218.10291	C9H17NO5				330	TRUE	TRUE	TRUE	100	94	94	100	97.5	124223.8	217.7522:57562 217.75486:43581 217.90887:60481 217.997:117418 217.99967:73762 218.05692:105934 218.06456:67476 218.06952:101415 218.0722:66779 218.07563:55638 218.07983:79500 218.08289:200411 218.08518:114327 218.08785:130194 218.09091:217636 218.09396:339701 218.10276:475901152 218.10848:3197262 218.11306:308696 218.11917:148919 218.12146:163855 218.12414:147930 218.13483:129719 218.14247:58141 218.15016:192658 218.16845:59547 218.2077:224694 218.453:58845 218.99955:55687 219.09603:40185 219.10026:984367 219.10603:47503420 219.1118:249357 219.17446:201400 220.06399:59479 220.10696:3581815 221.11009:295667 222.07666:136351 223.07183:56163	54.52539:702190 59.01233:2445929 66.43172:699585 71.01209:32388476 71.04893:7471685 88.02446:996881 88.0386:488213376 88.05032:4111121 88.05659:759322 89.04217:1289196 99.04351:2934650 116.0341:1493892 116.07086:1927926 129.05499:1592888 146.05726:1321533 146.08075:217981712 147.08399:1388358 183.81604:492346 218.05872:1779017 218.10165:255591920 218.14732:2093246 219.10707:1816658
1675	Biotin	383	1.038012	1.250708	1.765742	243.0804	52936728	622110272	null	[M-H]-	M + 0		1.256	243.08051	C10H16N2O3S				330	TRUE	TRUE	TRUE	100	88	88	100	95	1282.967	243.07406:125712 243.08036:21497060 243.0871:145165 243.10282:44904 244.07739:91639 244.08364:1826841 244.0991:122677 245.07635:671056 245.08421:112798 246.07989:86412 247.00107:121944 247.07197:39542 248.07933:98755	60.76975:51527 66.43327:45693 70.00238:22623 74.00524:214766 74.02325:58714 97.03912:29738 111.05484:29665 120.08023:77003 122.09614:230343 139.05776:49490 155.08117:27558 156.08444:283116 165.10284:389560 166.08709:2125951 171.08185:25109 191.08085:65574 197.09183:170257 199.09094:831876 200.07532:4154819 209.09347:653059 225.07131:26764 242.98546:31550 243.07909:20541218 243.13283:158859 244.08086:105890
1711	(RS)-Mevalonate	389	0.9872435	1.267337	1.847585	147.0652	56085200	686611392	null	[M-H]-	M + 0		1.273	147.065	C6H12O4				330	TRUE	TRUE	TRUE	100	93.6	67.8	80	91.4	437.9035	147.06265:95496 147.0652:22619802 147.06836:138349 148.00624:107725 148.06836:956484 149.06938:140135 149.99339:63159 151.00571:415252 151.03886:94297	54.37714:3930 57.03304:5713 59.01229:9418 61.98707:4652 66.43224:4223 70.0285:3876 71.04102:5995 71.04895:1253704 71.05692:11176 72.05187:8748 72.99149:8154 82.55945:3840 85.02775:12655 87.0072:25515 89.05893:4352 99.0436:40716 102.75762:3472 115.03874:4381 120.84776:3969 127.53059:3967 129.01747:4218 129.05496:80528 145.04956:8243 146.9251:5530 146.98593:6253 147.02824:42277 147.06535:1690856 147.08909:10166 148.06866:20886 152.39444:3921 153.38607:3631
1869	Acetyl-L-Threonine	413	0.9359772	1.333053	1.879898	160.0605	2473206272	31753781248	null	[M-H]-	M + 0	found in higher mz's MsMs_1931; found in higher mz's MsMs_1927; found in higher mz's MsMs_1918	1.323	160.06059	C6H11NO4				330	TRUE	TRUE	TRUE	100	99.8	99.8	100	99.9	59596.5	159.79763:102739 159.84075:122939 159.92896:87149 159.9635:79970 159.99455:553116 160.00189:99080 160.01845:156374 160.03117:292084 160.03453:182346 160.03655:186319 160.03861:115792 160.04221:128694 160.04629:216199 160.05013:574731 160.05493:1181742 160.06047:882916672 160.06406:4969911 160.0679:696993 160.06982:255999 160.07174:228591 160.0739:208361 160.07799:129213 160.07991:111358 160.08165:239516 160.08351:112363 160.08543:177889 160.08735:122217 160.09095:146250 160.09792:100615 160.10368:150111 160.1181:89059 160.12554:346289 160.12771:147198 160.15846:96285 160.18346:79970 160.21616:86440 160.28158:127375 161.05725:2014884 161.06009:340849 161.06373:57579144 162.06056:173651 162.06445:6416658 162.06668:673012 163.06804:303566 164.03435:80235 165.01819:199704 165.03933:92090	53.6661:169339 58.06537:183811 61.93063:168166 66.65933:165500 70.0285:5685100 72.04371:2855290 74.02326:36785532 75.02648:266400 90.14338:203320 95.53712:209484 98.02307:8432479 98.05993:1416734 104.34379:175474 116.03401:15595388 117.03767:229363 118.04943:393260 147.47227:168780 160.06126:4990230 169.14152:177303
1971	Thymidine	425	1.020885	1.366532	1.799036	241.0823	9682650	108683496	null	[M-H]-	M + 0	found in higher mz's MsMs_1976	1.357	241.0825	C10H14N2O5				330	TRUE	TRUE	TRUE	100	73.9	73.5	100	89.1	91.91336	241.08231:5112506 242.08588:424184 242.98332:64918 243.0803:2341194 244.04338:230504 244.08339:210283 245.07603:79290	59.01186:8972 66.43276:8634 101.18997:7311 117.56669:6960 125.0338:6355858 125.05366:46846 125.08019:12162 127.04961:34152 135.9863:9143 151.05065:65937 160.6607:7003 197.1548:8529 198.02419:14340 241.08542:290982 241.14572:10136 241.18124:9249 241.21463:49038
