"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
408	"N-Acetyl-L-Phenylalanine"	272	0.6888339	1.035483	1.873846	206.0815	592091584	6430656000	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_472"	"1.035"	"206.0815"	"C11H13NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	41415.49	"205.93844:44667 205.98503:219196 206.01836:41122 206.02257:59360 206.03554:47464 206.0387:182610 206.04646:155185 206.05167:84850 206.05658:128518 206.05939:83153 206.065:158661 206.06921:192928 206.07201:485495 206.07622:1089149 206.08149:415054048 206.08675:3107444 206.09236:302181 206.09657:161133 206.10218:60640 206.10534:75681 206.10779:93267 206.1106:75248 206.11271:160715 206.11832:85445 206.12078:35571 206.12604:143862 206.13902:54329 206.14639:63131 206.15201:47766 206.17622:73881 206.17903:102409 206.45381:38242 206.46682:50371 206.98805:46993 207.07954:726389 207.08448:49811296 207.08978:394037 207.09544:52327 208.0813:68491 208.08521:1577886 208.0877:1761087 209.08863:207947"	"51.52017:22868 57.03299:30885 58.02804:1546210 58.03431:12454 59.04843:21746 70.02849:1224326 70.03627:11427 72.00756:51926 91.05373:1143822 92.05671:12066 103.05383:19561 135.04354:48170 147.01971:20197 147.04343:3017484 147.06876:22908 148.04816:32676 160.0756:18519 162.09192:268895 164.03332:30886 164.07117:13780076 164.0991:106576 165.07442:144286 166.05251:13923 188.07026:8526 206.01608:13393 206.08075:8512651 206.12271:58422 206.15921:18349 207.0126:14169 207.08354:112294"
459	"N-Acetyl-L-Leucine"	278	0.7183649	1.0519	1.824188	172.0968	124630520	1335480576	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_497"	"1.052"	"172.0968"	"C8H15NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	6089.663	"172.02405:63183 172.06391:33694 172.07328:46696 172.08425:51374 172.0872:26169 172.08961:49895 172.09282:214011 172.09685:87041184 172.10085:638038 172.10834:60747 172.11611:31155 172.11932:58559 172.12253:26417 172.14074:26659 172.17074:26925 173.04456:1390539 173.094:200084 173.10022:7519488 174.04813:86033 174.10094:376563 174.10339:108457 174.95551:328105 175.06011:175639 175.10433:63291 176.0937:25625 176.985:133050"	"58.02803:142953 82.06493:54934 83.01245:27032 85.06498:11851 128.10632:974142 128.83422:11055 129.1107:18397 130.03123:16940 130.04249:22174 130.05374:42112 130.06499:201602 130.08607:32075084 130.10581:162562 130.12411:26089 130.13537:32359 131.08969:413076 154.08584:25828 154.94576:17534 172.06464:58625 172.09667:10293060 172.13745:33900 173.10161:160954"
551	"N-Acetyl-L-Methionine"	296	0.8957324	1.102648	1.824188	190.0536	166159312	1745548672	"null"	"[M-H]-"	"M + 0"	""	"1.103"	"190.0536"	"C7H13NO3S"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	6200.466	"189.6293:14176 189.89585:15610 189.96754:58995 189.97034:27683 189.99766:19422 190.01629:37459 190.0225:30293 190.02499:29828 190.02716:36020 190.03493:32625 190.04021:43178 190.04238:42283 190.04642:219903 190.04922:586966 190.05356:131522632 190.05823:777013 190.06195:89005 190.06848:32932 190.07096:26002 190.08122:42415 190.08588:32376 190.0919:57222 190.11043:18362 190.13857:80722 190.14307:14828 190.48051:17012 191.01902:19502 191.05064:232978 191.05315:544670 191.05659:9782801 191.06129:43336 192.03224:15414 192.04928:5665118 192.05748:494391 192.06001:138471 192.06538:5663150 192.07011:45204 193.0459:15291 193.05214:279871 193.0687:485662 194.05351:28803 194.05607:17938 194.07178:21378 194.90464:354510 194.98776:69921 194.99572:20909"	"57.03267:166538 70.02799:403134 71.04845:176494 84.04363:4500228 96.04407:426626 98.06008:10211131 100.03843:600286 112.03944:4120112 114.01808:126375 142.0498:53830644 142.07221:330239 143.05226:490104 146.06244:1006956 148.01746:489316 148.04312:63560632 148.067:489046 149.04597:386804 190.01813:257734 190.05301:46415408 191.05594:437655"
624	"Hippurate"	308	0.9136572	1.136664	1.808282	178.0502	27736228	286490944	"null"	"[M-H]-"	"M + 0"	""	"1.137"	"178.0502"	"C9H9NO3"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	2122.303	"177.97187:8940 177.97356:9440 178.01551:9402 178.02508:13894 178.03438:48043 178.03917:8863 178.04114:17846 178.04593:134750 178.05015:22541100 178.0541:163986 178.05776:20452 178.06001:19952 178.07072:13546 178.07579:9184 178.12736:13893 178.97574:7633 179.00072:7263 179.03395:10104 179.03736:15813 179.0469:52885 179.05327:2104074 179.05753:9173 179.08139:9411 180.05428:79774 180.05657:48359 180.06545:16197 180.98805:16527 181.01317:17826 181.06054:13771 181.07045:63484 181.08609:21797 181.98615:12565 182.04467:11819 182.96314:269741 182.98778:416976 183.04008:10197"	"56.01253:18208 60.99148:11086 77.03867:9998 78.98417:6484 84.98915:8228 102.03327:25655 105.00005:7678 120.04413:6146 121.02824:7939 132.04445:37279 134.0386:22028 134.05924:3159315 134.08129:25111 135.06301:52708 146.02391:4171 148.03965:18934 160.03932:21331 161.04396:5006 171.18816:4235 178.05041:2839178 178.08197:22957 179.05349:43784"
748	"Nicotinate"	332	0.9136572	1.205116	2.215619	122.0235	119189944	1277241472	"null"	"[M-H]-"	"M + 0"	""	"1.205"	"122.0235"	"C6H5NO2"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	2581.848	"121.97874:27301 121.98002:76141 121.99408:28590 122.00334:32609 122.00941:70175 122.01069:30477 122.01469:35596 122.01661:79243 122.01916:89687 122.02108:794985 122.02347:121429536 122.02572:559683 122.02971:64531 122.03115:60278 122.03359:128769 122.0369:83651 122.03802:24899 122.0401:23537 122.04138:30981 122.04298:56741 122.05033:23498 122.05225:22219 122.05353:29080 122.06746:96338 123.01849:39190 123.02035:277428 123.02674:7420780 123.02917:49131 123.05459:57185 123.90068:60796 123.98725:36393 124.00018:45559 124.02769:313947 124.02983:125627 124.9899:69130 125.023:40988 125.03096:25962 125.89876:49025 126.05484:27405"	"50.16853:116703 54.03309:119311 57.03309:496719 59.04848:524796 60.28784:127443 66.43436:138100 78.03345:5454682 86.3444:136786 90.00804:348362 94.02826:325205 94.91842:141447 110.60561:148871 122.02324:16277794 123.02668:172352 132.64531:125432"
785	"Pantothenate"	338	0.8957324	1.221949	1.873846	218.1029	343579616	3869353472	"null"	"[M-H]-"	"M + 0"	""	"1.222"	"218.10291"	"C9H17NO5"	""	""	""	330	"True"	"True"	"True"	"100"	"94"	"94"	"100"	"97.5"	53682.47	"217.97767:17023 217.9979:105218 218.02652:18022 218.03263:20672 218.04027:22808 218.04332:28926 218.05571:65136 218.06317:21798 218.06737:18674 218.07386:34570 218.07692:17619 218.08646:74416 218.08952:131072 218.0941:176449 218.09678:345268 218.10288:190304928 218.10823:1081455 218.11434:169885 218.11778:115461 218.12084:41756 218.12389:42435 218.13:30513 218.13306:52957 218.13764:25109 218.14414:33921 218.14834:32701 218.15101:17841 218.15789:16625 218.16362:25214 218.17165:28987 218.19152:18676 218.20604:27844 218.2091:57355 218.45773:23262 219.08695:18798 219.1004:430609 219.10579:19441730 219.11156:122856 219.11771:25246 219.12078:22609 219.17469:42707 220.06374:16441 220.10672:1272178 220.95983:15503 221.1095:129064 222.07647:46283 222.22546:15227"	"59.01234:183379 71.01215:2659765 71.04884:423866 79.81431:76308 88.02768:246022 88.03868:39544196 88.0504:252991 88.05667:86981 89.04226:112545 90.14182:68853 93.76244:67486 99.04368:177248 116.03421:122740 116.06978:95083 129.05372:171824 139.06876:75454 146.08086:17108552 147.08413:80651 149.49575:87646 164.67904:79636 165.6414:72774 194.09004:65956 204.53494:67945 218.10184:21283388 219.10727:124823"
854	"Biotin"	350	1.035483	1.255907	1.824188	243.0805	17808224	203120928	"null"	"[M-H]-"	"M + 0"	""	"1.256"	"243.08051"	"C10H16N2O3S"	""	""	""	330	"True"	"True"	"True"	"100"	"88"	"88"	"100"	"95"	802.7363	"243.08048:8424791 243.08678:67893 243.1025:13613 244.04322:79246 244.07707:29457 244.0837:654684 244.09898:61738 244.98513:114449 245.03795:18262 245.076:259255 245.08434:20498 245.08707:14804 245.103:16958 246.07956:23017 246.09787:15281 248.079:28196"	"60.76978:31930 68.04873:25176 71.98987:17720 74.00526:142665 74.02329:23150 95.02373:13739 97.03918:14003 111.0438:16688 111.0549:14449 120.08059:47892 122.09625:142990 139.05784:28090 148.07552:12323 155.08126:17308 156.0844:194643 157.09745:10067 165.10267:238841 166.0871:1232786 171.08207:31662 183.04795:9181 191.08122:33875 197.09219:84770 199.09098:555155 200.03512:19964 200.07533:2478627 209.09353:398612 225.07143:21159 242.95686:10032 242.9856:9522 243.02512:49511 243.07909:13191932 243.12218:76550 243.17612:19439 244.07927:40743"
865	"(RS)-Mevalonate"	356	0.9848234	1.273038	1.873846	147.065	24552410	293937376	"null"	"[M-H]-"	"M + 0"	""	"1.273"	"147.065"	"C6H12O4"	""	""	""	330	"True"	"True"	"True"	"100"	"97"	"97"	"100"	"98.7"	188.0038	"147.02845:56065 147.06505:9659088 147.06823:64309 148.06843:485105 149.06958:61309 149.99303:64306 151.00603:122313 151.01584:25151 151.02486:29779 151.03895:45492 152.03402:35899"	"57.03307:56465 59.01233:534584 68.99402:9881 71.04844:220200 72.05193:10019 77.01304:11184 85.02795:19520 87.00713:28689 99.04369:12077 129.05498:18419 146.98605:14142 147.01648:39890 147.02832:46966 147.06546:441417 147.08414:16544 148.06703:6209"
975	"Acetyl-L-Threonine"	374	0.8324057	1.323015	1.873846	160.0606	1025992256	12710469632	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1021; found in higher mz's MsMs_1018; found in higher mz's MsMs_1015"	"1.323"	"160.06059"	"C6H11NO4"	""	""	""	330	"True"	"True"	"True"	"100"	"100"	"100"	"100"	"100"	27274.82	"159.78886:49529 159.79748:60727 159.92906:41773 159.93865:64321 159.97223:39631 159.99463:279642 159.99718:36446 159.9991:51584 160.00102:42161 160.00966:25630 160.01158:72177 160.0135:64162 160.01728:65549 160.02574:47542 160.02958:60801 160.03257:94418 160.03438:50463 160.03749:123880 160.04062:88612 160.04326:56651 160.04614:71735 160.04999:195471 160.05191:197739 160.05383:166529 160.05599:931721 160.06056:403928128 160.06391:2738861 160.06991:164334 160.07159:124384 160.07664:63605 160.07832:30629 160.0812:191647 160.08549:125767 160.08744:61195 160.09022:191316 160.09609:63715 160.10089:31676 160.10498:67784 160.11027:93759 160.11699:39346 160.12083:41413 160.1254:150104 160.12732:96308 160.14966:30908 160.18331:40138 160.22587:35631 160.33173:31010 160.38951:48815 160.99719:34286 161.04371:33037 161.05728:645190 161.06359:27907718 162.06048:73753 162.06431:2957725 162.06653:343464 162.37005:31088 162.98113:65636 163.03838:29805 163.06797:129907 163.11147:52277 164.00132:31950 164.0342:40745 164.03719:32113 164.04516:28482 164.07008:40707 165.01811:218380"	"54.09002:268497 55.8364:227462 66.4323:274789 70.02802:18407540 72.04379:8698361 74.02332:99864656 74.03177:719793 75.02654:682200 90.11504:241043 91.92206:255364 94.88421:252324 96.08606:293895 98.02318:26463172 98.05992:3745188 99.02686:562306 99.07081:230936 116.03421:42322116 117.03656:409220 118.04975:1492957 118.56951:289462 121.71569:261584 122.70242:246130 160.02337:416797 160.05992:16323736 161.06336:351944"
1043	"Thymidine"	386	1.018588	1.356667	1.808282	241.0825	4760419.5	53569948	"null"	"[M-H]-"	"M + 0"	"found in higher mz's MsMs_1047"	"1.357"	"241.0825"	"C10H14N2O5"	""	""	""	330	"True"	"True"	"True"	"100"	"75"	"75"	"100"	"89.6"	357.183	"241.08246:2620808 242.0859:196583 242.98347:18124 243.08042:493563 244.04297:140916 244.08414:63218 244.9847:121151"	"54.70922:4620 59.01191:6610 61.0073:3911 125.0153:18267 125.03389:2511754 125.05376:17702 127.04982:10789 151.05047:38829 153.0911:5546 197.08146:6247 197.10771:15842 197.15496:13864 198.02171:4286 241.08205:245395 241.14591:10618 241.18144:9855 241.21545:59712 241.57272:6817"
