PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	22	0.1313807	0.2354383	0.4830615	215.8366	1754.15197753906	14240.7109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.052068	215.83659:1762 216.08683:1402 216.85304:4764 217.07091:2523 217.10732:3840 217.85303:1540 218.00371:2083 218.91987:2355 218.98539:29114 219.09818:1693 219.17462:57408 219.93963:2023 220.17805:6359	
1	Unknown	28	0.1313807	0.2976191	0.3906225	158.99	274599.90625	3785318.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.679718	158.97458:4243 158.98617:8522 158.99002:61708 159.0283:2004 159.03996:1729 159.06517:9515 159.08348:4648 159.10108:5843 160.89151:5309 160.91072:3202 160.94815:39012 161.04428:16385 161.91248:9698 161.94351:1884 162.02784:1972 162.89251:8316 162.94631:3300 162.95716:3321 162.95889:3414 162.98121:50127 163.03908:4208 163.0616:11944 163.07513:2905 163.9846:2202	
2	Unknown	28	0.02661899	0.2976191	0.3286709	283.2642	326587.3125	4951981	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.5731	283.02925:2286 283.07781:3353 283.26417:85809 283.99032:3491 284.26719:13483 285.99199:3298	
3	Unknown	30	0.03715001	0.3183314	0.4418388	182.9877	608020.1875	12532738	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.37859	182.93047:14884 182.96334:1057706 182.96743:6644 182.98767:149905 182.99209:2011 183.06548:2987 183.10191:8881 183.96658:15256 184.0604:1734 184.9286:2203 184.96051:308485 184.96696:24603 185.01301:2658 185.04403:5975 185.08083:12802 185.09211:1630 185.11092:3565 185.11719:6636 185.15343:17138 185.96162:1577 185.96335:5507 185.99725:44632 186.07732:7309 186.11235:4100 186.15721:2944 186.98178:3186 187.00119:3610 187.06006:9524 187.07307:1328 187.09643:10694 187.13339:4837	
4	Unknown	32	0.06859984	0.3390209	0.5346548	170.0813	99902.875	2327132	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	6.338384	170.08127:21383 170.11757:1711 170.9957:3555 171.06519:14498 171.08429:2315 171.10177:105650 171.13809:95731 171.95912:5682 172.03947:2528 172.06034:2361 172.07185:2235 172.09681:7597 172.10477:4324 172.14097:5962 172.95708:318195 173.04449:6599 173.08114:9163 173.11766:5921 173.95657:17629 174.04011:2983 174.95598:390347 174.9609:4230 174.98478:3038 175.04627:3375 175.05974:6903	
5	Unknown	32	0.02661899	0.3390209	0.3906225	205.159	320234.625	6100170	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	19.29206	204.91249:12226 205.03509:2621 205.15902:80209 206.16217:11759 206.97198:2063 206.98787:3253 207.02954:3803 207.94415:5047 207.99927:1874 208.51704:2549 208.93394:8742 208.983:2976 209.00342:1580 209.0449:64368 210.00115:1789 210.04842:6803	
6	Unknown	35	0.2769276	0.3700081	0.4009162	227.2006	97917.515625	711381.5625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.231662	226.99436:4423 227.09171:4191 227.12816:6641 227.16476:3512 227.20062:28483 228.08909:1769 228.15976:1761 228.20431:3507 228.93116:4830 228.9899:37926 229.07127:2438 229.10745:4906 229.14405:3557 229.99814:7917 230.98542:39244 231.12265:2693 231.98871:3081	
7	w/o MS2:Guanine	36	0.08952473	0.380331	0.4830615	150.0409	169567.703125	3883269.25	null	[M-H]-	M + 0		2.769	150.041	C5H5N5O				530	False	True	False	49	null	null	null	74.5	1.459696	150.02986:2440 150.04116:36832 150.0547:1426 150.06625:7401 151.02508:24742 151.03873:13447 151.05039:2058 152.03424:7912 152.04536:4407 152.07076:4965 152.98488:2541 153.00709:2563 153.01584:2384 153.01786:1402 153.02909:2199 153.05468:4237 153.99112:4881 154.04982:3727 154.06138:9487 154.0861:8090 154.9461:6380 155.00035:6808 155.03387:4884	
8	Unknown	38	0.06859984	0.4009162	0.5037259	129.0546	406645.53125	9112610	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.878225	129.01793:23839 129.05461:109676 129.09094:91777 130.0139:2614 130.03974:17283 130.04959:3334 130.05768:3363 130.08617:50531 130.09427:3750 130.92974:4605 130.99122:11042 131.03372:10520 131.0355:4408 131.04492:4733 131.07073:8772 132.02888:15818 132.04021:4718 132.0555:31003 132.99067:4933 133.01304:11270 133.04943:1960 133.0507:10372 133.08565:5183 133.94317:1558 134.03511:18760 134.04597:5005	
9	Unknown	39	0.380331	0.4112015	0.4624283	227.2007	97919.3125	477758.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.6513569	226.95301:2666 226.99396:3668 227.09212:2719 227.12788:5591 227.20065:24227 228.20391:2553 228.93117:4567 228.99024:28980 229.07169:2810 229.10787:2624 229.14406:4081 229.99818:8872 230.98542:36660 231.08684:2534 231.12308:2270 231.98872:3133	
