"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
358	"N-Acetyl-L-Phenylalanine"	96	0.8213298	0.9895642	1.329124	206.0816	213105984	1426501888	"null"	"[M-H]-"	"M + 0"	""	"1.035"	"206.0815"	"C11H13NO3"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	38856.05	"205.98558:52069 206.03782:34894 206.04062:22002 206.04378:17789 206.04693:17490 206.05079:16638 206.05325:26414 206.05921:25976 206.06798:45803 206.07218:75869 206.07639:439377 206.08164:98149232 206.08692:498060 206.09253:55680 206.09674:52615 206.09955:21289 206.10305:26028 206.10551:27133 206.10902:9822 206.11147:26677 206.11779:22124 206.12084:25257 206.12416:43215 206.15323:12263 206.16165:22323 206.17675:14063 206.1792:28681 206.40334:12400 207.02919:19538 207.07971:164572 207.08463:11349237 207.08995:69783 208.08176:33743 208.08538:362989 208.08787:337110 209.04436:50304 209.08908:41998"	NA
395	"N-Acetyl-L-Leucine"	97	0.6579456	0.9990537	1.367432	172.097	45535476	300867712	"null"	"[M-H]-"	"M + 0"	""	"1.052"	"172.0968"	"C8H15NO3"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	5596.133	"172.02315:11863 172.06167:7799 172.08549:9405 172.09085:29375 172.09326:133245 172.09701:22491268 172.10102:129652 172.10423:20840 172.12993:9854 172.95655:39235 173.04436:200727 173.08094:17622 173.09394:54817 173.10037:1894043 173.11739:26273 174.05835:10466 174.10111:79941 174.10356:31966 174.95566:358146 175.06012:79409 175.09626:12171 176.98505:49192 176.99724:12102"	NA
527	"N-Acetyl-L-Methionine"	102	0.8213298	1.046962	1.367432	190.0537	43054368	280258688	"null"	"[M-H]-"	"M + 0"	""	"1.103"	"190.0536"	"C7H13NO3S"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	6421.274	"189.96863:12470 190.01552:8673 190.01769:7950 190.02701:6530 190.04254:7642 190.04534:17547 190.04906:142714 190.05373:21465694 190.05807:142018 190.06211:16450 190.06708:9416 190.06957:5094 190.07174:7431 190.0792:8535 190.08821:8920 190.0907:5992 190.09318:5597 190.13981:6818 190.9763:5606 191.01918:9823 191.05049:31341 191.05299:74984 191.05676:1623104 192.04944:1003342 192.05764:67447 192.06111:19750 192.06585:2058975 192.07026:15835 192.91019:24604 192.99264:4566 193.00885:9761 193.04987:8289 193.05242:52962 193.06885:144912 193.08581:13081 194.00346:17641 194.07001:9822 194.07289:6086 194.90518:905837 194.98768:55845 194.99781:4655 195.05012:11713"	NA
553	"Hippurate"	104	0.9215958	1.066449	1.348324	178.0501	8945313	57602132	"null"	"[M-H]-"	"M + 0"	""	"1.137"	"178.0502"	"C9H9NO3"	""	""	""	520	"True"	"True"	"False"	"99.9"	"null"	"null"	"null"	"100"	897.5269	"178.02631:90636 178.04356:6390 178.0461:24573 178.05006:4785004 178.05427:36831 178.05765:5154 178.07117:12969 178.52793:20478 178.97619:7550 179.03383:4296 179.04688:11460 179.0534:390502 179.0702:4264 180.05416:9315 180.05674:8318 180.06591:9233 180.98823:17139 181.00208:4313 181.02489:4369 181.06099:4056 181.07064:28177 181.08613:4448 181.98631:5402 182.92993:13461 182.96335:1075354 182.96744:5935 182.98764:211499"	NA
669	"Nicotinate"	115	0.8914691	1.175198	1.444173	122.0235	41986088	253638352	"null"	"[M-H]-"	"M + 0"	""	"1.205"	"122.0235"	"C6H5NO2"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	2404.605	"121.97989:22783 121.99092:6728 122.00338:10510 122.00514:14047 122.00754:9763 122.00978:11069 122.0109:11338 122.01633:16367 122.01936:30633 122.02352:30402218 122.02592:148868 122.02847:28977 122.03055:21770 122.03414:194786 122.03695:15432 122.03902:7074 122.04014:10389 122.04142:11816 122.04334:18648 122.0678:20845 122.97454:8093 123.01869:17333 123.02047:64542 123.02452:19196 123.02693:1973822 123.03795:9146 123.04377:7284 123.05494:16297 123.98778:18152 124.00038:27245 124.00611:16160 124.02396:7982 124.0279:49221 124.03042:29917 125.02304:14650 125.03431:11125 126.9037:17615"	NA
725	"Pantothenate"	116	1.076255	1.184623	1.876206	218.1029	119937280	706117440	"null"	"[M-H]-"	"M + 0"	""	"1.222"	"218.10291"	"C9H17NO5"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	58344.65	"217.90749:17015 217.99638:17767 217.99905:45393 218.01241:15228 218.0544:18773 218.05745:28532 218.06929:25350 218.07234:13969 218.07883:36615 218.08151:20042 218.08953:34377 218.09258:116677 218.09716:557390 218.10288:116199544 218.10862:542150 218.11473:42660 218.11893:47629 218.12275:20750 218.12543:38465 218.13498:18394 218.14988:51808 218.15637:16430 218.20811:63437 218.98549:38944 219.08695:13599 219.10041:290864 219.10615:11096185 219.1131:34810 219.17464:60372 220.06413:26905 220.10246:16607 220.10672:715459 220.17836:13831 221.10937:56911 222.07666:27930 223.05627:157293"	NA
792	"(RS)-Mevalonate"	117	0.901496	1.194048	1.657776	147.0653	7091658	45796484	"null"	"[M-H]-"	"M + 0"	""	"1.273"	"147.065"	"C6H12O4"	""	""	""	520	"True"	"True"	"False"	"99.9"	"null"	"null"	"null"	"99.9"	244.6506	"146.96488:17159 147.01665:25252 147.02854:44838 147.0621:31497 147.06528:4672942 147.06824:20592 148.06836:193267 149.06946:21417 150.04118:36024 151.00625:74541 151.03894:25897 151.05039:11538 152.03424:26179"	NA
806	"Biotin"	117	1.02766	1.194048	1.560425	243.0806	13073344	78248912	"null"	"[M-H]-"	"M + 0"	""	"1.256"	"243.08051"	"C10H16N2O3S"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	1748.994	"243.07426:55075 243.08056:8944325 243.08729:39923 243.09762:14016 243.12324:32819 244.04322:73167 244.07758:34570 244.08381:720708 244.09928:33414 244.11828:13589 244.98495:70303 245.07603:260756 245.0844:33982 246.08007:35069"	NA
883	"Acetyl-L-Threonine"	119	1.086084	1.213025	1.866306	160.0605	241871040	1731825152	"null"	"[M-H]-"	"M + 0"	""	"1.323"	"160.06059"	"C6H11NO4"	""	""	""	520	"True"	"True"	"False"	"99.8"	"null"	"null"	"null"	"99.9"	21811.56	"159.89355:9797 159.93767:9273 159.96261:9172 159.97221:10603 159.99445:56750 160.00292:10989 160.00772:13823 160.01156:10573 160.01444:9108 160.01732:9647 160.02404:12220 160.02596:14830 160.02788:11710 160.03172:36572 160.03604:17135 160.0406:11996 160.04444:11801 160.04612:43234 160.04828:35206 160.0502:17881 160.05212:22625 160.05404:63857 160.05692:395307 160.06054:94125872 160.06413:551181 160.06605:182826 160.06797:41369 160.07013:43966 160.07181:28076 160.07397:28099 160.07589:29272 160.08574:17390 160.08862:18332 160.09009:41560 160.09415:14385 160.09607:10515 160.09991:8823 160.11913:11387 160.12585:40294 160.12778:20386 160.13162:12095 160.18257:10662 160.18449:8426 160.20372:8776 160.32496:13285 160.39142:9180 160.89161:8670 160.94774:33314 161.04476:28619 161.05749:163890 161.06381:6163441 161.08052:9401 161.89222:9974 161.912:14762 162.06451:609361 162.06723:57651 162.89232:20297 162.95643:11041 162.98111:58285 163.06007:11452 163.06811:31171 164.03416:54338 164.07036:78328 165.01824:220310 165.03933:23472"	NA
1007	"N-Acetyl-Glycine"	128	1.086084	1.300133	1.512621	116.0341	59014692	502271968	"null"	"[M-H]-"	"M + 0"	""	"1.452"	"116.034"	"C4H7NO3"	""	""	""	520	"True"	"True"	"False"	"99.7"	"null"	"null"	"null"	"99.9"	4422.422	"115.99336:15070 116.01557:11101 116.01868:4482 116.02535:7311 116.02653:8875 116.0295:18218 116.03068:23060 116.0341:21349164 116.03631:141909 116.03809:26628 116.04106:11445 116.04224:9866 116.04358:4568 116.04461:4411 116.05203:9942 116.05306:4258 116.07011:32027 116.07441:12325 116.07812:10287 116.92723:1330644 116.92947:8887 116.93322:17769 116.93862:5496 116.95691:3779 116.95806:61192 117.01789:46322 117.031:47260 117.03734:882084 117.04019:8589 117.05429:46223 117.92732:82067 118.0032:25921 118.03832:78573 118.04087:7224 118.04954:10371 118.91733:3982 118.92534:12849 118.93163:5123 118.9913:13736 118.99733:4942 119.03381:26363 120.01127:14648 120.04417:4464 120.0554:6141 120.99545:9822 121.0283:283085"	NA
