Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	unlabeled_A_20230718200130	unlabeled_ms1_amino	unlabeled_ms1_sugar	unlabeled_ms2_amino	unlabeled_ms2_sugar	unlabeled_S
727	6.784	74.02294	Glycine	[M-H]-	similar chromatogram in higher mz_3537; similar chromatogram in higher mz_3539; similar chromatogram in higher mz_9574; similar chromatogram in higher mz_10671; found in higher mz's MsMs_3537; similar chromatogram in higher mz_8683; found in higher mz's MsMs_4487	1	TRUE	7.024	74.02319	C2H5NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	92.7	99.6	88	74.8	100	3354.45	unlabeled_S	74.02293:70277856 75.02628:789086 76.02964:145535	55.82248:29281 57.99154:75980 66.92698:28096 72.00717:47864 74.01414:103396 74.02261:14416358 74.03166:92724	10840	13412	3947	10095	8801	8652
2181	1.19	87.0069	Pyruvic acid???	[M-H]-	found in higher mz's MsMs_2193	1	TRUE	1.239	87.00691	C3H4O3		LCTONWCANYUPML-UHFFFAOYSA-N	null	330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	73.3	99.9	45.6	60.7	22.2	85.82	unlabeled_A_20230718200130	87.0069:23832102 88.01025:611960 89.01361:156893280	58.87534:9350 69.62665:8348 78.95679:70205 81.12122:9962 87.00713:222940 87.04329:122198	1576	1858	381	1534	1350	310
2268	5.555	88.03857	L-Alanine	[M-H]-	similar chromatogram in higher mz_5296; found in higher mz's MsMs_5296; similar chromatogram in higher mz_12725; found in higher mz's MsMs_12725	1	TRUE	5.767	88.03899	C3H7NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	69.7	99.9	75	75	100	2308.16	unlabeled_S	88.03858:73813008 89.04193:1513500 90.04529:173159	66.30194:31021 88.03854:4949464	8481	10062	3246	7876	7306	7078
2378	1.293	89.02259	Lactic acid?	[M-H]-		1	TRUE	1.391	89.02298	C3H6O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	87.3	99.8	75	74.3	75	526.19	unlabeled_ms2_sugar	89.02304:656345024 90.02639:24881372 91.02975:5876677	52.36388:274592 64.49228:229497 71.01205:839306 87.00709:762408 89.02297:32374800	1795	2102	537	1694	1629	469
3414	5.548	102.0546	Gamma-aminobutyric acid	[M-H]-	found in higher mz's MsMs_6318	0.667	TRUE	6.861	102.0547	C4H9NO2				430	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	79.1	80.8	73.1	69.2	50	663.9	unlabeled_S	102.0542:4899562 103.05755:83423 104.06091:0	54.19462:3723 57.89698:4118 59.01183:7435 67.33392:3313 71.72401:3949 73.02754:10849 84.04349:6724 85.73112:3172 88.9824:3359 102.01758:7155 102.05377:824824	8950	9896	-2	7742	6716	6851
3488	1.211	103.03821	3-Hydroxybutyric acid (BHB)	[M-H]-		1	TRUE	1.213	103.0387	C4H8O3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	91.8	99.9	80.3	80.8	100	141.01	unlabeled_S	103.03822:6776806 104.04157:147982 105.04493:0	55.01712:7407 57.0326:12031 59.01187:189031 73.02753:530001 86.7184:3475 86.7636:3272 103.03775:119836	1619	1687	382	1536	1594	396
3537	6.8	104.03389	L-Serine	[M-H]-	similar chromatogram in higher mz_12511; found in higher mz's MsMs_9840; found in higher mz's MsMs_14124; similar chromatogram in higher mz_7532; similar chromatogram in higher mz_12331	1	TRUE	7.041	104.0339	C3H7NO3				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.3	100	93.6	93.6	100	5280.16	unlabeled_A_20230718200130	104.0335:845855552 105.03685:29997702 106.04021:4285368	69.02275:293144 72.0072:28939604 72.01298:386190 74.02264:43356512 75.55876:349170 104.0331:22985574	10919	13460	3932	10138	8806	8684
3989	1.438	111.01867	Uracil minor peak	[M-H]-	found in higher mz's MsMs_16695; found in higher mz's MsMs_6776	0.833	TRUE	1.619	111.0187	C4H4N2O2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	84.8	99.6	58.6	71.6	100	25.53	unlabeled_ms2_amino	111.01867:5613445 112.02202:110609 113.02538:592126	54.35438:3518 58.02808:4952 67.02842:11842 68.01251:14528 77.04501:3629 78.95745:15182 79.95579:19008 80.96342:5541 95.93316:41869 95.9502:5581 110.9571:98647 110.97474:107862 110.99802:6838 111.018:564252 111.04352:9999 111.05462:6989	2022	2465	-2	1924	1877	858
3990	1.79	111.01867	Uracil	[M-H]-	similar chromatogram in higher mz_11746; found in higher mz's MsMs_11746; similar chromatogram in higher mz_5051; similar chromatogram in higher mz_12919; similar chromatogram in higher mz_16169; similar chromatogram in higher mz_17193; found in higher mz's MsMs_14230; similar chromatogram in higher mz_15617; found in higher mz's MsMs_14958; similar chromatogram in higher mz_14063; similar chromatogram in higher mz_5050	1	TRUE	1.619	111.0187	C4H4N2O2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	82.7	99.6	73.2	70.7	33.3	163.33	unlabeled_A_20230718200130	111.01825:17512580 112.0216:547971 113.02496:149889	65.99627:8148 67.02838:11146 110.99844:35378 111.01818:1440069	2542	3103	629	2437	2268	1390
4076	1.658	112.04991	Creatinine	[M-H]-	similar chromatogram in higher mz_12765; similar chromatogram in higher mz_10326	1	TRUE	1.808	112.0503	C4H7N3O				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.5	100	75	74.9	100	84.1	unlabeled_A_20230718200130	112.04991:17203426 113.05326:767364 114.05662:285638	55.99934:3479 58.028:8097 68.99406:30462 69.00752:10933 83.02315:4345 97.02638:3870 110.03393:14414 110.82757:3416 112.01454:6932 112.02129:11921 112.04943:2771736 112.06629:21297	2495	3030	-2	2386	2236	1306
4202	2.862	114.05428	L-Proline	[M-H]-	similar chromatogram in higher mz_13320	1	TRUE	3.089	114.0547	C5H9NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	89.4	99.5	75	75	100	1059.27	unlabeled_A_20230718200130	114.05428:197899776 115.05763:10424548 116.06099:70447224	66.03302:829591 86.02251:325686 112.03817:182206 114.03757:281023 114.05377:42460804 114.07108:315836	4263	5102	1165	4165	3736	3161
4204	3.344	114.05484	L-Proline minor peak	[M-H]-		0.667	TRUE	3.089	114.0547	C5H9NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	89.6	100	75	75	100	289.11	unlabeled_ms2_sugar	114.05484:20110332 115.05819:1167876 116.06155:1518873	66.03351:88591 71.04896:12831 86.02322:41970 112.03909:26065 114.01889:24271 114.0547:4961078	-2	-2	-2	-2	4030	-2
4257	1.427	115.00192	Fumarate?	[M-H]-	similar chromatogram in higher mz_10031; similar chromatogram in higher mz_10145; similar chromatogram in higher mz_11026; similar chromatogram in higher mz_12031	0.833	TRUE	1.535	115.0023	C4H4O4				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	90.6	99.9	77.4	78	100	11.98	unlabeled_A_20230718200130	115.00197:2128264 116.00532:662168 117.00868:146182	55.6134:3368 57.49129:3498 59.01184:6854 61.22612:3622 64.68475:3640 66.92751:4641 71.01211:359740 71.04839:20373 73.98095:9965 74.02261:6312 98.62045:3365 113.19214:3538 114.93459:590565 115.00123:38313 115.01879:10269 115.0386:18102 115.07503:49763	2024	2415	-2	1886	1855	217
	1.427	115.00192	Fumarate? pinor peak	[M-H]-	similar chromatogram in higher mz_10031; similar chromatogram in higher mz_10145; similar chromatogram in higher mz_11026; similar chromatogram in higher mz_12031	0.833	TRUE	1.535	115.0023	C4H4O4				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	90.6	99.9	77.4	78	100	11.98	unlabeled_A_20230718200130	115.00197:2128264 116.00532:662168 117.00868:146182	55.6134:3368 57.49129:3498 59.01184:6854 61.22612:3622 64.68475:3640 66.92751:4641 71.01211:359740 71.04839:20373 73.98095:9965 74.02261:6312 98.62045:3365 113.19214:3538 114.93459:590565 115.00123:38313 115.01879:10269 115.0386:18102 115.07503:49763	-2	-2	-2	-2	-2	860
4337	2.678	116.06988	L-Valine	[M-H]-	similar chromatogram in higher mz_6636	1	TRUE	2.936	116.0703	C5H11NO2				330	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	88.6	99.1	72.4	74.2	100	605.23	unlabeled_ms2_sugar	116.07043:14048948 117.07378:549479 118.07714:24888	65.01271:10441 68.24988:5540 72.0438:30451 73.02818:41795 74.02322:8404 80.91576:9230 89.01261:12082 89.23608:5490 91.28816:5847 97.97785:6315 98.02283:60295 99.007:8836 100.19878:5462 103.07632:5774 116.02435:18094 116.03384:15831 116.07059:1858464	4023	4830	1069	3880	3482	2903
