PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
10642	2-Oxoglutarate/a-Ketoglutaric acid	2341	6.526092	6.808031	7.136572	145.0126	500777248	6022475776	null	[M-H]-	M + 0	found in higher mz's MsMs_10594; found in higher mz's MsMs_10686	7.174	145.013	C5H6O5				520	TRUE	TRUE	FALSE	98.3	null	null	null	99.1	308.0836	144.95579:94044 144.9745:28875 144.98651:36455 144.98796:33036 144.99127:34525 144.9952:29425 144.99727:37316 144.99872:35186 145.00203:36953 145.00783:153518 145.01259:136709776 145.0157:646338 145.01922:77679 145.02357:26629 145.02729:57500 145.02936:53921 145.03806:60246 145.06001:7204384 145.06872:73811 146.01595:7326185 146.02265:47205 146.02621:53135 146.0442:4922774 146.06318:192777 146.96997:58179 147.00146:31405 147.01012:32915 147.01245:38308 147.0171:668439 147.01984:88309 147.02323:98936 147.02808:94350544 147.03126:405441 147.03527:70176 147.03718:42724 147.04056:32124 147.0431:52564 147.04542:29636 147.0469:152543 147.05409:38254 147.06424:44107 147.08539:51825 148.00508:36748 148.03133:5245026 148.0339:77819 148.04169:86819 149.03217:687840 149.05482:57213 149.99263:37690	56.20382:267320 58.02801:784114 67.02786:422852 70.02791:324292 71.01146:310681 72.00718:1128740 72.99086:464502 74.02267:3144582 82.02779:1483352 84.0436:6571736 85.23708:320370 86.02326:902914 88.49713:261225 97.03908:1236696 98.02305:1388404 99.05478:1028910 101.02217:1363326 101.07034:4804916 102.05376:574912 107.02288:931898 109.03904:8254488 125.03389:4832811 125.58722:257579 127.04965:32430096 128.03339:16620130 145.05946:32722506 160.25383:303476
1619	3-Hydroxybutyric acid (BHB)	319	0.9977928	1.178733	1.765494	103.0382	17351314	323576032	null	[M-H]-	M + 0		1.213	103.0387	C4H8O3				330	TRUE	TRUE	TRUE	100	75.3	76	100	89.8	263.1604	103.00206:72596 103.01279:15920 103.03821:3895992 104.04167:77097 104.99835:35948 105.93402:25467 107.04883:18943 108.00492:15882	55.01713:21311 57.03266:99192 58.99421:7244 59.01186:172643 59.06046:5606 62.71932:5954 63.51889:5922 66.12461:6122 73.02755:1071806 76.58839:6823 81.14132:5894 85.02771:5224 94.85079:6216 103.03778:387047
14121	3-Phosphoglycerate?	3285	9.34233	9.541391	9.965795	184.9839	994510.125	12749853	null	[M-H]-	M + 0	similar chromatogram in higher mz_14123; similar chromatogram in higher mz_14111; similar chromatogram in higher mz_14135; similar chromatogram in higher mz_14116; similar chromatogram in higher mz_14161	9.732	184.9848	C3H7O7P				330	TRUE	TRUE	TRUE	99.5	42.8	93.4	100	84.3	22.23586	184.95951:12761 184.96574:9395 184.98395:230915 185.04342:12774 185.05469:4699 185.08036:12911 185.11649:5651 185.15293:4280 185.9967:7487 186.00272:2890 186.03912:4197 186.07553:6128 186.1114:9908 187.02292:11005 187.05909:27180 187.07085:3355 187.09573:29222 188.01822:7328 188.05445:53220 188.09161:3278 188.9797:10498 189.00228:27475 189.03864:30437 189.05046:2778 189.05786:8544 189.07501:13497	70.93943:3922 78.95682:247111 87.00714:8810 96.95753:8399 96.9675:522194 97.06448:7128 105.01728:4756 113.05861:8007 122.9657:14781 141.06388:5905 141.0909:8284 147.17367:3998 166.97369:11348 168.5421:3792 184.98446:95769 185.02516:6086 185.08008:13056 185.11591:15803 185.15414:12423
2701	Acetyl-L-Threonine	573	1.615299	1.896849	2.497516	160.0599	53049324	954455616	null	[M-H]-	M + 0		1.323	160.06059	C6H11NO4				530	TRUE	TRUE	FALSE	96	null	null	null	97.8	1384.616	160.00585:36417 160.05625:86949 160.05985:14440442 160.06322:68815 160.09607:196950 160.94758:42025 161.00715:30714 161.04355:57131 161.05488:27144 161.05682:30843 161.06304:662932 162.06386:33723 162.98042:28651 164.03373:34220 164.06986:19811742 164.07359:123039 165.01747:277730	60.99152:240097 72.00728:191418 74.02266:265667 82.02767:389351 84.04336:108391 98.02304:28305 100.03831:33992 128.01274:118002 128.03334:21657530 128.05397:110694 129.03691:200074 160.05964:35505
2279	Adenine	475	1.429248	1.615299	2.098183	134.0454	43245080	539963712	null	[M-H]-	M + 0	found in higher mz's MsMs_2289; found in higher mz's MsMs_2284	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE	99.7	88	88	100	94.8	385.7583	133.98965:12982 134.04262:47141 134.04538:12040008 134.04814:74877 134.89308:15836 135.02972:32310 135.04227:100548 135.04868:455749 135.94324:47274 137.02262:40139 137.02985:35483 137.03351:71499 137.9389:29926 138.01769:15967	50.29172:14877 53.73811:16890 55.65118:17249 58.26985:14581 65.01267:19578 71.6791:16806 75.00672:18600 75.49526:13806 86.45321:14859 92.0233:211983 107.03449:1219568 134.04577:10616770 134.06641:69360 134.89331:33764 135.04948:59819 152.78412:16153
1775	Adenine minor peak	355	1.014866	1.278216	1.429248	134.0454	13120300	115926728	null	[M-H]-	M + 0	found in higher mz's MsMs_1779	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE	97	82.8	88	100	92.8	117.7446	133.98983:187391 134.00638:260848 134.04538:4445226 135.02972:32990 135.04311:34381 135.04836:102777 135.94314:44110 136.9895:79045	68.1478:5508 80.96351:448615 92.02321:107672 107.03448:523878 108.03824:6691 133.98989:154396 134.00605:19287 134.02371:38098 134.04577:4740229 134.0664:33594 134.89297:34237 135.02864:12048 135.04899:42700
2284	Adenosine	475	1.114867	1.615299	2.031517	266.0882	13866376	146270752	null	[M-H]-	M + 0	similar chromatogram in higher mz_2289; similar chromatogram in higher mz_2292	1.67	266.0889	C10H13N5O4				330	TRUE	TRUE	TRUE	100	74.4	72.4	100	88.9	1330.853	266.06964:22744 266.08816:4129200 267.07231:24279 267.08525:30770 267.09132:346029 269.07642:30293 269.99828:12753 271.07459:15641	59.01183:14194 61.98664:26382 84.04349:15893 134.04577:6216256 134.0664:44217 144.07979:32804 162.02133:5996 173.0557:6739 188.03548:38501 188.07019:11532 249.05719:6030 266.01245:16090 266.0865:63189 266.14918:30055
8005	Adenosine 5-monophosphate	1785	4.94895	5.282263	5.627744	346.0539	16761327	215337056	null	[M-H]-	M + 0		5.628	346.05579	C10H14N5O7P				330	TRUE	TRUE	TRUE	98.5	91.4	91.4	100	95.3	5809.161	346.04314:24088 346.05386:4568398 346.06527:22516 347.05129:53641 347.05722:404353 347.10113:16698 348.05847:22685 349.04231:29169	62.96219:9225 66.92801:8695 78.95744:4390277 78.96676:36074 86.51347:9404 96.96747:1561190 134.04559:344634 138.97848:66107 150.97845:195088 192.98888:85020 210.99903:288727 345.93988:10614 346.05581:3457620 346.14137:25304
4996	Allantoin	1137	3.064872	3.467026	4.27599	157.0349	44955252	772237248	null	[M-H]-	M + 0	similar chromatogram in higher mz_5003; similar chromatogram in higher mz_5004; found in higher mz's MsMs_5004; found in higher mz's MsMs_5003	3.555	157.0356	C4H6N4O3				330	TRUE	TRUE	TRUE	99.9	92.9	91.5	88.9	95.8	1671.414	156.97126:10320 157.0256:12794 157.03167:85971 157.03495:13840425 157.03844:77974 157.0459:11211 157.0487:23003 157.98431:89862 158.03199:93145 158.03824:355061 158.0438:49989 158.08076:27745 158.98903:66508 158.99626:23783 159.02146:31271 159.02788:26036 159.03905:47804 159.06426:44089 159.07568:27431 160.05937:27048 160.84032:33886 161.03713:161372 161.04352:60921 162.02155:16243	50.25486:19212 57.71939:16796 59.02302:59029 71.02339:290674 72.00718:27039 97.00281:3794235 98.00556:39881 101.83409:17502 113.0586:43504 114.02947:3347901 114.04566:23075 118.62448:21591 140.00817:207322 157.03555:455279 157.12158:62792 163.25687:19193
797	Biotin	235	0.8172941	0.9479724	1.065096	243.0791	231882.3438	1881069.625	null	[M-H]-	M + 0		1.256	243.08051	C10H16N2O3S				520	TRUE	TRUE	FALSE	98.8	null	null	null	98.6	4.397899	243.07906:66705 243.0851:27172 243.12215:51900 243.15856:17770 243.16963:94424 243.17803:1021864 244.04773:6096 244.06261:16609 244.09942:31709 244.11736:12021 244.1359:44886 244.15354:6094 244.18191:30419 244.98388:15716 245.04755:4948 245.09462:30341 245.10213:11491 245.13763:25272 245.17449:6885 245.63441:9563 246.02561:7273 246.07887:74087 246.11211:13983 247.08182:13575 248.07766:6960	
