PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
8397	2-Oxoglutarate/a-Ketoglutaric acid	2057	6.013502	6.690885	7.069749	145.0126	222763888	4019535104	null	[M-H]-	M + 0		7.174	145.013	C5H6O5				520	TRUE	TRUE	FALSE	97.1	null	null	null	98.5	1489.072	144.95563:40490 144.97118:8544 144.9747:49691 144.9865:22764 144.99022:9463 144.99191:25094 144.99359:12149 144.99519:14612 144.99788:10713 144.99954:7460 145.00078:13134 145.00202:31557 145.00368:37476 145.00699:51926 145.00948:361751 145.01258:57059348 145.01548:334542 145.019:35851 145.02231:26208 145.02376:28829 145.02645:8288 145.0308:12582 145.03246:14883 145.03412:17847 145.0366:16610 145.0481:39870 145.05483:7507 145.05969:263086 145.06871:23311 145.07037:15366 145.11782:8738 146.01281:17671 146.01574:3113686 146.01825:51838 146.02273:220453 146.02578:11051 146.04396:479799 146.06345:13932 146.92371:8016 147.01662:434968 147.0192:43344 147.02491:46704 147.02807:7384830 147.03104:50635 147.03611:9154 147.0471:19959 147.06423:7761 148.00571:9131 148.02022:18894 148.03128:283512 148.04179:14058 149.03241:43429 149.04359:16966 149.99215:50713	53.55771:90577 57.03263:633755 66.92958:107893 73.02768:635198 73.22209:89390 83.01238:103041 101.02222:5249116 107.41251:114814 128.03335:94585 128.68305:89472 145.01325:498314
396	3-Hydroxybutyric acid (BHB)	187	1.158374	1.290194	1.783947	103.0382	6776805.5	94304160	null	[M-H]-	M + 0		1.213	103.0387	C4H8O3				330	TRUE	TRUE	TRUE	99.9	80.3	80.8	100	91.8	111.784	103.00196:300594 103.01317:81844 103.03822:1692081 103.97917:18568 104.02381:18214 104.04143:32319 104.97323:18910 105.01762:97880 105.93415:31776 105.98744:15836 106.03936:54973 106.9415:16983 107.03466:46738 107.92141:159815 108.00466:30114	55.01712:7407 57.0326:12031 59.01187:189031 73.02753:530001 86.7184:3475 86.76361:3272 103.03775:119836 105.07957:3811
11163	3-Phosphoglycerate?	2968	9.365376	9.518403	9.973424	184.9839	814895.4375	9818872	null	[M-H]-	M + 0		9.732	184.9848	C3H7O7P				330	TRUE	TRUE	TRUE	99.4	81.3	92.5	100	93.8	47.6427	184.95946:13210 184.96621:13650 184.98389:220451 185.00484:2565 185.00752:2837 185.04393:10602 185.07985:16538 185.11678:5638 185.15321:4399 185.98766:4418 185.99668:10918 186.0391:5480 186.11193:9679 186.98804:2717 187.02291:11278 187.05943:29116 187.09571:27583 187.90378:57321 188.01851:2833 188.05476:41820 188.09098:4108 188.90351:8479 188.93764:15419 188.98013:13263 189.00208:9413 189.03858:24329 189.04983:2476 189.0751:8672	78.95688:176190 87.00713:8351 96.96756:337906 97.06447:10989 113.0586:13037 122.96562:21508 123.07959:5297 140.9765:8808 141.05433:6045 141.09089:14291 166.97367:10778 184.9847:62342 185.02753:5405 185.08006:14128 185.11589:12040 185.15173:15307
1499	Acetyl-L-Threonine	391	1.612283	1.868115	2.456223	160.0598	5784367.5	100625344	null	[M-H]-	M + 0		1.323	160.06059	C6H11NO4				530	TRUE	TRUE	FALSE	96.4	null	null	null	98	445.6911	159.89214:11984 160.05983:1478419 160.068:6995 160.09597:35252 160.89092:13754 160.90931:12865 160.94747:38007 161.00713:7895 161.04371:37504 161.05486:16400 161.06334:41829 161.08007:6752 162.04052:20385 162.07559:16969 162.89149:20179 163.03814:17248 163.05962:6078 164.03346:17140 164.05613:15706 164.06236:6258 164.06635:51687 164.07007:7148664 164.07357:38784 164.9761:12304 165.01752:378036 165.03893:44854	60.99103:60437 72.0074:23263 73.02753:7483 74.02267:35024 82.02772:34195 84.04349:14375 87.00712:7501 100.0383:6790 116.07792:4417 118.04813:5739 128.0141:13387 128.03333:2466987 129.03685:15153 143.03259:5214 159.89261:39773 160.0385:11462 160.05963:5608 160.89071:11328 160.91007:5668
1136	Adenine	301	1.423308	1.612283	2.158565	134.0455	16629101	212565712	null	[M-H]-	M + 0	found in higher mz's MsMs_1164; found in higher mz's MsMs_1163; found in higher mz's MsMs_1161; found in higher mz's MsMs_1148	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE	99.7	88	88	100	94.9	381.741	133.99001:12339 134.04133:7226 134.0428:26493 134.04555:4389726 134.04814:21259 134.89028:6851 134.89288:1093528 134.89511:12667 135.01036:7452 135.02803:8937 135.02952:23651 135.04236:22907 135.04884:136218 135.89315:77730 135.94069:3877 135.94331:605915 135.96907:12005 136.03884:6491 136.04957:3260 136.88994:261685 136.94658:7691 137.00157:27659 137.02243:23256 137.03403:37713 137.89012:16291 137.93887:155541 137.98501:8801 138.01807:324879 138.02884:4807 138.90844:8918 138.94223:4836 138.98088:13560 138.98302:5780 139.00206:12009 139.00516:10572 139.01314:12947 139.02094:12209 139.03879:14569	58.4449:3533 65.01265:6140 68.02363:5364 80.96341:12936 82.61349:3660 92.02326:91278 99.92355:4202 107.03448:480499 112.832:3704 124.34559:4131 126.35699:3779 133.98984:5416 134.00603:7621 134.02369:36127 134.04574:3953925 134.06638:27156 134.09583:4229 134.89324:547135 135.02861:13991 135.04647:11435
327	Adenine minor peak	181	1.002833	1.273052	1.423308	134.0454	10267117	78667064	null	[M-H]-	M + 0	found in higher mz's MsMs_445; found in higher mz's MsMs_519	1.775	134.0461	C5H5N5				430	TRUE	TRUE	TRUE	96.9	86.9	88	100	93.9	236.6832	134.00635:108158 134.01505:19203 134.034:39348 134.04541:3087283 134.89291:443509 134.98361:33438 135.02936:28591 135.04295:42856 135.04853:100405 135.893:41575 135.94335:3269858 135.96911:52619 136.04978:38303 136.88981:134123 136.9469:71879 136.98937:30887 137.00173:38936 137.02246:41076 137.03368:42075 137.93874:957650 138.01762:221740 138.02906:24783 138.94187:34418 138.96906:23363 138.9811:39932 138.98285:23808	75.00732:5713 80.96363:21408 92.02329:42484 99.92356:13332 102.17413:3643 107.02286:15329 107.03446:206622 112.33006:3582 114.02254:4326 133.98985:9641 134.02369:19132 134.04575:1633953 134.06638:13697 134.86357:14434 134.89325:1469888 134.91409:11188 135.02862:13031 135.04202:15061
1148	Adenosine	301	0.9568546	1.612283	1.902462	266.0881	4852665	51810096	null	[M-H]-	M + 0		1.67	266.0889	C10H13N5O4				330	TRUE	TRUE	TRUE	100	74.6	74.6	100	89.3	980.0038	266.08814:1258159 266.14992:5996 267.07229:24768 267.08573:15386 267.09145:79441 268.09158:5391 268.09522:5321 269.10152:3959 269.13869:5021 269.24762:6571 269.98827:8092 270.05509:10838 270.10035:16193	61.98656:6881 66.93009:4030 96.95842:4578 119.77246:4279 123.46776:3986 134.0237:13681 134.04576:2076387 134.06639:15057 190.16704:4296 201.6847:3645 202.76216:4005 266.08647:59552 266.14905:39826
6198	Adenosine 5-monophosphate	1504	4.832079	5.116663	5.587709	346.0536	1014486.063	19426902	null	[M-H]-	M + 0		5.628	346.05579	C10H14N5O7P				430	TRUE	TRUE	TRUE	96.8	90.4	90.4	100	94.3	350.213	346.05366:264259 347.05738:25605 347.07339:67647 348.07691:8314 348.08932:38704 348.1045:28466 349.06999:12956 349.09319:12454 349.15971:10269 350.14423:8374	66.3619:3844 66.71817:3947 76.70613:3478 78.95744:586468 96.96748:212429 134.04567:46416 138.97839:6897 141.19268:4002 143.95216:4384 150.97841:39261 166.06056:4621 192.98903:10796 210.99925:32905 284.97412:3959 346.05585:415241
4113	Allantoin	914	3.091385	3.438693	3.986715	157.0352	16113307	289443872	null	[M-H]-	M + 0		3.555	157.0356	C4H6N4O3				330	TRUE	TRUE	TRUE	99.8	86.8	88.6	88.9	93.8	873.6938	157.03167:25716 157.03515:3919778 157.03843:32912 157.04893:43509 157.08527:36465 157.12168:117563 158.03179:22305 158.03826:98487 158.04381:15939 158.05272:5155 158.12507:9150 158.91023:6810 158.98933:234556 159.02811:22574 159.03952:13799 159.06433:86372 159.10066:7231 160.06008:10920 160.06777:6229 160.07545:8435 160.94735:19597 161.00738:4433 161.03718:12024 161.04389:193921 162.01787:5506	59.02301:15649 64.73017:8158 71.02333:86480 95.04823:14244 95.11331:8189 97.00279:1074269 98.01107:8324 113.05845:68374 113.09623:9207 114.02945:938412 130.03956:8012 139.03747:7884 140.00825:59099 156.89356:43013 157.03566:142115 157.08619:60655 157.12154:296455
10316	cis-Aconitate?	2617	7.968441	8.39391	8.919557	173.0076	14117902	249347040	null	[M-H]-	M + 0		8.879	173.0081	C6H6O6				330	TRUE	TRUE	TRUE	97.1	68.8	93.9	100	90.4	53.7442	172.8991:23549 172.95636:308049 172.96852:34925 173.00763:3657826 173.01142:21975 173.02653:6039 173.0438:31355 173.05514:4131 173.08002:18871 173.9556:19970 174.01074:165363 174.03904:110857 174.0868:7287 174.89711:13631 174.94511:18615 174.95499:423649 175.0118:23916 175.02253:17031 175.03404:5879 175.04223:9559 175.0453:11438 175.05909:31665 176.05439:4260 176.89328:3445 176.93401:3602 177.03842:17720	76.96807:15182 78.9168:32814 85.02771:3231618 85.03811:21214 86.03081:17221 87.00712:9295 92.97245:15389 111.00706:406193 111.04367:12856 111.07937:32911 112.01003:9989 128.03334:7618 129.01739:952499 129.0534:32567 130.02126:11859 131.08102:8029 154.94561:838476 155.94566:14414 172.89816:17866 172.95644:145420 173.00857:66332 173.04273:24485 173.07944:18640
