PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	13	0.0706035	0.1465154	0.2006588	189.9422	2922.79565429688	13169.5576171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.384253	190.07234:2587 191.01884:10302 191.05516:9659 191.10683:1083 192.02953:1311 192.06613:1270 193.0349:1522 193.04953:1941 194.90496:27781 194.93893:7308	
1	Unknown	22	0.1139657	0.2438231	0.3187143	133.9436	3874.24755859375	21545.078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.352847	133.94356:1572 134.00865:1228 134.03477:21625 134.04626:35183 134.05833:1584 134.07103:5365 134.97212:3260 135.01061:1001 135.02866:7447 135.02996:9834 135.04407:55517 135.04912:2972 135.05489:3758 135.06624:2927 135.94395:170552 135.9697:2282 136.03909:2625 136.04718:3302 136.05037:30229 136.94712:3940 136.96317:928 136.99054:1544 137.02306:4919 137.03428:14252 137.0455:2908 137.05958:1764 137.07099:2730 137.93958:36886 138.01831:9941 138.02966:3742 138.03773:2247 138.06601:12362 138.94034:8762	
2	Unknown	23	0.2006588	0.2545042	0.3823825	201.9057	1081.58862304688	3483.77270507813	null	[M-H]-	M + 0	similar chromatogram in higher mz_3	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.63177	202.0473:1508 202.0725:3264 203.05285:1524 203.05525:3643 203.09162:3065 203.12835:2492 204.05245:1325 204.06593:3096 204.91206:15544 205.15895:70313 206.04587:3121 206.16234:7865	
3	Unknown	23	0.1139657	0.2545042	0.3930033	273.2067	1246.07312011719	4398.109375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.687526	272.88283:6636 272.92152:1039 273.13388:1448 273.88311:1868 273.91697:1666 274.04814:7649 274.54965:2484 274.87951:1245 275.9348:3740 276.93099:23824 277.21682:11055 277.93104:2449	
4	Unknown	24	0.1898839	0.2652729	0.371741	222.8845	1915.92431640625	9719.732421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.985447	223.02382:1371 223.13325:1780 223.91899:1787 224.12811:1321 224.91512:1273 225.14886:1771 227.09166:2255 227.12859:3827 227.16471:3239 227.20109:15055	
5	Unknown	27	0.04885992	0.2973644	0.371741	255.2326	1006291.875	16836896	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.7692	255.12293:1255 255.15917:1123 255.23263:253584 256.23615:25283 257.17611:1309 257.21132:1063 257.92444:1794 258.92051:13761	
6	Unknown	27	0.02717255	0.2973644	0.3292996	281.2483	198357	2928644	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.691922	280.90259:2679 281.24006:1303 281.24829:51813 282.08398:5576 282.25142:7201 283.07879:2191 283.26408:227767 283.93173:1371 284.15026:1338 284.26703:31035 285.04514:1075 285.27123:1350	
7	Unknown	27	0.04885992	0.2973644	0.371741	283.2641	826713	13456988	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	13.77542	283.07879:2191 283.26408:227767 283.93173:1371 284.15026:1338 284.26703:31035 285.04514:1075 285.27123:1350 287.99215:1307	
8	Unknown	28	0.1465154	0.3080747	0.4984254	231.8722	1102.24194335938	5426.294921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.04484	231.87222:1243 232.08294:1601 232.92378:9908 233.15426:11275 234.15715:1298 234.92289:1361 235.16963:11591 235.95304:251766 235.99472:1476 236.09276:1357	
9	Unknown	29	0.2438231	0.3187143	0.4561778	312.0106	2219.07055664063	10674.4765625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.039165	312.9931:3450 313.93068:25964 314.88726:1743 314.93033:3037 315.00987:2523 315.88786:1485 315.92714:2732	
10	Unknown	31	0.02717255	0.3399121	0.3930033	205.159	337839.84375	6138276.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	15.21847	204.91226:13032 205.15904:79295 206.04587:3402 206.16217:9709 206.94938:3025 206.98821:1419 207.02882:1784 207.08817:1161 207.10195:2000 207.944:4958 208.51632:1894 208.9339:5260 208.98443:1433 209.0449:72388 209.1536:1811 210.04846:5404 210.07765:3230	
11	Unknown	31	0.04885992	0.3399121	0.4141073	279.2327	531307.6875	9902472	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.87984	278.92754:2569 278.98776:1940 279.23267:140476 280.2362:23404 280.90263:3485 281.13946:1383 281.15064:3583 281.23953:3303 281.24839:44632 282.0853:1594 282.2515:9248 283.02914:2055 283.07826:1831 283.26414:211094 283.93234:1358	
12	Unknown	32	0.02717255	0.3505119	0.4456362	182.9876	316139.71875	6562954	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.01064	182.93047:14477 182.96317:57459 182.98764:78507 183.0649:1796 183.06696:2486 183.07695:1965 183.10162:8050 183.13835:3217 183.92577:1489 183.99055:1160 184.09772:1816 184.92831:1980 184.96022:12086 184.96708:23018 185.04496:4947 185.05689:1190 185.0808:6803 185.09212:2055 185.11093:3583 185.11697:6744 185.12855:1196 185.15364:12076 185.96193:4072 185.99741:2705 186.07738:12895 186.11303:4766 187.06182:8413 187.08096:1453 187.09645:11458 187.13316:2769	
13	Unknown	32	0.2973644	0.3505119	0.4561778	221.9359	4777.3974609375	27451.544921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.242416	221.93552:1713 223.13326:2989 223.919:1692 224.05613:1426 224.09271:2814 224.12891:2569 225.08882:5871 225.99846:1778 226.18065:3774	
14	Unknown	32	0.2438231	0.3505119	0.4036345	299.1499	2064.244140625	7993.24658203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.431112	298.91271:18015 299.11367:1451 299.14986:1466 299.25848:1381 299.91265:2636 300.8707:1606 301.21677:28763 302.12454:3563 302.22045:3884 302.92749:1755 303.23341:2790	
15	Unknown	33	0.0706035	0.3611285	0.4036345	137.9395	224728.609375	3753057.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.68392	137.9395:52911 137.99064:2002 138.01832:11493 138.02678:1382 138.03005:6252 138.06601:20635 138.94015:9264 138.98637:9452 139.01358:5853 139.03904:2934 139.04992:6745 139.06101:1792 139.07501:3110 139.93677:4094 139.97444:48433 140.03398:3345 140.04502:8215 140.07049:4593 140.9773:5748 140.97928:11935 140.98484:6710 141.02931:4088 141.06566:4612 141.09081:7244 141.97269:2777 142.03991:2134 142.04974:10917	
16	Unknown	33	0.2866915	0.3611285	0.4667569	209.0449	295095.09375	3063765.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.575788	208.93392:3894 209.04486:75145 210.04769:5590 210.07692:2977 210.93117:3551 211.13309:14758 212.0562:2067 212.07435:22645 212.9782:1873 213.077:3318 213.08829:4193 213.1493:3377 213.18477:6230 214.02115:7727	
17	Unknown	33	0.3080747	0.3611285	0.4141073	357.8841	3631.1376953125	16739.28515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.581696	357.8841:2041 358.06458:6791 358.88078:2485	
18	Unknown	34	0.2330398	0.371741	0.5089566	112.0754	1114.74743652344	3547.58813476563	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.29495	112.00282:3902 112.0139:6481 112.02236:3073 112.03923:13321 112.05036:113241 112.05822:2448 112.98432:305619 112.9982:4601 113.02295:19358 113.03446:18065 113.04714:1487 113.05369:3496 113.05982:6993 113.98771:3584 114.0186:30472 114.02683:1220 114.03:1956 114.05484:16391 114.93511:32494 115.0025:43369 115.01331:1547 115.03895:101578 115.04095:1163 115.05032:7367 115.0752:360104 115.07739:2600 115.99783:1545 116.02435:9052 116.03398:16999 116.04169:1560 116.07067:31323 116.07875:9278 116.92741:26969 116.93311:7793 116.95847:97612 116.96295:1158 117.0182:38945 117.04473:1963 117.05479:12376	
19	Unknown	35	0.3187143	0.3823825	0.4773402	277.2169	64167.92578125	576208.4375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.589735	276.93145:21986 277.21682:14267 277.93053:4058 278.22078:2875 278.92808:1413 279.08445:1684 279.23262:121361 280.23598:16611 280.90242:5597 281.13944:1657 281.24007:2653 281.24829:48151 281.9028:1640 281.91627:1380 282.08415:3386	
20	Unknown	38	0.05976188	0.4141073	0.4667569	112.9843	1347381	28127746	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	12.59372	112.98431:325534 112.9977:4356 113.02334:16588 113.03445:23686 113.0591:7002 113.98771:2708 114.01845:64868 114.02928:1448 114.03751:1763 114.05469:12661 114.0674:1682 114.93496:25586 115.00044:1571 115.00254:45578 115.01382:5415 115.02193:3651 115.03893:105167 115.05017:15119 115.07519:369621 116.02435:16604 116.03413:27568 116.04184:1876 116.07068:29158 116.0786:8652 116.92756:31465 116.93341:10008 116.95848:86369 117.01841:43432 117.04443:3597 117.05477:20953 117.92771:3435	
21	Unknown	39	0.2222399	0.4245655	0.5194274	83.10793	4459.26513671875	25019.857421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.662247	82.95928:3154 82.95991:3403 83.01253:3372 83.02194:2515 83.02365:1149804 83.02499:8433 83.03513:2198 84.00774:192442 84.01925:2275 84.02674:5349 84.02729:8296 84.04382:2678 84.04446:1837 84.98891:2049 84.98965:3707 85.00303:3425 85.01065:1348 85.01121:3767 85.02822:86614 85.03975:1883 85.99851:6460 86.02343:95247 86.03106:1799 86.97348:33263 87.00746:48359 87.01892:4009 87.0271:2069 87.04375:384521 87.0452:2814 88.00291:9808 88.03926:14974 88.04719:3958	
22	Unknown	39	0.2866915	0.4245655	0.5608792	333.6076	1060.759765625	3352.98217773438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.21519	333.60761:1337 335.05071:1770 336.32762:1931 336.86945:2946 336.89878:4129	
23	Unknown	40	0.3823825	0.4351676	0.4667569	87.04382	1512862.5	7590195	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.8318673	86.97339:33016 87.00754:43308 87.01822:1383 87.01889:5001 87.04383:389432 87.04518:1994 88.00288:11848 88.03924:12474 88.98686:27912 89.01337:3312 89.02317:104646 89.04166:3892 89.0596:2251 90.00812:3620 90.01784:2379 90.02605:1590 91.02077:326587 91.0288:207719 91.03889:16728 92.01302:1607 92.02065:4949 92.02413:112062 92.03228:2152	
24	Unknown	41	0.1681924	0.4456362	0.4984254	83.02374	5123398.5	79123456	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.16479	82.95937:3224 82.95991:3224 83.01288:1985 83.02131:1243 83.02373:1278161 83.02499:7129 83.02651:1218 83.0319:2111 83.03522:1832 84.00775:176125 84.0187:3589 84.02034:1942 84.02673:9842 84.04372:2167 84.98966:5431 85.00318:8148 85.01083:3312 85.02828:87159 85.03946:3331 85.99842:5891 86.00608:1358 86.02353:105390 86.03181:1300 86.9734:27417 87.00755:38241 87.01862:4924 87.027:2472 87.0425:1640 87.04375:360426 88.00283:8938	
25	Unknown	41	0.3823825	0.4456362	0.5089566	85.02828	403769.5625	3023626.75	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.8282846	84.98966:5431 85.00318:8148 85.01083:3312 85.02828:87159 85.03946:3331 85.99842:5891 86.00608:1358 86.02353:105390 86.03181:1300 86.9734:27417 87.00755:38241 87.01862:4924 87.027:2472 87.0425:1640 87.04375:360426 88.00283:8938 88.03916:19393 88.0475:5205 88.98692:24697 89.01339:1523 89.0232:97844 89.04158:5166 90.00873:8870 90.02637:1491	
26	Unknown	42	0.3930033	0.4561778	0.4773402	121.0283	867824.875	4311798	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.6772975	120.99548:2849 121.00337:1699 121.02832:224756 121.04:12785 121.05094:46591 121.05705:1266 121.05863:2312 121.99006:2623 121.99805:1229 122.02362:9487 122.03177:7719 122.0348:45479 122.96639:29689 122.9747:7160 123.00763:2840 123.01863:9294 123.02089:3248 123.02672:1652 123.03028:3863 123.04436:2904 123.0554:42874 123.06669:2588 123.901:10608 123.9792:2937 123.98755:10709 124.00032:10658 124.00637:21416 124.02193:1263 124.03896:5047 124.05042:41141 124.98287:11718 124.98999:1203 125.02347:3103 125.03465:41195 125.05994:4502 125.07138:1863 125.89788:1699 125.89939:3067 126.01856:9575	
27	Unknown	43	0.05976188	0.4667569	0.4773402	146.9649	1127056.125	24002332	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10.52988	146.96491:289499 146.98602:1716 147.02681:1703 147.02871:13468 147.04816:2655 147.05535:3439 147.06652:27702 147.96237:1278 148.04243:3140 148.0505:82871 148.06143:4218 148.06977:2716 148.96875:1499 149.0233:8101 149.03452:3290 149.04597:20904 149.05372:4554 149.05955:1810 149.09602:1856 150.00067:3519 150.02965:8387 150.04085:33538 150.05514:1830 150.06615:49068 151.02509:26647 151.03895:20179 151.04423:1954 151.05018:5657 151.0614:5848 151.06933:2756 151.07505:1605	
28	Unknown	47	0.3505119	0.5089566	0.6436015	312.0367	3821.212890625	18108.60546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.511418	312.03602:2214 312.99238:3486 313.23874:1451 313.93058:22249 314.88787:2629 315.0102:4890 315.92709:2057 316.14025:1160	
29	Unknown	50	0.371741	0.5401564	0.6954699	314.2417	3001.8974609375	11011.294921875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.875227	313.93065:24576 314.24166:1934 314.93035:3396 315.00922:2012 315.92783:2468 317.21212:5943	
