PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
3619	2-Oxoglutarate/a-Ketoglutaric acid	606	5.773603	6.154982	6.467937	145.0132	1793500	26414156	null	[M-H]-	M + 0		7.174	145.013	C5H6O5				530	TRUE	TRUE	FALSE	87.8	null	null	null	93.9	14.12589	144.97424:45896 144.99086:12851 145.01324:489123 145.0509:110866 145.06086:27851 145.08526:6391 145.12235:8468 145.96953:2218 146.01653:14162 146.02371:17789 146.0348:8934 146.04485:332110 146.05425:7376 146.06409:2821 146.07121:16329 146.9649:136918 147.02892:131100 147.04796:5792 147.06636:29505 148.04244:7236 148.05063:92719 148.06145:6521 148.06978:2062 149.02288:2637 149.03281:2429 149.03475:3251 149.04575:22450 149.05373:5275 149.08222:2876 149.09625:2467 150.00068:5814	NA
382	3-Hydroxybutyric acid (BHB)	115	1.125519	1.207185	1.279337	103.0389	463076.375	2988211	null	[M-H]-	M + 0		1.213	103.0387	C4H8O3				520	TRUE	TRUE	FALSE	100	null	null	null	100	8.558245	103.0026:17415 103.01388:3750 103.02913:5925 103.03894:152916 103.07557:6945 103.99799:4721 104.00265:4584 104.02448:62827 104.03445:13402 104.99931:15710 105.01822:11971 105.03213:1894 105.04481:126333 105.05472:3227 105.95971:1776 106.00408:3263 106.02841:2382 106.03165:2167 106.03696:4328 106.03812:19115 106.03993:3917148 106.04188:20728 106.04758:4465 106.07542:3052 106.16161:2566 107.0241:233095 107.0333:12223 107.03526:1850550 107.0371:10230 107.04314:142131 107.04932:5035 107.05969:4477 108.00806:3046 108.01924:354958 108.0275:6295 108.03229:11754 108.03868:23075	NA
595	Adenine	157	1.475077	1.639836	1.855456	134.0462	1086890.75	13004373	null	[M-H]-	M + 0		1.775	134.0461	C5H5N5				520	TRUE	TRUE	FALSE	99.8	null	null	null	99.9	10.7159	134.03497:132630 134.04618:285864 134.0539:2327 134.05832:3612 134.07102:25372 134.86341:1727 134.97174:3148 135.01879:4755 135.02865:16253 135.03014:19729 135.0381:6373 135.04383:52385 135.04986:6108 135.05507:13283 135.06624:11664 135.0748:3414 135.94394:239905 135.96969:3513 136.04774:3129 136.05056:209536 137.02324:7485 137.03472:45067 137.04531:10228 137.05367:6004 137.05805:2040 137.0708:7953 137.93952:62343 138.01905:8894 138.02984:17752 138.03773:3272 138.05465:2119 138.06622:48880 138.94038:7905 138.96927:2556 139.01335:7205 139.03883:4315	NA
593	Adenosine	156	1.505829	1.62953	1.78385	266.0892	93915.32031	702724.75	null	[M-H]-	M + 0		1.67	266.0889	C10H13N5O4				520	TRUE	TRUE	FALSE	100	null	null	null	100	14.6876	266.08919:26838 266.15047:6531 267.07275:15779 267.09273:3218 267.14346:2540 268.07725:2043 268.94534:2832 269.24819:6899 270.02516:5561 270.08427:5053	NA
4658	cis-Aconitate?	795	7.903548	8.065372	8.307258	173.0078	137958.4063	2159677.25	null	[M-H]-	M + 0		8.879	173.0081	C6H6O6				530	TRUE	TRUE	FALSE	92.1	null	null	null	96	5.862063	172.89993:15396 172.95197:2935 172.95709:1066366 172.96087:5584 173.00796:33783 173.04424:16565 173.05585:2811 173.08095:7403 173.9565:73305 174.03969:38158 174.04748:3067 174.06572:2524 174.07797:3739 174.08723:2869 174.89755:10159 174.9461:4085 174.95571:1307006 174.96092:8353 175.0235:5948 175.04628:31155 175.06002:18886 175.95322:2066 175.95877:6449 176.95952:7128 177.03942:13863 177.07713:15194 177.09082:2642	NA
5579	Citrate?	979	9.286222	9.922221	10.18445	191.0188	8578741	135500256	null	[M-H]-	M + 0		10.35	191.01871	C6H8O7				520	TRUE	TRUE	FALSE	97.7	null	null	null	98.9	138.8815	191.01289:3914 191.01445:14719 191.01883:2089528 191.02353:13589 191.02729:2461 191.05515:37997 191.09273:4879 191.10651:2588 191.12781:2391 192.02217:94067 193.02289:17962 193.03457:5166 193.04952:3067 193.07243:10510 194.05587:3351 194.905:47114 194.9387:5135 194.9876:7766 195.02909:4533 195.05035:247311 195.08852:2425 195.90492:6170	NA
4660	D-Glucose 6-Phosphate peak 1	795	7.903548	8.065372	8.26689	259.022	231319.6719	1900780.375	null	[M-H]-	M + 0		9.546	259.02231	C6H13O9P				530	TRUE	TRUE	FALSE	76	null	null	null	88	84.17477	258.91999:7184 259.02197:57185 260.02554:3008 261.14913:6696 262.95276:11643 262.97566:2380	NA
2076	Glucose? peak 1	420	3.979684	4.298486	4.526484	179.0551	468024.125	10186087	null	[M-H]-	M + 0		5.373	179.05521	C6H12O6				530	TRUE	TRUE	FALSE	86.6	null	null	null	93.3	20.7616	178.97618:3255 179.03383:4523 179.05501:95926 179.07047:5703 179.09264:3367 180.03239:3045 180.04041:5076 180.05845:4677 180.06551:14416 180.9885:3189 181.07071:44560 181.08698:2172 182.00843:5853 182.04861:4001 182.93017:13585 182.96322:50283 182.98757:73435 183.05109:3838 183.0649:4099 183.10161:13611 183.13834:3490	NA
2713	Glucose? peak 2	494	4.884482	5.034002	5.083828	179.0551	520044.0938	5065741.5	null	[M-H]-	M + 0		5.373	179.05521	C6H12O6				520	TRUE	TRUE	FALSE	98.6	null	null	null	99.3	16.73837	179.05506:124452 179.06991:3314 179.09264:5921 180.04012:3757 180.05874:3508 180.06539:12198 180.0765:6792 181.0243:3062 181.04914:2677 181.07081:31972 181.08583:3406 182.04599:3722 182.05618:6996 182.93017:12684 182.96303:39768 182.98756:64337 183.06666:10311 183.10147:19614	NA
2713	Glucose? Integrated		3.979684	5.034002	5.083828	179.0551	520044.0938	15000000	null	[M-H]-	M + 0		5.373	179.05521	C6H12O6				520	TRUE	TRUE	FALSE	98.6	null	null	null	99.3	16.73837	179.05506:124452 179.06991:3314 179.09264:5921 180.04012:3757 180.05874:3508 180.06539:12198 180.0765:6792 181.0243:3062 181.04914:2677 181.07081:31972 181.08583:3406 182.04599:3722 182.05618:6996 182.93017:12684 182.96303:39768 182.98756:64337 183.06666:10311 183.10147:19614	NA
