PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
9349	2-Oxoglutarate/a-Ketoglutaric acid	2101	5.715765	6.291359	6.810249	145.0138	108804024	1384738304	null	[M-H]-	M + 0	similar chromatogram in higher mz_9352; similar chromatogram in higher mz_9355; found in higher mz's MsMs_9318	7.174	145.013	C5H6O5				530	TRUE	TRUE	FALSE	90.7	null	null	null	95.1	216.0868	144.81983:20798 144.83471:24903 144.86671:217154 144.96789:25102 145.00184:36490 145.00329:84489 145.00494:36256 145.01074:179845 145.01385:29077068 145.01675:220273 145.02089:37699 145.02254:29642 145.0242:34011 145.02668:27980 145.02917:36853 145.03165:28930 145.03352:52015 145.03476:69109 145.04056:25859 145.04242:50782 145.04408:40224 145.04595:39438 145.04884:98194 145.05092:30317 145.05423:222965 145.05754:930274 145.06066:238786784 145.06376:1603667 145.06625:353164 145.0679:122141 145.06956:109830 145.07142:31056 145.07329:89345 145.07804:74878 145.08116:29658 145.08158:81309 145.08593:102132 145.08883:27882 145.09318:40153 145.10769:56843 145.11754:142841 145.15433:27349 145.25391:47404 145.25557:204226 145.29626:31472 145.34466:30588 146.01628:919293 146.04461:2475196 146.05426:26820 146.05755:1122064 146.06096:66578 146.0639:13620447 146.06619:195132 146.83086:29279 147.0171:128095 147.02555:145097 147.02852:25945184 147.03168:186778 147.04141:32637 147.04805:76368 147.06086:41709 147.06465:1061014 147.06699:124570 147.08624:25864 147.22741:31130 148.00593:125794 148.02045:30870 148.03192:1089980 148.03497:37948 148.04864:23244 148.05035:167658 148.06826:63217 149.0231:22689 149.03238:124120 149.04554:68992 149.0533:28328	58.02807:1327041 66.40042:437153 68.18629:342291 72.00778:1162015 72.99147:509807 74.02325:3682536 79.41127:379502 82.02829:2044229 84.04427:7189822 85.76272:384318 86.02323:1519678 97.03899:1449651 98.02295:1309005 99.05468:1524690 101.02279:2013380 101.07022:5780096 107.02378:571814 109.03882:12463991 125.03479:6120440 127.04938:37185556 127.06974:395615 128.0344:17310106 128.05368:408981 133.6474:390963 142.0379:420168 145.06067:43452228 149.69467:331322
1536	3-Hydroxybutyric acid (BHB)	311	1.049227	1.18082	1.735574	103.0387	12605932	207306096	null	[M-H]-	M + 0		1.213	103.0387	C4H8O3				330	TRUE	TRUE	TRUE	100	74.3	75.3	100	89.5	91.55628	103.03874:2644038 103.04048:19182 104.03391:16045 104.04211:59409 104.99902:22840 105.01803:31896 105.04445:28930 105.93469:91660 106.03975:1283321 107.03494:91197 107.04321:32124 107.93284:62930 108.01905:19867	50.16518:4641 55.01721:9868 57.03305:47140 59.01235:119194 68.93421:5005 71.04897:7668 73.02817:724570 89.96414:4509 92.50141:6379 96.36789:4415 100.92962:4538 103.03866:216720 104.463:4834 120.03377:5079
13333	3-Phosphoglycerate?	3087	9.160637	9.295471	9.777909	184.9849	762976.5	6889159.5	null	[M-H]-	M + 0	similar chromatogram in higher mz_13323	9.732	184.9848	C3H7O7P				520	TRUE	TRUE	FALSE	97.6	null	null	null	98.8	15.16685	184.96022:7825 184.96708:8595 184.98492:200705 185.04496:7471 185.08107:7043 185.11093:4857 185.1178:6053 185.15375:10095 185.98809:6470 186.03983:3181 186.07745:11324 186.11236:2553 186.98877:2999 187.02424:5012 187.06003:8307 187.09674:26069 188.03453:3632 188.05506:25975 188.09202:4498 188.09997:2948 188.93842:5715 188.98081:10343 189.03946:14383 189.05087:3720 189.07614:6567	
2613	Acetyl-L-Threonine	554	1.63561	1.880386	2.523036	160.0605	35590296	498888640	null	[M-H]-	M + 0		1.323	160.06059	C6H11NO4				530	TRUE	TRUE	FALSE	96.2	null	null	null	98.1	1794.812	160.05692:44807 160.06053:9287638 160.06388:57784 160.09644:118227 160.94801:26157 161.04416:23997 161.05555:31597 161.06372:425710 161.09991:17760 162.03937:41190 162.05451:9983 162.06551:22957 162.98109:30640 163.02329:26620 163.06077:40193 164.06704:32278 164.07054:5512616 164.07427:38184 165.01817:124990 165.03922:116077	60.99151:201738 72.0074:86727 73.02756:51637 74.02324:173147 82.02844:185163 84.04439:88014 100.03915:26139 128.01381:83260 128.0344:11441535 128.05367:92200 129.0381:178950 131.04513:14771 133.03981:24619 133.05146:48999 160.06098:28513
2186	Adenine	460	1.434949	1.603254	2.050074	134.0462	48149948	553525440	null	[M-H]-	M + 0	found in higher mz's MsMs_2194	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE	99.6	88	88	100	94.9	456.5771	133.87392:10322 134.02391:9089 134.03495:31794 134.04103:11386 134.04323:29058 134.04617:13673120 134.04875:101623 134.05096:16932 134.05243:12234 134.06881:6695 134.07102:13318 134.09661:10222 134.21932:6643 135.03023:30502 135.04316:96066 135.0495:580657 135.0521:12999 135.9439:206193 136.04642:8139 136.05056:64070 136.05282:10346 137.02347:33968 137.03446:65446 137.53243:11241 137.93922:63271 137.98563:9109 138.0185:18884 138.03869:13670 138.06621:28660 138.98636:12945 139.01357:9056	65.01271:30247 66.39939:26527 92.02396:585516 96.4424:27074 97.97693:30599 107.03534:2708874 108.03808:26248 134.04546:22425612 134.06752:151098 135.05012:249901
1700	Adenine minor peak	347	1.100077	1.282161	1.434949	134.046	16011364	139539056	null	[M-H]-	M + 0	found in higher mz's MsMs_1706	1.775	134.0461	C5H5N5				330	TRUE	TRUE	TRUE	97	87.3	88	100	94.1	55.80069	133.99008:19696 134.00698:66317 134.03478:48702 134.04602:5034812 134.8638:20583 135.02885:18192 135.02978:39575 135.04392:37809 135.04917:151140 135.06607:25199 135.94364:148248 136.05043:90893 137.03486:19546 137.93953:37863 138.01794:20226 138.05486:21145 138.06563:21070	65.01271:15419 80.96342:205222 92.02395:155114 107.02271:12922 107.03533:710897 133.9914:59539 134.00717:8942 134.04549:6124910 134.06752:48056 134.08519:6537 134.09697:7289 134.86322:17697 135.05063:62267
2194	Adenosine	460	1.383541	1.603254	2.033135	266.0894	8029158	74185568	null	[M-H]-	M + 0		1.67	266.0889	C10H13N5O4				330	TRUE	TRUE	TRUE	99.9	74.8	74.8	100	89.4	1587.607	266.01585:13496 266.04878:10227 266.06319:12789 266.08941:2488660 267.07307:19089 267.08647:27600 267.09256:185405 268.09287:13379 269.07769:11303 269.21172:16714 270.02534:9040 271.07587:11042	59.01233:9546 61.98672:27626 84.01132:4303 84.0441:23624 105.01918:4150 107.03533:6781 116.0884:3997 128.03305:5858 134.01895:7570 134.04547:3046830 134.06753:23436 135.02977:7744 135.04912:17033 144.08124:16727 149.66861:3927 188.07177:8979 203.06821:7825 243.30385:4554 266.08906:82074 266.15057:73977 266.98859:6287 267.07551:15244
6475	Adenosine 5-monophosphate	1497	4.231417	4.606112	5.159329	346.0552	9694809	212711680	null	[M-H]-	M + 0		5.628	346.05579	C10H14N5O7P				430	TRUE	TRUE	TRUE	87.8	93.9	93.9	100	94.3	3480.99	346.05519:2633317 347.05841:161300	62.9627:10684 78.94811:37059 78.9574:5389797 78.96741:32937 86.51341:18801 96.9682:1937042 124.00698:25347 134.04518:381856 138.97945:103160 150.97957:255935 192.99022:127415 211.0007:482348 346.05838:7827868 346.14421:56149 347.05507:79348
4911	Allantoin	1078	2.824	3.393	3.835712	157.0356	17580990	279307392	null	[M-H]-	M + 0	found in higher mz's MsMs_4936	3.555	157.0356	C4H6N4O3				330	TRUE	TRUE	TRUE	99.7	77.8	84.7	88.9	90.9	449.657	157.02465:12626 157.03235:23331 157.03563:4840194 157.03889:28638 157.0492:99338 157.08577:60437 157.1224:205734 158.02703:13616 158.03268:22821 158.03904:97289 158.04463:144519 158.08121:25364 158.126:13625 159.04021:13826 159.06496:80747 159.10159:11286 159.54151:22926 160.03965:12769 160.06023:56584 160.06846:11749 161.04428:113408	57.03349:7172 59.01233:9689 59.02351:18246 65.01272:16784 68.10731:7487 71.02342:97512 72.0072:25288 78.95751:42746 86.02323:10097 97.0027:1210814 98.00638:13419 113.05953:79279 113.09605:17000 114.02926:1027810 114.05471:24629 130.03918:62458 140.00923:60022 156.9455:62409 157.03513:171654 157.05006:70250 157.08595:53508 157.12281:528315 157.6135:8781 158.04386:36220 158.08001:7727
649	Biotin	221	0.8182954	0.9313321	1.032323	243.0801	169375.7656	1245070.375	null	[M-H]-	M + 0		1.256	243.08051	C10H16N2O3S				520	TRUE	TRUE	FALSE	98.7	null	null	null	99.3	5.14776	243.08044:40473 243.08674:15673 243.10606:4188 243.1235:49422 243.15976:23506 243.17124:43057 243.17929:687985 243.19674:12932 244.06437:8482 244.08381:7347 244.10067:16324 244.12677:7939 244.137:45109 244.16295:4649 244.18014:10785 244.18314:21457 244.98515:8684 245.0959:16294 245.10295:8850 245.13907:22829 246.02597:4657 246.08027:64213 246.11292:21222 246.11659:11758 247.03843:5063 248.07986:12303	
