																															Class	std	std	std	std
																															File type	Standard	Standard	Standard	Standard
																															Injection order	1	2	3	4
																															Batch ID	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	std_e1	std_e2	std_e3	std_e4
0	4.903	69.00773	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.41	std_e1	69.00773:18966 70.01108:0 71.01444:851429		8257	-2	-2	-2
1	1.637	69.00777	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.32	std_e1	69.00777:11643 70.01112:0 71.01448:132159		2235	-2	-2	-2
2	4.393	69.00787	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.23	std_e1	69.00787:16354 70.01122:0 71.01458:327372		7371	-2	-2	-2
3	2.78	69.03812	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.96	std_e1	69.03812:2701 70.04147:0 71.04483:0		4836	-2	-2	-2
4	1.045	69.0435	Unknown	[M-H]-	similar chromatogram in higher mz_7175; similar chromatogram in higher mz_5855; similar chromatogram in higher mz_9008; similar chromatogram in higher mz_5883; similar chromatogram in higher mz_9237; similar chromatogram in higher mz_11195; similar chromatogram in higher mz_3100; similar chromatogram in higher mz_10961; similar chromatogram in higher mz_9865; similar chromatogram in higher mz_7178; similar chromatogram in higher mz_7169; similar chromatogram in higher mz_9968; similar chromatogram in higher mz_9201; similar chromatogram in higher mz_9553; similar chromatogram in higher mz_6476; similar chromatogram in higher mz_7166; similar chromatogram in higher mz_4581; similar chromatogram in higher mz_7162; similar chromatogram in higher mz_7887; similar chromatogram in higher mz_6501; similar chromatogram in higher mz_10436; similar chromatogram in higher mz_12600; similar chromatogram in higher mz_7183; similar chromatogram in higher mz_5161; similar chromatogram in higher mz_1418; similar chromatogram in higher mz_5048; similar chromatogram in higher mz_4133; similar chromatogram in higher mz_10548; similar chromatogram in higher mz_5856; similar chromatogram in higher mz_710; similar chromatogram in higher mz_2977; similar chromatogram in higher mz_4957; similar chromatogram in higher mz_3017; similar chromatogram in higher mz_8404; similar chromatogram in higher mz_4753; similar chromatogram in higher mz_1502; similar chromatogram in higher mz_1014; similar chromatogram in higher mz_1475; similar chromatogram in higher mz_1694; similar chromatogram in higher mz_1954; similar chromatogram in higher mz_2110; similar chromatogram in higher mz_2882; similar chromatogram in higher mz_2944; similar chromatogram in higher mz_3322; similar chromatogram in higher mz_3558; similar chromatogram in higher mz_4507; similar chromatogram in higher mz_4535; similar chromatogram in higher mz_4744; similar chromatogram in higher mz_4907; similar chromatogram in higher mz_4980; similar chromatogram in higher mz_5234; similar chromatogram in higher mz_5266; similar chromatogram in higher mz_5823; similar chromatogram in higher mz_6893; similar chromatogram in higher mz_6929; similar chromatogram in higher mz_6931; similar chromatogram in higher mz_7161	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.01	std_e1	69.0435:6398 70.04685:0 71.05021:64661		653	-2	-2	-2
5	1.797	69.04839	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	0.88	std_e1	69.04839:2864 70.05174:0 71.0551:0		2719	-2	-2	-2
6	7.403	69.049	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.59	std_e1	69.049:4194 70.05235:0 71.05571:31835		11571	-2	-2	-2
7	6.129	69.05132	Unknown	[M-H]-	similar chromatogram in higher mz_11628; similar chromatogram in higher mz_12090; similar chromatogram in higher mz_13055; similar chromatogram in higher mz_8085; similar chromatogram in higher mz_8149; similar chromatogram in higher mz_979; similar chromatogram in higher mz_11798; similar chromatogram in higher mz_9681; similar chromatogram in higher mz_3378; similar chromatogram in higher mz_8691; similar chromatogram in higher mz_3686; similar chromatogram in higher mz_18	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1.67	std_e1	69.05132:1521 70.05467:0 71.05803:0		10293	-2	-2	-2
8	3.838	69.06016	Unknown	[M-H]-	similar chromatogram in higher mz_2024; similar chromatogram in higher mz_2313; similar chromatogram in higher mz_4169; similar chromatogram in higher mz_4806; similar chromatogram in higher mz_5257; similar chromatogram in higher mz_5550; similar chromatogram in higher mz_5783; similar chromatogram in higher mz_6223; similar chromatogram in higher mz_6259; similar chromatogram in higher mz_6291; similar chromatogram in higher mz_6323; similar chromatogram in higher mz_8558; similar chromatogram in higher mz_9312; similar chromatogram in higher mz_9950; similar chromatogram in higher mz_11059; similar chromatogram in higher mz_11944; similar chromatogram in higher mz_12215; similar chromatogram in higher mz_12604; similar chromatogram in higher mz_12677; similar chromatogram in higher mz_12824	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.42	std_e1	69.06016:4039 70.06351:0 71.06687:16461		6316	-2	-2	-2
9	4.139	69.07608	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.06	std_e1	69.07608:4619 70.07943:0 71.08279:0		6937	-2	-2	-2
10	5.619	69.07922	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.43	std_e1	69.07922:2222 70.08257:0 71.08593:0		9748	-2	-2	-2
11	14.74	69.08064	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.08	std_e1	69.08064:3726 70.08399:0 71.08735:0		14076	-2	-2	-2
12	2.429	69.10026	Unknown	[M-H]-	similar chromatogram in higher mz_10089; similar chromatogram in higher mz_10109; similar chromatogram in higher mz_9908; similar chromatogram in higher mz_8696; similar chromatogram in higher mz_13020; similar chromatogram in higher mz_12424; similar chromatogram in higher mz_3867; similar chromatogram in higher mz_10055; similar chromatogram in higher mz_8126; similar chromatogram in higher mz_7891; similar chromatogram in higher mz_5937; similar chromatogram in higher mz_5404; similar chromatogram in higher mz_4204; similar chromatogram in higher mz_2828; similar chromatogram in higher mz_6590; similar chromatogram in higher mz_7770; similar chromatogram in higher mz_7512; similar chromatogram in higher mz_4958; similar chromatogram in higher mz_4015; similar chromatogram in higher mz_4488; similar chromatogram in higher mz_7955; similar chromatogram in higher mz_7545; similar chromatogram in higher mz_7580; similar chromatogram in higher mz_4868; similar chromatogram in higher mz_6407; similar chromatogram in higher mz_7466; similar chromatogram in higher mz_8088; similar chromatogram in higher mz_7852; similar chromatogram in higher mz_12597	0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	3.08	std_e1	69.10026:2284 70.10361:0 71.10697:0		4099	-2	-2	-2
13	3.475	69.10271	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.18	std_e1	69.10271:5328 70.10606:0 71.10942:0		5815	-2	-2	-2
14	8.437	69.11681	Unknown	[M-H]-		0.25	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.18	std_e1	69.11681:1990 70.12016:0 71.12352:0		12249	-2	-2	-2
