Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	std_e1	std_e2	std_e3	std_e4
686	6.645	74.02327	Glycine	[M-H]-	similar chromatogram in higher mz_6888; similar chromatogram in higher mz_7928; similar chromatogram in higher mz_8171; similar chromatogram in higher mz_9000; similar chromatogram in higher mz_9527; similar chromatogram in higher mz_10039	0.75	FALSE	7.024	74.02319	C2H5NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	98.3	null	null	null	406.11	std_e1	74.02327:48469176 75.02662:434622 76.02998:53156		10923	4086	1599	-2
2332	5.29	88.03897	L-Alanine	[M-H]-	similar chromatogram in higher mz_4812; similar chromatogram in higher mz_3998; similar chromatogram in higher mz_9658; similar chromatogram in higher mz_10417; similar chromatogram in higher mz_11194; similar chromatogram in higher mz_12046; similar chromatogram in higher mz_10404	0.75	FALSE	5.767	88.03899	C3H7NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	24.4	97.4	null	null	null	2101	std_e1	88.03897:173525456 89.04232:4311356 90.04568:562788		9066	3714	1404	-2
3359	6.492	102.05475	Gamma-aminobutyric acid	[M-H]-	similar chromatogram in higher mz_7726	0.5	FALSE	6.861	102.0547	C4H9NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	98.3	null	null	null	156.2	std_e1	102.05475:7532447 103.0581:208426 104.06146:31649		10673	4061	-2	-2
3468	6.606	104.03393	L-Serine	[M-H]-	similar chromatogram in higher mz_10152; similar chromatogram in higher mz_10600; similar chromatogram in higher mz_12545	0.75	FALSE	7.041	104.0339	C3H7NO3				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	97.8	null	null	null	1230.3	std_e1	104.03393:103443128 105.03728:3731842 106.04064:5431700		10865	4074	1594	-2
3750	2.153	110.03474	Cytosine	[M-H]-	similar chromatogram in higher mz_12775	0.5	FALSE	2.232	110.0347	C4H5N3O				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.9	null	null	null	202.62	std_e1	110.03474:8518457 111.03809:358353 112.04145:1136813		3469	2048	-2	-2
3790	1.426	111.01872	Uracil	[M-H]-		0.75	FALSE	1.619	111.0187	C4H4N2O2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.8	null	null	null	1559.38	std_e1	111.01872:169483312 112.02207:8780180 113.02543:1863692		1961	1128	589	-2
3828	1.759	112.05039	Creatinine	[M-H]-	similar chromatogram in higher mz_10862; similar chromatogram in higher mz_12045; similar chromatogram in higher mz_12707	0.75	FALSE	1.808	112.0503	C4H7N3O				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	100	null	null	null	4712.34	std_e1	112.05039:194501808 113.05374:13598846 114.0571:1214732		2637	1502	684	-2
3944	2.855	114.05489	L-Proline	[M-H]-	similar chromatogram in higher mz_3950; similar chromatogram in higher mz_12127	0.75	FALSE	3.089	114.0547	C5H9NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.3	null	null	null	3204.68	std_e1	114.05489:270525472 115.05824:16621315 116.0616:22784578		5017	2288	946	-2
3999	1.343	115.00254	Fumarate?	[M-H]-		1	FALSE	1.535	115.0023	C4H4O4				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.5	null	null	null	116.07	std_e1	115.00254:37586232 116.00589:1896235 117.00925:699878		1544	995	560	434
4048	1.314	116.03403	N-Acetyl-Glycine	[M-H]-		0.75	FALSE	1.452	116.034	C4H7NO3				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.9	null	null	null	8734.15	std_e1	116.03403:434072960 117.03738:42861844 118.04074:5199001		1638	900	545	-2
