PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	20	0.1211097	0.2153675	0.3506706	357.8834	2708.02661132813	24902.470703125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.118139	357.88337:1580 358.06474:6812 358.88006:3665	
1	Unknown	22	0.005200233	0.2362653	0.371433	230.1392	1628.65625	13524.2138671875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.45791	229.99848:10721 230.98537:64608 231.08672:2637 231.9886:2257 232.92389:12406 233.15363:7500 233.87103:1817 233.92362:2165 234.92242:1811	
2	Unknown	26	0.02658135	0.2779358	0.3506706	209.0448	304584.03125	5010970	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	11.63566	208.93375:11335 208.98362:3889 209.04479:69142 210.04797:5156 210.07973:1868 210.92997:4553 210.98304:1687 211.01929:6072 211.13295:21977 212.07433:22180 212.13633:1951 212.91144:1678 212.97886:2310 212.99471:4880 213.07545:2188 213.11211:5481 213.14885:3814 213.18535:9702 214.02055:6968	
3	Unknown	31	0.2362653	0.3299041	0.4336138	289.8906	3086.44506835938	29035.59375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.151975	289.89061:1613 293.17532:25052 293.2119:9689 293.99809:2370 294.17829:4892	
4	Unknown	31	0.2049363	0.3299041	0.4336138	301.9329	3101.01806640625	27174.302734375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.766294	302.12393:1526 302.22046:2210 302.92812:2024 303.23217:2201 306.05771:5916	
5	Unknown	36	0.2466943	0.3817996	0.5163153	319.2272	2307.60717773438	24383.76953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.100935	319.22721:1319 320.89505:9446 320.99483:2504 321.24319:1720	
6	Unknown	39	0.2779358	0.4129223	0.5472652	328.155	2475.31127929688	23808.951171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.718826	328.15499:1883 328.98333:2162 329.23302:17636 330.23634:3442	
7	Unknown	41	0.03709372	0.4336138	0.4956738	182.9875	357554.03125	8425115	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.82493	182.93039:10267 182.95914:9296 182.96327:1535354 182.96765:10567 182.98753:83747 183.10153:12654 183.13796:2355 183.92568:1735 183.96635:30490 183.99106:3537 184.06032:3239 184.09674:2091 184.96044:497931 184.96669:19170 185.0443:5997 185.08098:12060 185.11686:7118 185.15355:13415 185.96383:5045 185.99719:31399 186.07645:3207 186.11257:4992 186.9323:1908 187.06009:16839 187.09665:12513 187.13307:4264	
8	Unknown	42	0.1211097	0.4439534	0.588342	140.9794	938730.8125	23633836	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.38053	140.97937:218116 140.98474:22016 141.01809:10654 141.02921:3203 141.09079:8349 141.93649:3329 141.97259:4030 142.04964:4683 142.98161:1814 142.99134:1632 142.99519:8444 143.01141:213315 143.03109:14434 143.03392:32725 143.0701:25855 143.10655:151191 144.00641:5402 144.01515:3138 144.02908:17148 144.04425:3915 144.06536:4105 144.9744:123536 144.99077:16467 145.01313:11466 145.02679:3127 145.04919:12175 145.08583:8150 145.1221:6599 145.96965:3228	
9	Unknown	42	0.3506706	0.4439534	0.4956738	157.1223	913995.9375	7854869.5	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.679576	156.94502:2620 157.04934:13329 157.08581:23803 157.12234:259924 157.97511:3162 158.00855:4078 158.04482:7165 158.08087:4561 158.12561:15043 158.91046:5694 158.98631:6189 158.98987:54069 159.00563:4558 159.02844:6473 159.06506:14079 159.08363:8018 159.10195:4100 159.99322:1740 160.06043:3317 160.91063:4818 160.94828:32956 161.04448:18734 162.02971:2058	
