PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
311	N-Acetyl-L-Phenylalanine	95	0.7733219	0.9823391	1.341335	206.0816	229054064	1527211264	null	[M-H]-	M + 0		1.035	206.0815	C11H13NO3				520	TRUE	TRUE	FALSE	100	null	null	null	100	35427.24	205.75257:11900 205.90207:16563 205.98442:41670 205.98722:14861 206.02123:14178 206.02964:20240 206.03701:16794 206.03981:31436 206.04367:21582 206.04788:14306 206.0513:32803 206.05489:20603 206.05735:34073 206.06506:24966 206.06787:43608 206.07067:31693 206.07664:522725 206.08158:111129264 206.08681:749499 206.09102:106948 206.09663:29260 206.09944:15856 206.1026:19672 206.10716:24719 206.11139:37818 206.11382:20695 206.11663:16319 206.12189:25923 206.12494:37067 206.13066:14359 206.13628:12485 206.16141:32205 206.17749:63194 206.41026:14495 207.07924:202476 207.08456:12755143 207.08984:101496 208.08136:19367 208.08563:365888 208.08776:333563 209.04433:71290 209.08897:64396	NA
349	N-Acetyl-L-Leucine	96	0.7528095	0.9918141	1.369947	172.0969	48522928	321337472	null	[M-H]-	M + 0		1.052	172.0968	C8H15NO3				520	TRUE	TRUE	FALSE	100	null	null	null	100	6696.45	172.02307:10489 172.06159:16573 172.07043:9349 172.08943:27617 172.09692:22983780 172.10094:112800 172.10415:35610 172.17056:13962 172.95661:52003 173.04422:222366 173.08085:24070 173.09406:33121 173.10028:1866734 173.11731:19104 173.95594:9258 174.1013:79216 174.10375:26105 174.95554:268665 175.05987:47185 176.07051:11061 176.98491:52575 177.07703:23658	NA
457	N-Acetyl-L-Methionine	101	0.8241798	1.039641	1.350874	190.0537	45198752	295497472	null	[M-H]-	M + 0		1.103	190.0536	C7H13NO3S				520	TRUE	TRUE	FALSE	100	null	null	null	100	6039.608	189.96701:6445 189.96918:8580 190.0139:4290 190.02073:8094 190.02259:6016 190.03253:4882 190.03502:7592 190.0375:7186 190.0403:9158 190.04527:19187 190.04775:48529 190.05366:21413904 190.058:163003 190.06297:12476 190.06577:10686 190.06794:7240 190.07074:13609 190.08068:4619 190.08565:6402 190.09218:7231 190.13911:12377 191.0188:10919 191.05042:39117 191.05292:74414 191.05669:1682851 192.04937:912466 192.05757:59798 192.06577:2212244 192.07019:15898 192.90994:5259 193.0498:5947 193.05234:47112 193.06879:173833 193.08638:8797 194.0036:12270 194.06994:11124 194.07282:6116 194.08148:5706 194.90509:59730 194.98772:12200 195.04959:22036	NA
492	Hippurate	103	0.9143313	1.059107	1.369947	178.0502	9587685	62190996	null	[M-H]-	M + 0		1.137	178.0502	C9H9NO3				520	TRUE	TRUE	FALSE	99.9	null	null	null	100	1035.675	178.02652:88341 178.0339:8104 178.04376:5443 178.04601:31770 178.05025:5167972 178.05418:38727 178.07108:12318 178.52808:18557 179.04717:13566 179.05333:448377 180.05064:3580 180.05436:21252 180.05665:11681 180.06525:6330 180.98813:13538 181.07104:30728 181.08604:7487 181.99121:12871 182.00835:7323 182.93039:11560 182.95914:10187 182.96326:1610881 182.96765:11663 182.98785:133794	NA
594	Nicotinate	114	0.8842211	1.168567	1.514542	122.0236	46482148	283490528	null	[M-H]-	M + 0		1.205	122.0235	C6H5NO2				520	TRUE	TRUE	FALSE	100	null	null	null	100	2576.883	121.94233:6446 121.98018:13166 122.00417:15971 122.00894:6809 122.0107:6908 122.01405:4921 122.01645:14607 122.02045:67727 122.02364:31613216 122.02588:233440 122.03035:12541 122.03131:16166 122.03371:18018 122.03563:5309 122.03755:9545 122.04011:6378 122.04138:6854 122.0425:5213 122.04362:12364 122.04602:5334 122.06754:24377 122.9661:18208 122.9745:12366 123.01898:6491 123.02058:93516 123.02674:2060135 123.02917:15883 123.0439:9066 123.05482:25014 123.9007:11772 124.00029:32588 124.00613:37524 124.02392:6137 124.02769:59395 124.02998:34948 124.03899:5587 124.05013:12337 124.98257:6511 124.99052:5741 125.02317:12286 125.03416:29357 125.05947:10193 126.01826:9049 126.055:8566 126.90366:17823 126.99999:5850	NA
665	(RS)-Mevalonate	116	0.9042917	1.187434	1.417894	147.0652	7458621.5	47088064	null	[M-H]-	M + 0		1.273	147.065	C6H12O4				520	TRUE	TRUE	FALSE	99.9	null	null	null	99.9	225.3623	147.02863:36276 147.06522:5946745 147.06817:35083 148.05087:53757 148.06834:233094 149.06918:27012 150.04111:39400 150.06618:31474 151.0054:75859 151.01532:15195 151.02479:21386 151.03888:54597 151.05032:28684 152.03417:20835	NA
679	Pantothenate	116	1.07882	1.187434	1.868127	218.1029	122295760	730245952	null	[M-H]-	M + 0		1.222	218.10291	C9H17NO5				520	TRUE	TRUE	FALSE	100	null	null	null	100	56699.02	217.99781:47059 218.05704:25670 218.08186:16132 218.08492:39325 218.08797:33554 218.09408:146667 218.09714:443953 218.10289:88982512 218.10821:521450 218.1147:51118 218.12196:26686 218.12693:19054 218.12998:14037 218.14488:31634 218.15023:33074 218.2064:31079 219.10073:186806 219.10616:8797953 219.11153:56457 219.17448:59189 220.10282:18258 220.10669:557371 221.1102:54766 222.03544:19342 222.07624:16737 223.05636:213070	NA
685	Biotin	116	1.039641	1.187434	1.533589	243.0805	13617701	80295024	null	[M-H]-	M + 0		1.256	243.08051	C10H16N2O3S				520	TRUE	TRUE	FALSE	99.9	null	null	null	100	1894.044	243.0701:22735 243.08046:11125943 243.08717:64658 243.12313:19913 244.04289:64433 244.07701:30906 244.08374:973181 244.09915:62034 245.07597:387183 245.08429:31415 246.0795:35643 247.07203:13354	NA
789	Acetyl-L-Threonine	118	1.07882	1.206371	1.897631	160.0604	254516800	1774060928	null	[M-H]-	M + 0		1.323	160.06059	C6H11NO4				520	TRUE	TRUE	FALSE	99.8	null	null	null	99.9	27900.81	159.99419:59301 160.01555:9246 160.02203:19411 160.02419:12709 160.03139:39048 160.03355:19027 160.03763:18622 160.04316:43085 160.0482:36342 160.05108:25920 160.05324:98838 160.05684:295364 160.06044:99923656 160.06404:622406 160.06692:155370 160.06884:38161 160.07173:38978 160.07677:27336 160.07893:31607 160.08133:19213 160.08445:15645 160.0883:18536 160.0907:35951 160.0979:14335 160.10006:13033 160.12577:63435 160.13538:11308 160.32488:10702 160.94764:32518 161.05741:183100 161.06371:6965534 161.07001:14681 161.08068:11819 162.06442:715953 162.06666:80577 162.95659:18824 162.98126:18786 162.99705:9804 163.0237:13915 163.06122:17253 163.06808:41148 164.03416:69206 164.07031:147667 165.01814:227784 165.03919:27511	NA
900	N-Acetyl-Glycine	126	1.088774	1.283702	1.485865	116.034	60689328	519434368	null	[M-H]-	M + 0		1.452	116.034	C4H7NO3				520	TRUE	TRUE	FALSE	99.6	null	null	null	99.8	4557.691	115.99314:12282 115.99417:4476 116.00632:8091 116.01151:4335 116.01462:4661 116.01565:9543 116.01743:6477 116.01936:8750 116.02114:6572 116.02217:5344 116.0241:3858 116.02529:4251 116.02632:10596 116.03003:18319 116.03181:79065 116.03403:20740700 116.03625:129544 116.03936:13306 116.04144:5746 116.04248:9604 116.04351:4692 116.04559:8449 116.04826:5265 116.04944:6059 116.05211:5711 116.053:6348 116.05404:5819 116.07015:36057 116.0746:15396 116.07835:10748 116.92716:47904 116.93317:16488 116.9387:4904 116.9582:44774 116.9813:4664 117.01797:62987 117.03096:35598 117.03741:913261 117.04013:8472 117.05482:12603 117.9273:10931 118.00326:8631 118.01344:4543 118.03823:80231 118.04954:18535 118.95633:4640 118.99742:7688 119.0005:4446 119.02389:4831 119.03375:40854 120.01116:23864 120.04909:4050 120.05549:10973 121.02838:268786	NA
995	Fumarate?	132	1.196877	1.341335	1.514542	115.0024	7461417.5	62324636	null	[M-H]-	M + 0		1.535	115.0023	C4H4O4				520	TRUE	TRUE	FALSE	99.5	null	null	null	99.8	104.444	114.93516:28389 115.00035:23548 115.0024:3036984 115.00459:15810 115.03867:58789 115.07534:242085 116.00604:58994 116.03004:10455 116.03182:38973 116.03405:7988149 116.03627:41477 116.07009:24330 116.92712:65112 116.93332:13158 116.95821:27843 117.01823:65285 117.03113:17029 117.03752:162592 117.05456:9226 118.03839:19689 118.04965:10822 119.03377:39603	NA
1004	Thymidine	132	1.178025	1.341335	1.562271	241.0824	1431309.75	10475361	null	[M-H]-	M + 0		1.357	241.0825	C10H14N2O5				520	TRUE	TRUE	FALSE	100	null	null	null	100	279.106	241.08237:532869 241.21652:12444 242.05066:9373 242.08564:51778 242.17529:9143 243.06158:8501 244.04901:10493 244.98444:22484	NA
1036	N-Acetyl-L-Glutamine	133	0.9728602	1.350874	1.868127	187.0715	134205120	1112297728	null	[M-H]-	M + 0		1.568	187.0714	C7H12N2O4				520	TRUE	TRUE	FALSE	99.4	null	null	null	99.7	10009.77	186.98899:19972 187.03417:14458 187.04145:7959 187.04388:9619 187.04752:9167 187.05237:10528 187.05479:8169 187.05965:17833 187.06177:39699 187.06693:131028 187.07148:40140868 187.07603:269739 187.0824:23720 187.08604:17719 187.08817:13557 187.09211:10757 187.09606:28972 187.10303:8169 187.15493:21694 188.06861:192193 188.07481:3169306 188.98054:15542 189.07175:20261 189.07565:233680 189.07822:36756 190.07197:7129 190.07933:24601 191.01876:23806 191.03005:9007 191.05478:15256 192.03231:22340	NA
1092	Nicotinamide	136	1.196877	1.379497	1.689976	121.0394	8714601	61419428	null	[M-H]-	M + 0		1.391	121.0394	C6H6N2O				520	TRUE	TRUE	FALSE	100	null	null	null	100	343.32	121.02842:230806 121.03722:22366 121.03944:3691812 121.0418:22734 122.02336:33884 122.03136:16157 122.03471:14581 122.04286:112624 123.02032:9975 123.05494:14991 123.90062:22919 123.98762:12512 124.00055:37851 124.00601:35880 125.03448:1518834 125.05951:6951 125.07046:14142 125.89913:8016 126.01864:15481 126.03777:53657	NA
