"PeakID"	"Title"	"Scans"	"RT.left.min."	"RT..min."	"RT.right..min."	"Precursor.m.z"	"Height"	"Area"	"Model.masses"	"Adduct"	"Isotope"	"Comment"	"Reference.RT"	"Reference.m.z"	"Formula"	"Ontology"	"InChIKey"	"SMILES"	"Annotation.tag..VS1.0."	"RT.matched"	"m.z.matched"	"MS.MS.matched"	"RT.similarity"	"Dot.product"	"Reverse.dot.product"	"Fragment.presence.."	"Total.score"	"S.N"	"MS1.isotopes"	"MSMS.spectrum"
276	"N-Acetyl-L-Phenylalanine"	95	0.8239617	0.9832252	1.515382	206.0816	20298272	138107296	"null"	"[M-H]-"	"M + 0"	""	"1.035"	"206.0815"	"C11H13NO3"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	7310.996	"205.98512:5657 206.03806:3461 206.06787:6075 206.07348:13449 206.07663:53231 206.08156:10278235 206.08681:62280 206.09102:10557 206.10575:4579 206.10926:2758 206.124:2641 206.16204:35645 206.17699:4925 207.01107:3245 207.02899:8862 207.0796:18931 207.08491:1221128 208.08562:38144 208.08812:28735 208.93383:7821 208.98361:6658 208.98684:2902 209.04472:62425 209.08861:3718 210.04001:2645 210.04868:4940 210.07575:3794 210.93072:5617 211.03537:3602"	NA
290	"N-Acetyl-L-Leucine"	96	0.7934203	0.9931334	1.324533	172.0969	4112623	29383872	"null"	"[M-H]-"	"M + 0"	""	"1.052"	"172.0968"	"C8H15NO3"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	566.0839	"171.95996:2604 172.02388:4762 172.06187:3136 172.09078:2798 172.09319:11722 172.09692:2021754 172.10202:4377 172.1047:13169 172.14134:10438 172.95689:132834 173.00233:2265 173.04414:33689 173.08062:43712 173.09382:3701 173.1002:119462 173.11724:79407 173.95622:7966 174.95561:338534 175.02451:4035 175.0456:8165 175.0602:8304 175.09646:16809 176.98516:3909 176.99772:6057 177.03905:3706 177.07704:8184"	NA
334	"N-Acetyl-L-Methionine"	101	0.8934675	1.043204	1.334533	190.0536	3750819	24843286	"null"	"[M-H]-"	"M + 0"	""	"1.103"	"190.0536"	"C7H13NO3S"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	947.2112	"190.0477:5578 190.05363:2052662 190.05795:13647 190.06075:6999 190.07224:5834 190.97649:3065 191.01864:11903 191.05068:2206 191.05287:5683 191.05691:99817 191.09202:3600 191.10705:2321 192.04918:47074 192.05751:5828 192.06567:133954 192.98838:5179 193.00823:13526 193.06883:8317 193.08601:6418 194.00336:13220 194.9049:75624 194.93894:5537 194.98744:34959 194.99768:2490 195.04972:18438"	NA
355	"Hippurate"	103	0.8036535	1.063335	1.394397	178.0502	705726.5	4818621	"null"	"[M-H]-"	"M + 0"	""	"1.137"	"178.0502"	"C9H9NO3"	""	""	""	520	"True"	"True"	"False"	"99.9"	"null"	"null"	"null"	"100"	81.0101	"178.02618:68974 178.05022:438432 178.07107:12658 178.52781:14586 178.97609:4362 179.03431:4339 179.05334:15975 179.05504:23921 179.07038:6090 180.05865:2031 180.06544:7723 180.98816:22289 181.02481:7021 181.07054:30471 181.08603:5625 181.98592:2755 182.00892:2291 182.04823:4444 182.05638:2065 182.11756:4041 182.93037:11388 182.96324:1454618 182.96764:9036 182.98756:147620 183.03573:1833"	NA
426	"Nicotinate"	113	0.9633712	1.164443	1.364445	122.0235	4184361.5	27320516	"null"	"[M-H]-"	"M + 0"	""	"1.205"	"122.0235"	"C6H5NO2"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	221.6155	"121.97958:2583 121.99044:12714 122.02128:22290 122.02352:3045776 122.02592:16370 122.03119:12422 122.03471:136401 122.04334:2094 122.96629:18562 122.97422:4927 122.98877:2341 123.01852:13616 123.02079:12885 123.02697:135696 123.03779:3075 123.0437:7785 123.05526:19432 123.9009:11137 123.97927:5767 123.9876:51442 124.00038:29509 124.00612:24976 124.03903:3326 124.05033:17075 124.98261:15549 124.99039:4918 125.02294:9301 125.03448:15917 125.05929:7953 126.01878:8523 126.05504:9639 126.90387:11603 127.00003:2856"	NA
453	"(RS)-Mevalonate"	115	0.9534088	1.184201	1.314498	147.0652	894051.5	6684971.5	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_447"	"1.273"	"147.065"	"C6H12O4"	""	""	""	520	"True"	"True"	"False"	"99.9"	"null"	"null"	"null"	"99.9"	137.6603	"146.96495:51449 147.02882:30699 147.06518:807732 148.04254:2965 148.05044:40692 148.06839:24809 149.02306:13848 149.04413:4326 149.04538:11400 149.09635:3628 150.00078:4450 150.02976:5108 150.04104:37978 150.06637:20717 151.00628:9241 151.02484:28646 151.039:35871 151.05004:14329 151.06152:6222 152.00147:3395 152.03481:7140 152.04526:7203"	NA
460	"Pantothenate"	115	1.073429	1.184201	1.81908	218.1028	12652446	76319632	"null"	"[M-H]-"	"M + 0"	""	"1.222"	"218.10291"	"C9H17NO5"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	8158.412	"217.99899:5435 218.05434:3275 218.07686:4859 218.09099:9314 218.0971:42236 218.10285:12229763 218.10856:86686 218.11658:14144 218.12078:4995 218.13033:4223 218.1502:3934 218.20866:5572 218.98523:14563 219.08624:15189 219.10035:20199 219.10612:1259373 219.17427:41479 220.10674:55569 220.1783:7541 220.93524:3222 221.00061:15371 221.06573:3978 221.0814:10236 221.11056:9532 222.0766:3236 223.02411:6441 223.05628:77231"	NA
465	"Biotin"	115	1.073429	1.184201	1.49543	243.0804	1185778.5	7342273.5	"null"	"[M-H]-"	"M + 0"	""	"1.256"	"243.08051"	"C10H16N2O3S"	""	""	""	520	"True"	"True"	"False"	"99.9"	"null"	"null"	"null"	"100"	197.9835	"243.06146:10395 243.0804:1109170 243.08713:11681 243.12309:19979 244.04335:17994 244.04895:6708 244.06703:3549 244.08376:66788 244.11812:6246 244.98476:38835 245.03876:19384 245.06651:5057 245.07651:29361 245.0847:4404 245.1029:9515 247.00156:6528 247.08121:4247 247.11843:16457"	NA
496	"Acetyl-L-Threonine"	117	0.9931334	1.203861	1.78858	160.0607	31895242	218366656	"null"	"[M-H]-"	"M + 0"	""	"1.323"	"160.06059"	"C6H11NO4"	""	""	""	520	"True"	"True"	"False"	"99.8"	"null"	"null"	"null"	"99.9"	4598.564	"159.99371:4669 159.99539:7214 160.00595:4534 160.00763:3235 160.03019:5001 160.03667:4199 160.05107:5578 160.0542:17546 160.05684:35497 160.06068:15701878 160.06404:116317 160.06812:10665 160.07196:4664 160.08061:4371 160.09021:6370 160.12664:10149 160.89153:3582 160.94816:33381 161.04412:30843 161.05724:22312 161.06395:1031087 161.08041:20231 162.02727:3719 162.06078:4522 162.06469:69782 162.06714:8654 162.89248:7445 162.95462:3649 162.95667:9089 162.98126:22439 163.02345:5319 163.03851:4514 163.06122:7187 163.06788:5324 164.03428:64940 164.03781:7335 164.04528:3585 164.07045:24727 165.01839:212703 165.03728:3403 165.03954:21798 165.05438:3626"	NA
545	"N-Acetyl-Glycine"	125	1.043204	1.284244	1.49543	116.034	6544960.5	56043392	"null"	"[M-H]-"	"M + 0"	""	"1.452"	"116.034"	"C4H7NO3"	""	""	""	520	"True"	"True"	"False"	"99.6"	"null"	"null"	"null"	"99.8"	548.3969	"115.99358:2442 115.99802:2753 116.00602:2781 116.03195:12677 116.03403:2628418 116.03625:15373 116.04173:3025 116.07049:35208 116.92734:94640 116.9333:10619 116.93855:6318 116.95818:57538 117.01808:69889 117.02917:4482 117.03097:4824 117.03744:74305 117.05439:26158 117.92715:7188 118.00326:14574 118.01299:3591 118.02165:2610 118.03822:5925 118.04978:16970 118.91681:4274 118.92557:3059 118.94095:3247 118.95049:3975 118.95664:3115 118.99141:10716 118.99726:3318 119.03379:54693 119.94591:2541 120.01136:3975 120.03708:2524 120.04426:5109 120.05533:6182 120.99522:4173 121.02822:291460"	NA
560	"Fumarate?"	131	1.174393	1.344516	1.50543	115.0024	2200935	27326994	"null"	"[M-H]-"	"M + 0"	""	"1.535"	"115.0023"	"C4H4O4"	""	""	""	520	"True"	"True"	"False"	"99.5"	"null"	"null"	"null"	"99.8"	21.06717	"114.935:38781 115.00034:9934 115.00239:795383 115.00458:5146 115.03878:66196 115.05021:4793 115.07525:306336 116.00606:14161 116.02425:4808 116.03403:614499 116.03625:5114 116.04203:3580 116.07049:33430 116.07835:9057 116.92737:94320 116.9333:13546 116.9387:7506 116.95839:48131 116.98175:5414 117.0181:60599 117.02917:2946 117.05454:22463 117.92715:4715 118.00341:10769 118.01314:4956 118.03991:11032 118.04993:8614 118.95018:3891 118.99111:6141 118.99757:3769 119.0005:4989 119.0339:38775 119.06024:2583"	NA
562	"N-Acetyl-L-Glutamine"	131	1.073429	1.344516	1.839423	187.0718	15934337	123885456	"null"	"[M-H]-"	"M + 0"	""	"1.568"	"187.0714"	"C7H12N2O4"	""	""	""	520	"True"	"True"	"False"	"99.4"	"null"	"null"	"null"	"99.6"	1806.264	"187.03475:2490 187.06084:12156 187.06721:33585 187.07177:5908312 187.076:44553 187.07995:9180 187.08329:2584 187.09607:27391 187.10726:3400 187.13245:3010 187.15491:3289 188.05521:5577 188.06874:27827 188.07479:386662 188.0914:9745 188.93823:9514 188.98061:7636 189.03936:6081 189.07548:50541 189.11211:2965 190.97619:3732 191.01858:32895 191.05507:19928 191.10643:3349 192.0326:5282"	NA
565	"Thymidine"	131	1.203861	1.344516	1.50543	241.0822	169359.6875	1312255.5	"null"	"[M-H]-"	"M + 0"	""	"1.357"	"241.0825"	"C10H14N2O5"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	45.22891	"241.07086:3686 241.08219:61570 241.21663:8171 242.05088:55268 242.08591:6915 243.05436:5143 243.06155:10229 243.08087:2122 243.08716:3930 243.15997:5035 244.00106:5288 244.04897:6742 244.06705:6742 244.11905:3065 244.22763:6241 244.90513:2434 244.96337:8759 244.98488:37339 245.04288:2723 245.98797:2917"	NA
585	"Nicotinamide"	134	1.233821	1.374406	1.58539	121.0394	632462.6875	4727932.5	"null"	"[M-H]-"	"M + 0"	"similar chromatogram in higher mz_590; similar chromatogram in higher mz_592; similar chromatogram in higher mz_593; similar chromatogram in higher mz_599; similar chromatogram in higher mz_594; similar chromatogram in higher mz_575; similar chromatogram in higher mz_578; similar chromatogram in higher mz_579; similar chromatogram in higher mz_582; similar chromatogram in higher mz_584"	"1.391"	"121.0394"	"C6H6N2O"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	26.2841	"121.02839:241243 121.03944:300542 121.05034:8562 121.99027:12184 122.02352:12839 122.03167:13343 122.03468:73801 122.04258:9507 122.96657:17533 122.97455:8485 122.98845:3173 123.0187:15563 123.02031:6419 123.03811:3536 123.05527:14095 123.90101:19057 123.9874:41087 124.00039:29423 124.00607:39286 124.0392:3869 124.05039:12556 124.98261:10843 125.02304:4850 125.03448:85818 125.05951:6109 125.89929:6161 126.0188:7246 126.03793:6345"	NA
589	"Uracil"	135	1.174393	1.384391	1.697172	111.0187	4445976	55204452	"null"	"[M-H]-"	"M + 0"	""	"1.619"	"111.0187"	"C4H4N2O2"	""	""	""	520	"True"	"True"	"False"	"99.3"	"null"	"null"	"null"	"99.7"	160.7161	"110.99861:2414 111.00776:8216 111.01664:7507 111.01872:1601052 111.02066:11338 111.0441:4770 111.0552:15292 112.01566:3069 112.02199:23109 112.03942:6343 112.98423:330343 112.99788:7884 113.02296:17932 113.03408:5595 113.05959:11481 114.01822:20484 114.0546:12663 114.93516:32048 115.0002:10154 115.0024:393317 115.03886:94024 115.07512:326993 116.00574:7014"	NA
590	"Orotate"	135	1.063335	1.384391	1.869877	155.0089	20347418	153919584	"null"	"[M-H]-"	"M + 0"	""	"1.619"	"155.0087"	"C5H4N2O4"	""	""	""	520	"True"	"True"	"False"	"99.3"	"null"	"null"	"null"	"99.6"	2172.081	"154.9464:6429 154.99604:2620 155.00107:8768 155.00542:39158 155.00886:7309364 155.01205:60597 155.01571:6947 155.01846:2832 155.02258:2837 155.03334:5624 155.037:2760 155.06996:9087 155.1066:6579 156.00572:23663 156.01206:379528 156.02892:3250 156.06544:5256 156.94526:5820 157.01282:39769 157.02432:6285 157.04934:19580 157.0857:15379 157.12233:172939 157.97512:4506 158.04463:10131 158.08159:3359 158.12601:11997 158.98655:12854 158.98992:37819 159.02847:7215 159.06518:18984 159.08341:6924 159.10173:5156"	NA
603	"Thymine"	139	1.213803	1.424616	1.707349	125.0345	1425197.5	13401082	"null"	"[M-H]-"	"M + 0"	""	"1.452"	"125.0345"	"C5H6N2O2"	""	""	""	520	"True"	"True"	"False"	"100"	"null"	"null"	"null"	"100"	134.168	"124.98294:12819 125.00332:2223 125.02305:5617 125.03448:583588 125.0368:4143 125.05935:4278 125.89762:2004 125.8993:4250 126.01831:5830 126.03776:12590 126.05488:9443 126.90354:11254 126.99953:2729 127.03908:13009 127.05028:4484 127.07559:5529 127.89617:2261 128.03419:184386 128.07041:2813 128.99546:8764 129.01804:28378 129.02917:5502 129.03701:7249 129.05452:67710 129.09085:75178 129.99539:4199 130.01331:3324"	NA
