Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	unlabeled_1	unlabeled_2
765	6.853	74.02304	Glycine	[M-H]-		1	FALSE	7.024	74.02319	C2H5NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.6	null	null	null	3365.53	unlabeled_2	74.02304:180718992 75.02639:1653932 76.02975:147776		12459	13503
2424	1.408	87.00709	Pyruvic acid???	[M-H]-		1	FALSE	1.239	87.00691	C3H4O3		LCTONWCANYUPML-UHFFFAOYSA-N	null	330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.6	null	null	null	183.68	unlabeled_2	87.00709:73765632 88.01044:1101268 89.0138:8441704		1769	2043
2531	5.56	88.03876	L-Alanine	[M-H]-	similar chromatogram in higher mz_4490	1	FALSE	5.767	88.03899	C3H7NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	24.9	99.6	null	null	null	3653.1	unlabeled_2	88.03876:1063985600 89.04211:36825072 90.04547:2779159		10617	11486
2645	1.609	89.02273	Lactic acid?	[M-H]-		1	FALSE	1.391	89.02298	C3H6O3				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.4	null	null	null	4481.68	unlabeled_2	89.02273:6918638592 90.02608:259652016 91.02944:44315808		2215	2515
2880	1.867	91.03837	Glycerol?	[M-H]-	similar chromatogram in higher mz_7116; similar chromatogram in higher mz_16660	1	FALSE	1.347	91.03517	C3H8O3				430	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	96.6	null	null	null	2389.1	unlabeled_2	91.03837:263440400 92.04172:4029569 93.04508:755367		2927	3201
3731	6.727	102.0545	Gamma-aminobutyric acid	[M-H]-	similar chromatogram in higher mz_17183	1	FALSE	6.861	102.0547	C4H9NO2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.8	null	null	null	747.48	unlabeled_2	102.0545:61798800 103.05785:1331507 104.06121:167297		12189	13238
3790	1.483	103.03838	3-Hydroxybutyric acid (BHB)	[M-H]-		1	FALSE	1.213	103.0387	C4H8O3				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.1	null	null	null	62.66	unlabeled_2	103.03838:128887648 104.04173:3379754 105.04509:292334		1931	2175
3844	6.722	104.03378	L-Serine	[M-H]-		1	FALSE	7.041	104.0339	C3H7NO3				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	98.8	null	null	null	841.56	unlabeled_2	104.03378:113757504 105.03713:2427896 106.04049:1259527		12155	13241
4178	2.481	110.03455	Cytosine	[M-H]-		0.5	FALSE	2.232	110.0347	C4H5N3O				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.2	null	null	null	12.22	unlabeled_2	110.03455:825333 111.0379:0 112.04126:442908		-2	4615
4232	1.797	111.01836	Uracil	[M-H]-		1	FALSE	1.619	111.0187	C4H4N2O2				330	TRUE	TRUE	TRUE		FALSE	TRUE	null	null	null	99.6	null	null	null	1127.56	unlabeled_2	111.01836:197727936 112.02171:7125098 113.02507:1057328		2729	2980
