PeakID	Title	Scans	RT.left.min.	RT..min.	RT.right..min.	Precursor.m.z	Height	Area	Model.masses	Adduct	Isotope	Comment	Reference.RT	Reference.m.z	Formula	Ontology	InChIKey	SMILES	Annotation.tag..VS1.0.	RT.matched	m.z.matched	MS.MS.matched	RT.similarity	Dot.product	Reverse.dot.product	Fragment.presence..	Total.score	S.N	MS1.isotopes	MSMS.spectrum
12459	Glycine	724	6.517225	6.857521	7.781963	74.02305	135892512	2725380608	null	[M-H]-	M + 0		7.024	74.02319	C2H5NO2				520	TRUE	TRUE	FALSE	99.7	null	null	null	99.8	3711.316	74.021:45296 74.02305:34070644 74.0241:198838 75.00669:79038 75.02602:94169 75.02656:66350 76.02689:42633 78.93468:46811 78.94723:53166 78.95214:53819 78.95272:61136 78.95372:39936 78.95505:112601 78.95738:92046984 78.95855:666048 78.95988:89440 78.96121:48760 78.96221:53783 78.9677:36355 78.98026:74842	NA
1769	Pyruvic acid???	145	1.270725	1.403828	1.554304	87.00718	40491748	347817728	null	[M-H]-	M + 0		1.239	87.00691	C3H4O3		LCTONWCANYUPML-UHFFFAOYSA-N	null	520	TRUE	TRUE	FALSE	99.7	null	null	null	99.8	162.585	87.00333:12214 87.00535:19897 87.00718:10449279 87.00852:92777 87.01247:8584 87.01786:8472 87.04308:41679 87.04387:39931 88.00195:31114 88.00263:119893 88.01007:32805 88.0108:63652 88.01379:16307 88.03837:26818 88.03902:62891 88.98618:43962 89.02303:497010 90.00772:11092 90.02656:14999 91.00141:9521 91.00203:20149 91.02046:35031 91.03817:19007 91.03879:24785	NA
10617	L-Alanine	583	4.887618	5.524572	6.403853	88.03876	714576640	15822249984	null	[M-H]-	M + 0	similar chromatogram in higher mz_10593	5.767	88.03899	C3H7NO2				520	TRUE	TRUE	FALSE	99.3	null	null	null	99.6	4065.848	87.93151:29905 87.94872:18418 87.98873:36798 88.00273:74545 88.00302:197146 88.01184:120100 88.01653:34531 88.01917:21513 88.02045:24132 88.02113:23609 88.02201:25888 88.02436:31240 88.02505:25695 88.02652:78213 88.02828:52671 88.02906:55437 88.03044:48848 88.03143:77936 88.03269:98147 88.03484:58024 88.03621:225139 88.03876:173359920 88.04023:1293535 88.04229:188203 88.04366:69090 88.04444:71452 88.04542:42097 88.04669:55080 88.04777:37378 88.04891:78012 88.05071:114662 88.05287:34350 88.05365:34383 88.05678:26257 88.0607:27682 88.06149:27100 88.06531:44866 88.06609:63697 88.08932:24456 88.1466:29418 88.9863:86208 89.02274:16939756 89.02413:81523 89.03599:161716 89.04057:37340 89.04206:5644926 89.04485:128362 90.00822:20342 90.02618:172209 90.04313:309770 90.04549:28707 91.00182:37637 91.02725:22740 91.0385:70677 93.00819:108982	NA
2215	Lactic acid?	166	1.309068	1.600902	1.825765	89.02273	4849250816	46161281024	null	[M-H]-	M + 0		1.391	89.02298	C3H6O3				520	TRUE	TRUE	FALSE	99.5	null	null	null	99.7	4472.345	88.52806:78238 88.55651:81799 88.5743:76963 88.59921:83192 88.88596:96257 88.92761:88493 88.93:132179 88.93129:156910 88.95466:94660 88.95546:88181 88.96421:83117 88.97058:91297 88.97147:152058 88.98182:108654 88.98581:120867 88.9877:144240 88.99516:573998 88.99586:271580 88.99884:127011 89.00009:238076 89.00133:158769 89.00213:157875 89.00362:169547 89.00441:201189 89.00721:128086 89.0084:97756 89.0089:285840 89.01049:826616 89.01159:120788 89.01327:222189 89.01398:300150 89.01468:259111 89.01527:282947 89.01637:260367 89.01806:682402 89.02005:972051 89.02135:11098645 89.02273:1185093632 89.02424:4154104 89.02503:891244 89.02623:776932 89.02822:780441 89.02951:225023 89.03061:203179 89.03121:357176 89.03186:322022 89.03302:232921 89.03469:675756 89.03549:222465 89.03629:242283 89.03707:243069 89.03878:111127 89.03957:114695 89.04067:142620 89.04153:186263 89.04236:171646 89.04395:220479 89.04466:146245 89.04635:129997 89.05024:925293 89.0594:158678 89.0602:83582 89.06219:92528 89.06339:107989 89.07379:254782 89.07774:79009 89.08093:125785 89.08173:81371 89.11483:124491 89.11613:107271 89.13239:174968 89.13519:96655 89.66768:116146 90.01339:103673 90.02453:341213 90.02603:43841176 90.02848:815160 90.03405:80062 90.07904:82909 90.19674:72655 90.30409:77326 90.36435:75035 90.37128:79484 90.3778:74371 90.40755:70780 90.40918:70877 90.45119:68621 90.45772:71596 90.47364:75081 90.48221:72121 90.49405:70587 90.52876:74369 90.54224:76852 90.57167:72175 90.57739:71470 90.58066:71596 90.58802:73730 90.60561:75675 90.63179:71728 90.63588:68853 90.64448:66687 90.65103:65429 90.66454:74743 90.69894:67482 90.73992:70951 90.76083:81238 90.7678:72996 90.77067:80509 90.78954:67634 90.80185:65976 90.80596:66596 90.82894:67781 90.83428:65921 90.83839:64038 90.85687:76388 90.88275:68290 90.88357:69248 90.89055:85457 90.91193:88915 90.92796:68792 90.93249:68433 90.96869:73469 90.98433:66257 90.99421:68802 91.00203:98949 91.01397:68383 91.02015:83500 91.02682:7562910 91.02914:212167 91.03333:73035 91.34969:73223 91.55542:74979 92.03007:143515	NA
2927	Glycerol?	194	1.70362	1.863246	2.533229	91.03847	151138208	1240785536	null	[M-H]-	M + 0		1.347	91.03517	C3H8O3				530	TRUE	TRUE	FALSE	96.7	null	null	null	94.3	1884.382	91.00202:25591 91.00995:17694 91.02066:42713 91.02745:51975 91.03559:62524 91.03682:114318 91.03847:39421504 91.03991:268607 91.04084:60146 91.04166:48815 91.0428:27594 91.05114:19970 91.0667:25730 92.0419:388324 93.00806:71190 93.04295:54376 94.97913:556065 94.99296:18838 94.99361:29306 96.00775:50236	NA
12189	Gamma-aminobutyric acid	710	6.394437	6.726378	7.006922	102.0545	38063672	537898496	null	[M-H]-	M + 0	similar chromatogram in higher mz_12155	6.861	102.0547	C4H9NO2				520	TRUE	TRUE	FALSE	99.8	null	null	null	99.9	746.0623	102.00854:15577 102.01843:128323 102.02674:18678 102.02955:24172 102.05277:56161 102.05449:9937753 102.05632:46821 103.00252:188557 103.01332:7024512 103.01517:40702 103.03873:52204 103.05817:97457 103.99691:25681 103.9979:38303 104.01627:21282 104.01716:32370 104.02282:12729 104.02672:11187 104.02986:24381 104.03187:123314 104.03376:19026990 104.03552:77137 104.03791:12396 104.06849:11998 105.01797:112204 105.03089:23740 105.03721:192332 105.98743:25673 106.00295:65735 106.03764:25938 106.03971:11839	NA
1931	3-Hydroxybutyric acid (BHB)	154	1.050051	1.488905	1.900698	103.0385	87785368	1313392000	null	[M-H]-	M + 0		1.213	103.0387	C4H8O3				520	TRUE	TRUE	FALSE	99.1	null	null	null	99.5	55.81764	103.00169:65613 103.01159:48287 103.01331:7865876 103.03515:43923 103.03836:21505392 103.04023:100462 103.04222:29252 104.04188:455982 104.04459:19723 105.01789:23713 105.04278:28040 106.00258:39687 106.00348:21546 106.03934:42971 107.04909:18651 108.01862:16518	NA
12155	L-Serine	709	6.347356	6.716943	7.24155	104.0338	76382000	1167853696	null	[M-H]-	M + 0		7.041	104.0339	C3H7NO3				520	TRUE	TRUE	FALSE	98.7	null	null	null	99.3	695.3486	103.99769:65535 104.00571:9785 104.01074:16794 104.01705:45003 104.02131:10011 104.02282:11246 104.03137:41238 104.03187:126904 104.03376:19948400 104.03552:92562 104.0588:24619 104.06849:14849 105.01799:119122 105.03089:27513 105.03721:278807 105.04008:10163 105.95897:11992 105.98799:42165 106.00295:47122 106.03981:37638 107.02374:11153 108.0194:11027 109.00301:776143	NA
2729	Uracil	187	1.684866	1.797605	2.220498	111.0185	119133320	1102910080	null	[M-H]-	M + 0		1.619	111.0187	C4H4N2O2				520	TRUE	TRUE	FALSE	99.6	null	null	null	99.8	1343.378	110.98036:21648 110.98272:15498 111.00116:13921 111.00777:55048 111.01364:25776 111.01461:32177 111.01586:49833 111.01849:32369154 111.02043:207003 111.02168:60998 111.02446:27159 111.02557:14041 111.0282:15606 111.03541:16902 111.05609:19897 112.01374:22448 112.01557:79669 112.0218:762200 112.03905:72108 112.0503:81167 112.98412:130922 112.99786:80013 113.02316:81207 113.05949:12066 114.01825:80390 114.93505:81431 115.00252:58347 115.03899:55549 115.07513:36111	NA
4648	L-Proline	303	2.523754	2.893668	3.401248	114.0545	72033632	1134348416	null	[M-H]-	M + 0		3.089	114.0547	C5H9NO2				520	TRUE	TRUE	FALSE	99.5	null	null	null	99.7	1873.366	114.01854:15323 114.05117:28612 114.05232:91257 114.05449:18257764 114.05651:101375 114.05839:27505 114.92481:20599 114.93489:40628 115.00227:250348 115.03882:85610 115.05171:14262 115.05788:557563 115.07513:31877 115.99746:16331 116.00576:12648 116.02398:25098 116.05852:22128 116.07032:399179 116.93306:35956 117.01748:56080 118.00313:4148374 118.00525:22273 118.9505:14684 119.00004:16322 119.00695:80735 119.03376:41005	NA
