PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	13	0.06883333	0.1431224	0.2072178	157.943	3812.86547851563	20713.302734375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.421973	157.97453:1724 158.04424:1169 158.12625:2770 158.94396:1347 158.98673:1378 158.9903:2353 159.06472:2951 159.10112:2558 160.00893:25238 160.01469:19023 160.51143:2599 160.94801:11146 161.01703:2692 161.04392:3726 161.50993:1690 162.02931:2051	
1	Unknown	13	0.06883333	0.1431224	0.3037151	229.8401	1005.80194091797	4566.908203125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.11604	229.99804:39098 230.98461:7455 231.00174:1869 232.03674:3820 232.92353:11381 233.15345:5062	
2	Unknown	14	0.1006102	0.1537744	0.2929714	139.902	2649.54077148438	10572.1318359375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.200858	139.90204:1686 139.93732:4166 139.97509:7434 139.99724:1880 140.97749:3692 140.97908:7187 140.98463:8241 141.019:14828 141.09088:3255 142.04952:3041 143.00905:5315 143.01108:3843 143.03434:5321 143.0699:10476 143.10668:84062 143.91403:1864 144.02882:10975 144.11011:5499	
3	Unknown	14	0.09002277	0.1537744	0.4546433	255.843	61675.62890625	1026720.8125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.98681	255.84305:12136 256.23554:10869 256.92556:1174 257.84256:3287 257.92358:2734 258.91957:6080 259.00056:3035	
4	Unknown	17	0.1218059	0.1857992	0.3360274	308.7664	2783.91040039063	17349.587890625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	55.67821	308.7664:1084 310.9009:1301 311.22224:1890 311.29451:1171 312.99146:4285	
5	Unknown	19	0.05827506	0.2072178	0.3037151	321.8935	3964.88110351563	32189.732421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.498072	321.89345:2227 322.02976:1453 323.04279:1418 324.97138:1432 325.16526:1172	
6	Unknown	20	0.06883333	0.2179323	0.7026645	114.935	1357361.375	39678000	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	35.93805	114.93504:340917 114.93708:2319 115.00256:24808 115.03891:77673 115.07513:411056 115.07732:3046 115.99775:1128 116.03445:8440 116.04264:1183 116.07074:11890 116.07898:6000 116.92762:29186 116.9332:111110 116.95835:45786 116.98145:1112 117.01826:13589 117.03518:1129 117.03773:1489 117.05464:9595 117.9276:3281 117.93656:1628 118.00326:9640 118.95678:3003 118.99124:1512 119.03402:5479 119.04528:1505 119.07023:1224	
7	Unknown	20	0.06883333	0.2179323	0.4654494	116.9332	650162.4375	13206858	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.335573	116.92762:29186 116.9332:111110 116.95835:45786 116.98145:1112 117.01826:13589 117.03518:1129 117.03773:1489 117.05464:9595 117.9276:3281 117.93656:1628 118.00326:9640 118.95678:3003 118.99124:1512 119.03402:5479 119.04528:1505 119.07023:1224 121.02407:2530 121.02835:214981 121.03891:1493	
8	Unknown	21	0.02666488	0.2286364	0.2929714	207.999	242857.921875	3293603.25	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.31789	207.94392:1068 207.99904:40400 208.02566:149347 208.03105:23140 208.03603:1964 208.93292:12311 208.98419:1341 209.00174:1635 209.02861:11254 209.04438:16235 210.0478:1546 210.93019:3497 211.13275:3865 212.02006:6753 212.05484:1686 212.07388:8203 212.83353:18249	
9	Unknown	21	0.05827506	0.2286364	0.2714528	255.2321	355175.375	4058679	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.605189	255.23212:79659 255.84277:13215 256.23512:10211 257.84108:3231 258.91946:5811 258.97979:1132 259.00005:1590	
10	Unknown	23	0.06883333	0.2499987	0.3792	112.9844	826801.1875	13926481	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.549014	112.9844:192431 112.99829:4282 113.02329:4504 113.0344:8353 113.05988:4864 114.01882:17913 114.05518:4435 114.93503:328005 114.99978:1980 115.00255:33344 115.01308:1137 115.03886:82326 115.07525:382326 115.07731:1859 115.93822:1729 116.03419:13592 116.04219:2627 116.07071:15347 116.07882:7640 116.92731:32045 116.93334:109592 116.95843:54999 117.01806:12477 117.02902:1251 117.03728:1646 117.05481:9196 117.92714:2393	
11	Unknown	23	0.1964908	0.2499987	0.4330351	128.9384	8323.51171875	75717.84375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.439088	128.9314:1357 128.99531:3153 128.99635:2204 129.00086:1454 129.01777:10083 129.02884:1623 129.0546:56696 129.09095:69251 130.04954:3064 130.05815:2340 130.08615:67296 130.93678:1557 130.99151:1465 131.00876:1176 131.03381:7470 131.04468:2851 131.06994:4387 131.08933:2583 132.01855:1680 132.02862:6404 132.04067:1318 132.86629:2435 133.01287:3919 133.08629:2209	
12	Unknown	25	0.1857992	0.2714528	0.3468419	227.7915	3062.67919921875	18415.09375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.141504	228.20462:1273 228.79722:2901 228.93064:3376 228.98938:1750 229.14393:1014 229.9935:1145 229.99805:38970 230.98461:5148 231.00091:2558 231.99401:2542 232.03717:2247	
13	Unknown	26	0.1218059	0.2821902	0.3468419	209.0443	92377.578125	967955.8125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	7.042226	208.93334:13454 209.00235:4185 209.02002:1427 209.02798:8508 209.04439:17347 210.93129:2488 210.98215:1371 211.13228:3705 212.0197:5563 212.07361:9228 212.83287:14521 213.01405:5547 213.14829:1847 213.18556:3495 214.02061:4390	
14	Unknown	26	0.1431224	0.2821902	0.3360274	240.5205	2153.67309570313	14256.5625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.459719	240.5205:1468 241.00951:1510 241.08095:1614 241.21637:5274 242.53165:1840 243.06051:2244 243.12252:1121 243.19535:1331 243.9761:5562 244.98406:5813 245.13871:943	
15	Unknown	30	0.2072178	0.3252212	0.5409219	218.5248	2888.30810546875	18714.4296875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	5.014406	218.52484:1281 218.96213:1708 218.97766:4972 219.00939:1129 219.17434:29215 220.17843:3584 221.0304:1155 221.08106:2793 221.79917:3269 222.98236:1213 223.03646:43142	
16	Unknown	31	0.05827506	0.3360274	0.3792	124.9981	668053.4375	10383706	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	31.78782	124.99809:171487 125.03454:2687 125.05991:2121 125.89902:29019 126.00192:3374 126.01835:4744 126.85715:1068 126.89731:1618 126.9007:3760 126.90374:1483770 126.90629:11872 126.90832:2092 126.91104:1144 126.93511:1318 126.95003:1249 126.99957:2607 127.00194:1188 127.02486:3938 127.03912:4416 127.04964:1178 127.07495:3249 127.8962:9217 127.99795:17033 128.00877:5462 128.03436:17249 128.04518:945 128.93765:1433 128.99496:1367 129.00034:1370 129.01806:7853 129.03718:1478 129.05459:60557 129.09089:55778	
17	Unknown	34	0.3144525	0.368423	0.4762286	178.0256	63364.38671875	589793.4375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.190963	178.02562:12397 178.52742:1561 179.00863:1517 179.01973:34973 179.02368:1534 180.00353:3927 180.03042:169239 180.06479:5966 180.98914:1372 181.01166:1530 181.01397:8695 181.03327:10681 181.0856:1373 182.00789:1876 182.92992:7552 182.95779:1710 182.96336:569968 182.96747:5207 182.98743:3894 183.01179:2523	
18	Unknown	36	0.3144525	0.3899562	0.4438391	308.7664	1036.28674316406	4396.705078125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	20.72573	308.99682:1037 310.87685:1365 311.22158:2327 312.99158:4389	
19	Unknown	40	0.4007415	0.4330351	0.4870326	357.0602	42374.72265625	214849.046875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	0.5166629	357.06025:10750 358.06367:2555	
20	Unknown	43	0.2821902	0.4654494	0.5193511	252.1594	1044.31372070313	3748.35327148438	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.611086	252.01559:29748 252.03504:1359 252.15938:1362 252.99513:1118 253.01851:3907 253.21619:2223 254.02936:1199 255.07283:1819 255.12259:1118 255.23197:75719 255.84304:5918 256.23554:11395	
21	Unknown	43	0.3144525	0.4654494	0.6163859	332.3784	1053.31872558594	3749.9375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.06637	332.37844:876 336.89722:3028	
