																															Class	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine	Alanine
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	Alanine_NA_10mM_2d1_neg_ms1_140k_3e6	Alanine_NA_10mM_2d10_neg_ms1_140k_3e6	Alanine_NA_10mM_2d11_neg_ms1_140k_3e6	Alanine_NA_10mM_2d12_neg_ms1_140k_3e6	Alanine_NA_10mM_2d2_neg_ms1_140k_3e6	Alanine_NA_10mM_2d3_neg_ms1_140k_3e6	Alanine_NA_10mM_2d4_neg_ms1_140k_3e6	Alanine_NA_10mM_2d5_neg_ms1_140k_3e6	Alanine_NA_10mM_2d6_neg_ms1_140k_3e6	Alanine_NA_10mM_2d7_neg_ms1_140k_3e6	Alanine_NA_10mM_2d8_neg_ms1_140k_3e6	Alanine_NA_10mM_2d9_neg_ms1_140k_3e6
0	7.333	69.0017	Unknown	[M-H]-	ion correlated with 3068; ion correlated with 4526; ion correlated with 1117; similar chromatogram in higher mz_4641; similar chromatogram in higher mz_840; similar chromatogram in higher mz_4402; similar chromatogram in higher mz_3760; similar chromatogram in higher mz_1741; similar chromatogram in higher mz_2385; similar chromatogram in higher mz_2427; similar chromatogram in higher mz_3388; similar chromatogram in higher mz_125	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	13.99	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.0017:13484 70.00505:0 71.00841:91123		1589	2925	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
1	7.25	69.03271	Unknown	[M-H]-	similar chromatogram in higher mz_1295; similar chromatogram in higher mz_3968	0.385	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.94	Alanine_NA_10mM_2d2_neg_ms1_140k_3e6	69.03271:2845 70.03606:0 71.03942:0		3634	735	-2	1102	-2	1820	1904	-2	-2	-2	-2	-2	-2
2	11.282	69.03277	Unknown	[M-H]-		0.231	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.99	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.03277:2820 70.03612:0 71.03948:0		3987	-2	-2	-2	-2	-2	-2	-2	1667	-2	-2	-2	1301
3	15.83	69.03308	Unknown	[M-H]-		0.308	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.18	Alanine_NA_10mM_2d11_neg_ms1_140k_3e6	69.03308:2279 70.03643:0 71.03979:0		4422	-2	-2	1800	-2	3264	-2	2493	-2	-2	-2	-2	-2
4	5.466	69.08742	Unknown	[M-H]-	ion correlated with 4691; ion correlated with 2604; ion correlated with 1351; ion correlated with 299; ion correlated with 255; ion correlated with 1764; ion correlated with 2514; ion correlated with 1263; ion correlated with 2427; ion correlated with 3458; ion correlated with 2385; ion correlated with 482; ion correlated with 1913; ion correlated with 4563; ion correlated with 47	0.154	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	12.72	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.08742:13586 70.09077:0 71.09413:0		1566	1107	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
5	5.596	69.09312	Unknown	[M-H]-	ion correlated with 317; ion correlated with 952; ion correlated with 1224; ion correlated with 1305; ion correlated with 1474; ion correlated with 1843; ion correlated with 2093; ion correlated with 2405; ion correlated with 2903; ion correlated with 2957; ion correlated with 3249; ion correlated with 3546; ion correlated with 3870; ion correlated with 4272; ion correlated with 4496; ion correlated with 127; ion correlated with 852; ion correlated with 904; ion correlated with 1183; ion correlated with 1276; ion correlated with 1279; ion correlated with 1538; ion correlated with 1980; ion correlated with 2550; ion correlated with 2910; ion correlated with 3681; ion correlated with 4131; ion correlated with 214; ion correlated with 1365; ion correlated with 1470; ion correlated with 2511; ion correlated with 2962; ion correlated with 3273; ion correlated with 3555; ion correlated with 3891; ion correlated with 1640; ion correlated with 1259; ion correlated with 1391; ion correlated with 1487; ion correlated with 2145; ion correlated with 2353; ion correlated with 2435; ion correlated with 3554; ion correlated with 3989; ion correlated with 4016; ion correlated with 4178; ion correlated with 4630; ion correlated with 27; ion correlated with 1141; ion correlated with 1751; ion correlated with 1753; ion correlated with 2046; ion correlated with 134; ion correlated with 1388; ion correlated with 113; ion correlated with 1096; ion correlated with 1688; ion correlated with 2562; ion correlated with 2778; ion correlated with 2783; ion correlated with 3092; ion correlated with 3173; ion correlated with 3414; ion correlated with 3445; ion correlated with 3713; ion correlated with 3808; ion correlated with 3844; ion correlated with 3931; ion correlated with 4084; ion correlated with 195; ion correlated with 287; ion correlated with 1498; ion correlated with 1564; ion correlated with 2230; ion correlated with 2535; ion correlated with 2945; ion correlated with 3491; ion correlated with 4228; ion correlated with 4396; ion correlated with 3807; ion correlated with 2220; ion correlated with 310; ion correlated with 78; ion correlated with 83; ion correlated with 98; ion correlated with 2244; ion correlated with 3949; ion correlated with 4291; ion correlated with 895; ion correlated with 238; ion correlated with 95; ion correlated with 558; ion correlated with 1430; ion correlated with 1596; ion correlated with 1694; ion correlated with 1870; ion correlated with 1882; ion correlated with 2231; ion correlated with 2378; ion correlated with 2765; ion correlated with 2827; ion correlated with 3083; ion correlated with 3131; ion correlated with 3697; ion correlated with 203; ion correlated with 1059; ion correlated with 1766; ion correlated with 2555; ion correlated with 2571; ion correlated with 2846; ion correlated with 4254; ion correlated with 1807; ion correlated with 1983; ion correlated with 2056; ion correlated with 2089; ion correlated with 2139; ion correlated with 2510; ion correlated with 2515; ion correlated with 3157; ion correlated with 3599; ion correlated with 210; ion correlated with 219; ion correlated with 1339; ion correlated with 1621; ion correlated with 1678; ion correlated with 1791; ion correlated with 2263; ion correlated with 2334; ion correlated with 2649; ion correlated with 3612; ion correlated with 3966; ion correlated with 3996; ion correlated with 329; ion correlated with 960; ion correlated with 2223; ion correlated with 2529; ion correlated with 2566; ion correlated with 2787; ion correlated with 3097; ion correlated with 4639	0.077	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23.1	Alanine_NA_10mM_2d0_neg_ms1_140k_3e6	69.09312:21423 70.09647:74007 71.09983:0		1757	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
