PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	12	0.09635659	0.1264313	0.236591	249.7807	5981.11376953125	28396.5390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.124406	249.78065:2862 250.81639:3290 252.01601:2846 252.83961:4386 253.14305:2183	
1	Unknown	12	0.005605063	0.1264313	0.276772	338.713	2635.5771484375	12332.427734375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	4.073088	339.19838:1906	
2	Unknown	13	0.005605063	0.1364271	0.2566679	193.7875	1232.79638671875	3703.55541992188	null	[M-H]-	M + 0	similar chromatogram in higher mz_4	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.65593	194.00934:5776 194.86766:1281210 194.87217:6821 194.90443:12272 194.93896:2573 195.86486:4577 195.87039:11008 196.8609:8335 196.86581:1161615 196.8704:6657 196.93821:8495 197.86291:3011 197.86885:11770	
3	Unknown	13	0.03622158	0.1364271	0.2265619	320.8565	2189.19946289063	7254.0400390625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3.016052	321.78322:5879 322.77514:2843 323.80578:7796 324.7728:2901 325.80432:11850	
4	Unknown	13	0.005605063	0.1364271	0.2566679	338.5588	1229.92260742188	3694.92211914063	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	24.59845	339.90319:2264 341.77136:2401	
5	Unknown	14	0.08635662	0.1464666	0.2265619	74.90201	5551.54833984375	29465.57421875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.604882	74.87219:1998 74.90201:2599 74.92261:3496 74.92322:2269 74.93553:2244 74.93676:3135 74.96784:3219 74.98617:19481 74.98909:3827 74.99217:4359 74.99278:4617 74.99656:4504 74.9971:3715 74.99756:5824 74.99833:6039 74.99897:9248 75.00018:5998 75.00087:4060 75.00141:4726 75.00272:4019 75.00333:8191 75.00426:9109 75.00487:13744 75.00618:124915 75.00726:18779666 75.00819:85690 75.00934:30722 75.00996:8879 75.01157:9402 75.01242:5795 75.01343:8123 75.01396:4762 75.01536:7168 75.01597:5050 75.01682:10651 75.01866:3094 75.01959:2362 75.02144:3104 75.02205:5078 75.02267:2678 75.02798:5053 75.0286:13400 75.0464:2931 75.07941:2240 75.09175:3331 75.11305:2940 76.01058:363995 76.01364:2479 76.96875:46311 76.98687:3252 77.01154:23023 77.0117:45010 77.01323:3202	
6	Unknown	14	0.01606963	0.1464666	0.2667346	148.2559	1071.34631347656	3217.90063476563	null	[M-H]-	M + 0	similar chromatogram in higher mz_8; similar chromatogram in higher mz_9; similar chromatogram in higher mz_10; similar chromatogram in higher mz_3; similar chromatogram in higher mz_13	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.42693	147.96101:1987 149.99337:10226 150.91939:11563 152.9172:9355 153.02984:2005	
7	Unknown	14	0.06632756	0.1464666	0.1964975	182.8686	1458.80627441406	4954.17041015625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.437875	182.96305:548359 182.98713:5743 183.89651:27635 183.96601:5091 184.95993:93250 184.96649:29761 185.00855:2701 185.11034:5036 185.11691:2733 185.15281:7022 185.86694:24844 185.89369:6278 185.96222:2188 185.99319:4984 185.9971:3048 187.06001:2532 187.86525:27126	
8	Unknown	14	0.01606963	0.1464666	0.2667346	215.7712	1103.62109375	3314.84130859375	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	22.07242	215.82834:2035 215.83623:3503 216.82956:84592 217.83396:3070 218.82693:10681 219.17431:44062 219.86265:4821 219.86845:2776 220.17724:5114	
9	Unknown	14	0.01606963	0.1464666	0.2667346	234.3126	1062.77319335938	3192.15063476563	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.25546	233.84211:2090 233.91251:4983 234.87331:8729 235.16904:8300 235.83818:2011 235.95212:24664 235.99456:3062 236.87138:10234 236.87736:3236 236.92967:5121 237.12333:23336 237.94867:3120 238.12676:2664 238.8696:2971 239.13816:9472	
10	Unknown	14	0.01606963	0.1464666	0.2667346	275.2661	1380.57666015625	4146.7060546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.61153	274.7996:17296 275.26615:1923 276.79827:22274 277.92342:9453 278.79763:7793 278.98594:2253	
11	Unknown	14	0.09635659	0.1464666	0.1964975	304.762	19498.94140625	101260.6953125	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	8.917523	304.76767:4834 304.80868:3144 305.76208:53413 307.75965:14346	
12	Unknown	14	0.09635659	0.1464666	0.2466244	331.8925	2199.4833984375	7230.2060546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2.043512	331.89253:2769 332.80631:3599 334.80497:6634 334.89456:11554	
13	Unknown	14	0.005605063	0.1464666	0.2968948	348.8641	2033.78540039063	6108.68701171875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1.264549		
14	Unknown	15	0.02619451	0.1564603	0.276772	76.70804	1476.11926269531	4432.70263671875	null	[M-H]-	M + 0	similar chromatogram in higher mz_15	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29.52239	76.70804:2524 76.96614:3231 76.96678:2563 76.9675:2207 76.96877:50726 76.98664:5170 77.01168:70157 77.0142:2553 80.00997:13079 80.01055:26990 80.96367:10851 80.96393:21518	
15	Unknown	15	0.02619451	0.1564603	0.276772	253.5428	1481.51098632813	4448.8935546875	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	29.63022	253.14357:2553 253.90505:2438 254.86331:13784 255.07185:3206 255.2318:28413 256.23546:7532 256.86158:13666	
16	Unknown	15	0.1063919	0.1564603	0.2466244	284.8032	34949.9921875	244512.515625	null	[M-H]-	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	14.79085	284.79748:3436 284.8032:8488 285.79903:337569 286.80193:7893 286.92406:2322 287.79652:135857 289.79499:11121	
17	Unknown	16	0.03622158	0.1664707	0.2868199	196.763	1063.03564453125	3192.03637695313	null	[M-H]-	M + 0	similar chromatogram in higher mz_21; similar chromatogram in higher mz_23; similar chromatogram in higher mz_30	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	21.26071	196.8609:6998 196.86583:1090596 196.93723:6846 197.86225:4311 197.86852:8850 198.86375:127326 198.95274:2553 199.16902:10043 199.86722:2396 201.11259:2394	
